Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,10nosbidderare qualified,Sushant Muna,07-Feb-2026 12:44 PM,finance_568984.pdf,BOQ Comparative Chart,"CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||KHURDA",2025_CEMIB_122471_12,TCN-15/25-26SEMIDKHD,Improvement to Chanakhia MIP in Begunia Block of Khordha District under ERM scheme for the year 2025-26,1.0,3291515.0,BISWAJIT BEHERA,INR,"2,116,869.72",1,3295871,ASHWINI BARAL,11-Dec-2025 05:01 PM,Rejected-Finance,Rejected,07-Feb-2026 12:57 PM,14-May-2026,"INR 2,116,869.72",90.0,Sushant Muna,14-May-2026 11:32 AM,Chanakhiawo.pdf (966.00 KB),winnerof lottery,SEMIDKHORDHA,Internal,Sedaoaee,Sushant Muna,07-Feb-2026 12:48 PM,techsummary_568984.pdf (194.29 KB),SEMIDKHORDHA,Internal,sedaoaee,Sushant Muna,07-Feb-2026 12:57 PM,finsummary_568984.pdf (224.52 KB),AOC,SE MID KHORDHA,O/O SE MID KHORDHA,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate,GSTIN,PAN,No Relation Certificate,affidavit as per DTCN",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,03-Dec-2025 10:30 AM,12-Dec-2025 11:30 AM,03-Dec-2025 10:30 AM,11-Dec-2025 05:30 PM,NA ,NA ,03-Dec-2025 10:30 AM,11-Dec-2025 05:30 PM,"CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||KHURDA",TCN-15/25-26SEMIDKHD,2025_CEMIB_122471_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"24,900",Yes,fixed,,Nil,Nil,Improvement to Chanakhia MIP in Begunia Block of Khordha District under ERM scheme for the year 2025-26,Improvement to Chanakhia MIP in Begunia Block of Khordha District under ERM scheme for the year 2025-26,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,60.0,SE MID KHORDHA,752055.0,NA ,NA ,NA ,SE MID KHORDHA,No ,No,AOC
,,,,,,,,,,,,,,,2,3295488,BASANT KUMAR SAMANTARAY,11-Dec-2025 04:51 PM,Rejected-Finance,Rejected,07-Feb-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3291515,BISWAJIT BEHERA,09-Dec-2025 01:57 PM,Accepted-AOC,winner of lottery,14-May-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3295647,BISWANATH KHATUA,11-Dec-2025 03:33 PM,Rejected-Finance,Rejected,07-Feb-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3295356,DHARAMA DORA,11-Dec-2025 02:05 PM,Rejected-Finance,Rejected,07-Feb-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3295271,DIBAKAR PANDA,11-Dec-2025 01:49 PM,Rejected-Finance,Rejected,07-Feb-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3295352,DIBYA SUPPLIERS,11-Dec-2025 02:04 PM,Rejected-Finance,Rejected,07-Feb-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3295875,HITU PRADHAN,11-Dec-2025 05:01 PM,Rejected-Finance,Rejected,07-Feb-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3295890,PRAKASH KUMAR RANASINGHA,11-Dec-2025 05:17 PM,Rejected-Finance,Rejected,07-Feb-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3293055,SK IFTEKHAR ALLI,11-Dec-2025 02:45 PM,Rejected-Finance,Rejected,07-Feb-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
