Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,BID Open and 12 nos of bidder Participated for above work,Narayan Dandsena,14-May-2026 11:07 AM,finance_583910.pdf,BOQ Comparative Chart,1.0,3432977.0,DEEPAK KUMAR KHAMARI,INR,"1,604,138",Municipal Bodies||Patnagarh NAC,2026_ORULB_126867_9,NACPTG/03(01-10)/2025-26,Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,"Narayan Dandasena, Executive Officer",Internal,"Executive Officer, Municipal Engineer, Junior Engineer",Narayan Dandsena,14-May-2026 11:21 AM,finsummary_583910.pdf (1031.13 KB),"Narayan Dandasena, Executive Officer",Internal,"Executive Officer, Municipal Engineer, Junior Engineer",Narayan Dandsena,14-May-2026 11:12 AM,techsummary_583910.pdf (1031.13 KB),14-May-2026,"INR 1,604,138",90.0,Narayan Dandsena,14-May-2026 11:29 AM,WO9.pdf (499.00 KB),Sri Deepak Kumar Khamari selected in lottery process to execute the work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,1,3433158,ASHISH KUMAR PATRA,16-Mar-2026 02:58 PM,Rejected-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,Municipal Bodies||Patnagarh NAC,NACPTG/03(01-10)/2025-26,2026_ORULB_126867_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,057",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,"Executive Officer, Patnagarh NAC","Patnagarh NAC, Balangir , Odisha . 767025",Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,Please refer Tender documents. ,NA ,"16,05,744",Civil Works - Roads,Road and Drain ,Tender,180.0,90.0,"Patnagarh,NAC",767025.0,NA ,NA ,NA ,"O/O - Executive Officer, Patnagarh NAC",No ,No,05-Mar-2026 05:00 PM,17-Mar-2026 11:00 AM,05-Mar-2026 05:00 PM,16-Mar-2026 05:00 PM,NA ,NA ,05-Mar-2026 05:00 PM,16-Mar-2026 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3432878,BIJAYANANDA DASH,16-Mar-2026 01:40 PM,Rejected-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BID BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3432977,DEEPAK KUMAR KHAMARI,16-Mar-2026 01:59 PM,Accepted-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3431530,DHIRENDRA KUMAR SETH,15-Mar-2026 03:18 PM,Rejected-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3431239,DOSALIN MISHRA,14-Mar-2026 09:35 PM,Rejected-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3432652,NANDAN KUMAR THAKUR,16-Mar-2026 02:04 PM,Rejected-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3427593,PRABINA PANIGRAHI,14-Mar-2026 09:37 AM,Rejected-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3431352,PRAMOD MEHER,16-Mar-2026 02:24 PM,Rejected-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3433077,RAJESH RANJAN PATRA,16-Mar-2026 02:31 PM,Rejected-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3431022,RAJ KUMAR KUDEI,14-Mar-2026 06:11 PM,Rejected-AOC,Sri Deepak Kumar Khamari seleted in Lottery Process to Execute the Work Const. of Road and Drain from Gulap Meher Khala to Monbadh Sahu house at Ganganagar in ward No.04 under N.A.C. Patnagarh,14-May-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
