Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
Finance,3 bids opened successfully,Lipsa Parida,03-Jan-2026 04:07 PM,finance_573029.pdf,BOQ Comparative Chart,1.0,3343160.0,M/s. BASUDEV AGENCY (Prop. SUMANTA BEHERA),INR,"679,990",Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_123691_4,BMC-EE-Tender Cell-56/2025-26 Dt. 22.12.2025,"Face lifting work of Aahar Centre at Capital Hospital premises Unit-6, BMC",City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONII,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,06-May-2026 04:19 PM,finsummary_573029.pdf (3310.93 KB),City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONII,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,06-May-2026 04:15 PM,techsummary_573029.pdf (779.12 KB),1,3342202,GYANA RANJAN PATRA,03-Jan-2026 10:47 AM,Rejected-Finance,Rejected,06-May-2026 04:19 PM,06-May-2026,"INR 679,990",45.0,Lipsa Parida,06-May-2026 04:22 PM,WO_56_4.pdf (511.00 KB),AOC,"4,000",0.0,Nil,Nil,No,"Executive Engineer,Central Tender Cell","Central Tender Cell, UG Floor, ICOMC Tower, Satya Nagar.",1.0,ICICI BANK,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-56/2025-26 Dt. 22.12.2025,2025_ORULB_123691_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,800",Yes,fixed,,Nil,Nil,"Face lifting work of Aahar Centre at Capital Hospital premises Unit-6, BMC","Face lifting work of Aahar Centre at Capital Hospital premises Unit-6, BMC",Please refer Tender documents. ,NA ,"6,77,877",Civil Works - Others,NA ,Tender,120.0,45.0,BMC AREA,751022.0,Office Chamber of the EE(Central Tender Cell) ,"Central Tender Cell, UG Floor, ICOMC Tower, Satya Nagar. ",29-Dec-2025 03:30 PM ,"Central Tender Cell,BMC",No ,No,24-Dec-2025 10:30 AM,03-Jan-2026 03:30 PM,24-Dec-2025 10:30 AM,03-Jan-2026 03:00 PM,24-Dec-2025 10:30 AM ,29-Dec-2025 01:30 PM ,24-Dec-2025 10:30 AM,03-Jan-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3343160,M/s. BASUDEV AGENCY (Prop. SUMANTA BEHERA),03-Jan-2026 12:20 PM,Accepted-AOC,L1 bidder,06-May-2026 04:22 PM,,,,,,,AOC,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3342191,SUBHASHREE SAHOO,03-Jan-2026 10:33 AM,Rejected-Finance,Rejected,06-May-2026 04:19 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
