Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
ST and SC Development Deptt||ITDA Baripada,ITDABPD-03/2025-26,2025_STSCD_119029_30,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"1,56,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor License, PAN, GST / Affidavit / Agreement / NEFT Details / Annex-A to D etc.,",09-Oct-2025 10:00 AM,30-Oct-2025 11:00 AM,09-Oct-2025 10:00 AM,29-Oct-2025 05:30 PM,NA ,NA ,09-Oct-2025 10:00 AM,29-Oct-2025 05:30 PM,Construction of New Hostel Building (50 seated) at Merda PSH under Betnoti Block,Construction of New Hostel Building (50 seated) at Merda PSH under Betnoti Block,B and A ,NA ,"1,56,22,093",Civil Works - Buildings,NA ,Tender,90.0,270.0,BARIPADA,757002.0,NA ,NA ,NA ,"ITDA, BARIPADA",No ,No,PA ITDA BARIPADA,"MURGABADI, BARIPADA",AOC,"Collector and District Magistrate, Mayurbhanj",Internal,PA ITDA and Others,PRANAYA RANJAN BEHERA,30-Jan-2026 06:36 PM,techsummary_554984.pdf (10223.44 KB),"Collector and District Magistrate, Mayurbhanj",Internal,Subject to verification of original document,PRANAYA RANJAN BEHERA,30-Jan-2026 06:43 PM,finsummary_554984.pdf (10223.43 KB),Finance,subject to verification of original document,PRANAYA RANJAN BEHERA,30-Jan-2026 06:28 PM,,BOQ Comparative Chart,30-Jan-2026,"INR 13,280,341.991",270.0,SURAI MURMU,26-May-2026 07:38 PM,30_Order_Merda.pdf (739.00 KB),ST and SC Development Deptt||ITDA Baripada,2025_STSCD_119029_30,ITDABPD-03/2025-26,Construction of New Hostel Building (50 seated) at Merda PSH under Betnoti Block,1.0,3130747.0,ASHIS KUMAR PAUL,INR,"13,280,341.991",1,3152115,AMIYA KUMAR NAYAK,28-Oct-2025 01:36 PM,Rejected-Finance,Not Qualified in transparent lottery system,30-Jan-2026 06:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3130747,ASHIS KUMAR PAUL,22-Oct-2025 03:08 PM,Accepted-AOC,L1,26-May-2026 07:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3144014,Bhabani Shankar Rout,23-Oct-2025 02:40 PM,Rejected-Finance,Not Qualified in transparent lottery system,30-Jan-2026 06:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3144035,BRUNDABAN LENKA,28-Oct-2025 08:49 PM,Rejected-Finance,Not Qualified in transparent lottery system,30-Jan-2026 06:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3163518,CHANDAN KUMAR RATHA,28-Oct-2025 02:32 PM,Rejected-Finance,Not Qualified in transparent lottery system,30-Jan-2026 06:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3149693,DEBANANDA BEHERA,27-Oct-2025 09:27 PM,Rejected-Finance,Not Qualified in transparent lottery system,30-Jan-2026 06:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3150294,DEBASHIS BISWAL,25-Oct-2025 09:14 AM,Rejected-Finance,Not Qualified in transparent lottery system,30-Jan-2026 06:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3166067,Dinesh Kumar Nayak,29-Oct-2025 04:09 PM,Rejected-Finance,Not Qualified in transparent lottery system,30-Jan-2026 06:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3145432,GOLAK BIHARI NAYAK,27-Oct-2025 03:24 PM,Rejected-Finance,Not Qualified in transparent lottery system,30-Jan-2026 06:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3164333,MAHAPRASAD PANDA,28-Oct-2025 06:21 PM,Rejected-Finance,Not Qualified in transparent lottery system,30-Jan-2026 06:43 PM,AOC
