S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3288820.0,BKD INFRASTRUCTURE PRIVATE LIMITED,INR,"201,195,592",EIC-CIVIL||EIC-CIVIL,2025_EICCL_121279_4,CE-BRIDGES-08/2025-26,Improvement such as widening and strengthening of Dohali to Bareni Chhak road from 0.0 to 17.301km in the District of Angul for the year 2025-26,Technical,Ten bidders participated in this tender,Jyoti Prakash Sahoo,10-Dec-2025 02:24 PM,,"The Commissioner-cum-Secretary to Government, WD",Internal,"The CE, BRIDGES, Odisha, FA-cum-Special Secretary to Government, WD",Jyoti Prakash Sahoo,18-May-2026 08:02 PM,finsummary_564727.pdf (5035.42 KB),"Er. Satyabrata Behera, EIC (Civil-cum-Roads), Odisha",Internal,"Er. A. Tripathy, CE, Bridges, Odisha, Er. R.R Sahoo, ACE, Bridges, Mrs. Poonam Singh, FA",Arabinda Tripathy,18-Feb-2026 09:12 PM,21-Feb-2026 11:30 AM,techsummary_564727.pdf (12949.55 KB),Finance,All are quoted 14.99 percent less,Jyoti Prakash Sahoo,21-Feb-2026 11:51 AM,,BOQ Comparative Chart,1,3283776,Abani kumar mahapatra,08-Dec-2025 10:00 PM,Rejected-Finance,1st lowest bidder,18-May-2026 08:02 PM,18-May-2026,"INR 201,195,592",485.0,Jyoti Prakash Sahoo,18-May-2026 08:09 PM,AOC_DOHALI.PDF (302.00 KB),"Agreement No.71 P1 of 2026-27 of S.E, Angul R and B Division, Angul",AOC,"10,000",0.0,Nil,Nil,No,19-Nov-2025 10:00 AM,10-Dec-2025 11:30 AM,19-Nov-2025 10:00 AM,09-Dec-2025 05:00 PM,19-Nov-2025 10:00 AM ,05-Dec-2025 05:00 PM ,19-Nov-2025 10:00 AM,09-Dec-2025 05:00 PM,21-Feb-2026 11:30 AM,1.0,ICICI BANK,EIC-CIVIL||EIC-CIVIL,CE-BRIDGES-08/2025-26,2025_EICCL_121279_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, Bridges, Odisha","Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswa",Improvement such as widening and strengthening of Dohali to Bareni Chhak road from 0.0 to 17.301km in the District of Angul for the year 2025-26,Improvement such as widening and strengthening of Dohali to Bareni Chhak road from 0.0 to 17.301km in the District of Angul for the year 2025-26,Please refer Tender documents. ,NA ,"23,66,72,853",Civil Works - Roads,NA ,Tender,90.0,485.0,In the District of Angul,751001.0,NA ,NA ,NA ,"Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswa",No ,No,"23,66,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost, Bid Security, GSTIN, PAN, RC and Affidavit",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3291099,Anil Kumar Mishra,09-Dec-2025 11:46 AM,Rejected-Technical,Disqualified,18-Feb-2026 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3280204,BISHNUPRIYA BHUYAN,09-Dec-2025 11:42 AM,Rejected-Finance,1st lowest bidder,18-May-2026 08:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other related documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3288820,BKD INFRASTRUCTURE PRIVATE LIMITED,09-Dec-2025 01:50 PM,Accepted-AOC,1st lowest bidder,18-May-2026 08:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3259699,MOTIRANJAN SAHOO,09-Dec-2025 11:20 AM,Rejected-Finance,1st lowest bidder,18-May-2026 08:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3283586,M/s.S.K.Agarwalla,09-Dec-2025 11:54 AM,Rejected-Finance,1st lowest bidder,18-May-2026 08:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3263995,M/s Sri Durga Condev Private Limited,09-Dec-2025 04:29 PM,Rejected-Finance,1st lowest bidder,18-May-2026 08:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3279136,ROUT INFRASTRUCTURE PRIVATE LIMITED,09-Dec-2025 03:24 PM,Rejected-Finance,1st lowest bidder,18-May-2026 08:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3291221,R S Infrastructure,09-Dec-2025 04:16 PM,Rejected-Finance,1st lowest bidder,18-May-2026 08:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3291114,SRINIBASH MISHRA,09-Dec-2025 12:07 PM,Rejected-Technical,Disqualified,18-Feb-2026 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
