Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Finance,Admitted,Rajiba Lochan Nayak,16-Feb-2026 06:55 PM,,BOQ Comparative Chart,19-May-2026,"INR 1,008,764",30.0,Rajiba Lochan Nayak,19-May-2026 12:52 PM,39.pdf (1468.00 KB),1,3394455,BHIMA MADAKAMI,13-Feb-2026 01:18 PM,Accepted-AOC,Accepted,19-May-2026 12:52 PM,1.0,3394455.0,BHIMA MADAKAMI,INR,"1,008,764",Municipal Bodies||Malkangiri Municipal Council,2026_ORULB_125329_39,EOMKG/02/2025-26,"RCC Drain Cover Plate from DNK Chowk to BB Guda UP School, Ward No-17, Malkangiri Municipality",Manoj Barik,Internal,,Rajiba Lochan Nayak,19-May-2026 12:32 PM,techsummary_579656.pdf (214.46 KB),Manoj Barik,Internal,,Rajiba Lochan Nayak,19-May-2026 12:42 PM,finsummary_579656.pdf (214.46 KB),AOC,"RCC Drain Cover Plate from DNK Chowk to BB Guda UP School, Ward No-17, Malkangiri Municipality","RCC Drain Cover Plate from DNK Chowk to BB Guda UP School, Ward No-17, Malkangiri Municipality",Please refer Tender documents. ,NA ,"13,10,083",Civil Works - Others,NA ,Tender,180.0,60.0,Malkangiri Municipality,764045.0,NA ,NA ,NA ,Malkangiri Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,eNoticeDTCN,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Municipal Bodies||Malkangiri Municipal Council,EOMKG/02/2025-26,2026_ORULB_125329_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"13,100",Yes,fixed,,Nil,Nil,06-Feb-2026 10:00 AM,16-Feb-2026 11:00 AM,06-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,NA ,NA ,06-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,"Executive Officer, Malkangiri Municipality","Executive Officer, Malkangiri Municipality",AOC
,,,,,,,,,,,,2,3394237,Gollecha Jayanta Jain,12-Feb-2026 09:23 PM,Rejected-AOC,Rejected,19-May-2026 12:52 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3,3393047,KANCHAN DEURI,13-Feb-2026 09:12 AM,Rejected-AOC,Rejected,19-May-2026 12:52 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3394886,SURENDRA BEMAL,13-Feb-2026 02:00 PM,Rejected-Technical,Rejected,19-May-2026 12:32 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
