Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"S E RWD-II,NAYAGARH",Internal,"DAO, AE ESTR",Divya Rani Prusty,19-May-2026 01:05 PM,techsummary_562424.pdf (378.92 KB),1,3231252,AJAYA KUMAR SAHOO,17-Nov-2025 03:35 PM,Rejected-AOC,R,19-May-2026 01:18 PM,19-May-2026,"INR 180,019",60.0,Divya Rani Prusty,19-May-2026 01:17 PM,AOCc.pdf (298.00 KB),64 P1 25-26 DTD 12.01.26,1.0,3240436.0,ROJALIN SAHOO,INR,"180,019",Finance,CS,Divya Rani Prusty,19-May-2026 01:00 PM,finance_562424.pdf,BOQ Comparative Chart,"S E RWD-II,NAYAGARH",Internal,"DAO, AE ESTR",Divya Rani Prusty,19-May-2026 01:11 PM,finsummary_562424.pdf (378.92 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RW Division Nayagarh-II,2025_CERWI_120896_8,ONLINE TENDER 04/ RWD-II/2025-26,SR to R I office at Dihagaon for the year 2025-26,AOC,CE RW I||RWCIRCLE-BHUBANESWAR||RW Division Nayagarh-II,ONLINE TENDER 04/ RWD-II/2025-26,2025_CERWI_120896_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,07-Nov-2025 09:00 AM,24-Nov-2025 11:00 AM,07-Nov-2025 09:00 AM,20-Nov-2025 05:00 PM,07-Nov-2025 09:00 AM ,20-Nov-2025 05:00 PM ,07-Nov-2025 09:00 AM,20-Nov-2025 05:00 PM,1.0,ICICI BANK,SR to R I office at Dihagaon for the year 2025-26,BLDG WORKS,Please refer Tender documents. ,NA ,"2,12,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,NAYAGARH,752069.0,NA ,NA ,NA ,NAYAGARH,No ,No,"S E RWD-II,NAYAGARH",NEAR DRDA NGRH,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,RC as per DTCN","2,120",Yes,fixed,,Nil,Nil,AOC
,,,,,,2,3238606,AJIT KUMAR JENA,19-Nov-2025 04:42 PM,Rejected-AOC,R,19-May-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC
,,,,,,3,3232876,ANANDA KUMAR PANDA,18-Nov-2025 11:48 AM,Rejected-AOC,R,19-May-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3240148,ASHOK KUMAR ROUT,20-Nov-2025 10:28 AM,Rejected-AOC,R,19-May-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3239695,ASHWINI KUMAR PATTNAIK,19-Nov-2025 11:14 PM,Rejected-AOC,R,19-May-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3236926,ASWINI KUMAR BEHERA,19-Nov-2025 06:33 AM,Rejected-AOC,R,19-May-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3232518,BAIKUNTHA PARIDA,17-Nov-2025 05:19 PM,Rejected-AOC,R,19-May-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3240085,BHABANI SANKAR PRADHAN,20-Nov-2025 07:33 AM,Rejected-AOC,R,19-May-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3236806,BHAGIRATHI PRADHAN,19-Nov-2025 11:44 AM,Rejected-AOC,R,19-May-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3229058,BIPIN KUMAR NAYAK,18-Nov-2025 10:09 AM,Rejected-AOC,R,19-May-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
