Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
26-Jun-2025 10:00 AM,08-Jul-2025 11:00 AM,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,NA ,NA ,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Belpahar Municipal Council,EO/BPHM02/25-26,2025_ORULB_114739_37,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Pavor Block road from Rinku Swain house to Manoj Sahu house in W.No.1,Construction of Pavor Block road from Rinku Swain house to Manoj Sahu house in W.No.1,Please refer Tender documents. ,NA ,"9,20,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,1.0,ICICI BANK,"9,200",Yes,fixed,,Nil,Nil,AOC,Nimai Charan Panda,Internal,,Nilakantha Kisan,30-Jul-2025 04:42 PM,techsummary_544210.pdf (256.50 KB),Nimai Charan Panda,Internal,,Nilakantha Kisan,09-Sep-2025 12:28 PM,finsummary_544210.pdf (256.50 KB),Finance,ok,Nilakantha Kisan,25-Jul-2025 01:05 PM,finance_544210.pdf,BOQ Comparative Chart,Municipal Bodies||Belpahar Municipal Council,2025_ORULB_114739_37,EO/BPHM02/25-26,Construction of Pavor Block road from Rinku Swain house to Manoj Sahu house in W.No.1,1.0,2991038.0,LAXMIDHAR SAHOO,INR,0.0,1,2992324,BIBHUTI PRASAD RANA,07-Jul-2025 03:53 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,19-May-2026,INR 0,90.0,Nilakantha Kisan,19-May-2026 08:56 AM,DEVO.pdf (153.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2991300,Debendra Sahu,06-Jul-2025 07:58 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2990675,DURGA DUTTA TRIPATHY,05-Jul-2025 04:25 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2991540,GOURANGA CHARAN SAHU,06-Jul-2025 08:00 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2992184,Jeetendra Kumar Jaiswal,07-Jul-2025 02:18 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2991323,J N R Dora,06-Jul-2025 09:18 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2990969,J. Rajendra Dora,06-Jul-2025 01:22 AM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2990862,lalu kishan,05-Jul-2025 06:31 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2991038,LAXMIDHAR SAHOO,06-Jul-2025 11:10 AM,Accepted-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2991354,M/S SASWAT ENTERPRISES,06-Jul-2025 04:40 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2991607,PRADIP KUMAR PANDA,06-Jul-2025 08:50 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2992051,RABINDRA BISWAL,07-Jul-2025 01:16 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2988561,RAMESH KUMAR JAISWAL,05-Jul-2025 10:30 AM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2992132,RAMESH NAYAK,07-Jul-2025 02:22 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2991210,Sachidananda Lenka,06-Jul-2025 12:18 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2991370,SUBASH CHANDRA MEHER PROP. RAJBIR CONSTRUCTION,06-Jul-2025 05:36 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2991113,TANKADHAR KHAMARI,06-Jul-2025 10:54 AM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 08:56 AM,,,,,,,AOC
