Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,Construction of 1 no.E type quarter at Jugal PHC under Betnoti block for the year 2023-24.( State Plan),Construction of 1 no.E type quarter at Jugal PHC under Betnoti block for the year 2023-24.( State Plan),Please refer Tender documents. ,NA ,"26,96,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"R.W.Division, Baripada",No ,No,11-Dec-2025 11:00 AM,19-Dec-2025 05:30 PM,11-Dec-2025 11:00 AM,19-Dec-2025 05:00 PM,11-Dec-2025 11:00 AM ,19-Dec-2025 03:00 PM ,11-Dec-2025 11:00 AM,19-Dec-2025 05:00 PM,"26,960",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,11(Online)/RWD/BPD/2025-26,2025_CERWI_122923_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,R.Pradhan,Internal,,Dibyamayee Behera,12-May-2026 07:23 PM,techsummary_571021.pdf (329.00 KB),R.Pradhan,Internal,,Dibyamayee Behera,12-May-2026 07:27 PM,finsummary_571021.pdf (329.00 KB),Finance,.,Dibyamayee Behera,12-May-2026 07:21 PM,finance_571021.pdf,BOQ Comparative Chart,12-May-2026,"INR 2,291,956",180.0,Rajesh Pradhan,27-May-2026 01:15 PM,11_19.pdf (365.00 KB),1,3315025,BHIKARI DALAEI,18-Dec-2025 06:37 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,1.0,3309429.0,SITARANI BASA,INR,"2,291,956",CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_122923_19,11(Online)/RWD/BPD/2025-26,Construction of 1 no.E type quarter at Jugal PHC under Betnoti block for the year 2023-24.( State Plan),AOC
,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3313944,CHANDAN KUMAR BEHERA,19-Dec-2025 12:21 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3310277,HARISH CHANDRA MOHANTY,17-Dec-2025 10:27 AM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3299532,JAYDEV SINGH,16-Dec-2025 12:31 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3314591,KAILASH CONSTRUCTION,18-Dec-2025 05:31 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3309673,KIRAN KUMAR DANDPAT,16-Dec-2025 09:24 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3315620,KUMAR SANAM NAYAK,18-Dec-2025 09:46 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3303051,MAHAPRASAD PANDA,15-Dec-2025 05:41 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3299505,RAJ KUMAR ROUL,16-Dec-2025 12:11 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3316691,RAKESH KUMAR SAHU,19-Dec-2025 02:02 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,11,3314667,SAIRAM CONSTRUCTION,18-Dec-2025 05:05 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,12,3303176,SIPRASARITA ACHARYA,15-Dec-2025 05:23 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,13,3309429,SITARANI BASA,16-Dec-2025 07:54 PM,Accepted-AOC,successful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,14,3314741,SUBRAT KUMAR NAYAK,19-Dec-2025 11:43 AM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,15,3311508,SUCHARITA SETHI,17-Dec-2025 05:47 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,16,3316790,TAPAN KUMAR PAUL,19-Dec-2025 01:47 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 01:15 PM,,,,,,,,,,AOC
