Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"External Power Supply (480KVA Load) to BBMCH Multi Utility Building (Boys Hostel, Girls Hostel, Guest House) 1059/9038, Laltikira, BBMCH Campus, Bolangir","External Power Supply (480KVA Load) to BBMCH Multi Utility Building (Boys Hostel, Girls Hostel, Guest House) 1059/9038, Laltikira, BBMCH Campus, Bolangir",Please refer Tender documents. ,NA ,"82,25,717",Electrical Works,NA ,Tender,90.0,180.0,"Laltikira, Bolangir",767002.0,NA ,NA ,NA ,S.E. Electrical Circle (RandB) Bhubaneswar,No ,No,04-Dec-2024 05:00 PM,20-Dec-2024 11:30 AM,04-Dec-2024 05:00 PM,19-Dec-2024 05:00 PM,04-Dec-2024 05:00 PM ,12-Dec-2024 05:00 PM ,04-Dec-2024 05:00 PM,19-Dec-2024 05:00 PM,07-Jan-2025 05:00 PM,"82,257",No,fixed,,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,S.E. Electrical Circle (RandB) Bhubaneswar,"S.E. Electrical Circle (RandB) Bhubaneswar, Nirman Soudha, Odisha, Unit-V, 751001",1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, PAN GSTIN, Electrical License, Affidavit and other documents as per DTCN",EIC-CIVIL||SE R and B Electrical,Bid Identification No.S.E.E.C (RandB) 09/2024-25,2024_EICCL_107874_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,08-May-2026,"INR 6,992,682",180.0,Nihar Chandra Naik,08-May-2026 12:18 PM,480KVA.pdf (11498.00 KB),AOC,1,2703238,M/s B. M. ELECTRICALS AND CONSTRUCTION,19-Dec-2024 11:48 AM,Rejected-AOC,OK,08-May-2026 12:18 PM,"Nihar Chandra Naik, S.E.",Internal,"S.E. Bolangir Division, PA. to SEEC S.Biswal,AEE,DAO,Bolangir RnB Division,AEE. GE Sub-Division,Bolangir",Sulagna Biswal,06-Jan-2025 07:00 PM,07-Jan-2025 05:00 PM,techsummary_519257.pdf (559.02 KB),1.0,CORRIGENDUM,REVOCATION OF BID,06-Jan-2025 06:37 PM,CORRN.pdf ,745.45,Technical Opening,Finance,OPENED,Sulagna Biswal,07-Jan-2025 06:01 PM,,BOQ Comparative Chart,Technical,TOTAL FOUR NUMBER BIDDERS WERE PARTICIPATED IN THIS BID AND THEIR BIDS ARE VIEWED.,Sulagna Biswal,06-Jan-2025 06:51 PM,technical_519257.pdf,EIC-CIVIL||SE R and B Electrical,2024_EICCL_107874_1,Bid Identification No.S.E.E.C (RandB) 09/2024-25,"External Power Supply (480KVA Load) to BBMCH Multi Utility Building (Boys Hostel, Girls Hostel, Guest House) 1059/9038, Laltikira, BBMCH Campus, Bolangir","S.E. Electrical (RandB) Odisha, Bhubaneswar",Internal,"AEE SEEC (RandB) Odisha, BBSR, PA to SEEC (RandB) Odisha, BBSR, AEE GE Sub Division, Balangir, DAO, Balangir (RandB) Division and SE, Balangir (RandB) Division.",Bapuji Behera,26-Mar-2025 01:35 PM,finsummary_519257.pdf (497.77 KB),1.0,2702051.0,POWERTECH ENGINEERING.TAPAS RANJAN PATI,INR,"6,992,682",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC,,,,,,,,2,2702051,POWERTECH ENGINEERING.TAPAS RANJAN PATI,18-Dec-2024 01:41 PM,Accepted-AOC,OK,08-May-2026 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2703777,SARADA TECHNO SERVICES,19-Dec-2024 04:41 PM,Rejected-AOC,OK,08-May-2026 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2697507,SHREE SHYAM INFRASTRUCTURE,16-Dec-2024 12:05 AM,Rejected-Technical,"Not qualified as per clause no.11(a),11(d) and 11(g) of approved DTCN",06-Jan-2025 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
