Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
EE,Internal,DAO Est,Raju Dhaunlia,18-May-2026 06:57 PM,techsummary_560384.pdf (199.31 KB),18-May-2026,"INR 3,122,149",60.0,Raju Dhaunlia,18-May-2026 07:04 PM,Ra326.pdf (459.00 KB),326P-I,1,3179366,ASHOK KUMAR SAHOO,04-Nov-2025 12:51 AM,Rejected-Finance,Not Won,18-May-2026 07:01 PM,1.0,3185215.0,SANGRAM PRADHAN,INR,"3,122,149",Finance,11 Bid found,Raju Dhaunlia,18-May-2026 06:55 PM,finance_560384.pdf,BOQ Comparative Chart,EE,Internal,DAO Est,Raju Dhaunlia,18-May-2026 07:01 PM,finsummary_560384.pdf (199.31 KB),CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,2025_CERWI_120408_6,Online AGL-16,NH-42 to Rautal,AOC,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,Online AGL-16,2025_CERWI_120408_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD PAN RC GST Affidavit regarding Correctness Certificate No Relation Certificate,NH-42 to Rautal,NH-42 to Rautal,Please refer Tender documents. ,NA ,"31,40,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Angul,759143.0,NA ,NA ,NA ,"O/O Executive Engineer, R.W.Division, Angul",No ,No,"6,000",0.0,Nil,Nil,No,"Executive Engineer, R.W.Division, Angul","Executive Engineer, R.W.Division, Angul",31-Oct-2025 01:45 PM,07-Nov-2025 11:00 AM,31-Oct-2025 01:45 PM,06-Nov-2025 05:00 PM,31-Oct-2025 01:45 PM ,06-Nov-2025 04:00 PM ,31-Oct-2025 01:45 PM,06-Nov-2025 05:00 PM,"31,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2,3189665,ASUTOSH PRADHAN,06-Nov-2025 04:33 PM,Rejected-Finance,Not Won,18-May-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,3,3179396,BISWAJIT PATTANAYAK,04-Nov-2025 12:47 PM,Rejected-Finance,Not Won,18-May-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3174353,CHITRASEN BISWAL,02-Nov-2025 03:40 PM,Rejected-Finance,Not Won,18-May-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3181063,LATIF KUMAR SAHU,04-Nov-2025 02:44 PM,Rejected-Finance,Not Won,18-May-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3179322,PRAVAT RANJAN SAHOO,04-Nov-2025 12:27 AM,Rejected-Finance,Not Won,18-May-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3171406,SADANANDA SAMANTARAYA,05-Nov-2025 02:49 PM,Rejected-Finance,Not Won,18-May-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3185215,SANGRAM PRADHAN,05-Nov-2025 06:07 PM,Accepted-AOC,OK,18-May-2026 07:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3180573,SANJAY PRADHAN,04-Nov-2025 01:20 PM,Rejected-Finance,Not Won,18-May-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3178667,SATYABAN PRADHAN,03-Nov-2025 06:24 PM,Rejected-Finance,Not Won,18-May-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
