Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Executive Engineer, R.W.Division,Patnagarh","O/o the Superintending Engineer, R.W.D, Patnagarh","4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD, EMD, R.C, PAN, GSTIN, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","8,470",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-07/2025-26,2025_CERWI_120441_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,31-Oct-2025 06:00 PM,15-Nov-2025 11:00 AM,31-Oct-2025 06:00 PM,14-Nov-2025 05:00 PM,31-Oct-2025 06:00 PM ,13-Nov-2025 05:00 PM ,31-Oct-2025 06:00 PM,14-Nov-2025 05:00 PM,Special Repair of Tahasil office at Khaprakhol for the year 2025-26,Special Repair of Tahasil office at Khaprakhol for the year 2025-26,Please refer Tender documents. ,NA ,"8,47,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Superintending Engineer, R.W.D, Patnagarh",No ,No,AOC,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2025_CERWI_120441_7,EEPTNG-online-07/2025-26,Special Repair of Tahasil office at Khaprakhol for the year 2025-26,Executive Engineer,Internal,"Executive Engineer,DAO,Estimator",Manik Kumbhar,23-Dec-2025 12:37 PM,finsummary_560527.pdf (580.70 KB),Finance,15 Nos bid opened,Manik Kumbhar,27-Nov-2025 07:51 PM,finance_560527.pdf,BOQ Comparative Chart,1.0,3222475.0,BIBEK KUMAR AGRAWALA,INR,"720,147",1,3220103,ABHISHEK SARAF,14-Nov-2025 10:01 AM,Rejected-Finance,Unsucesful bidder in transparent lottery system,23-Dec-2025 12:37 PM,12-May-2026,"INR 720,147",60.0,Manik Kumbhar,12-May-2026 05:46 PM,5878.pdf (675.00 KB),Executive Engineer,Internal,"Executive Engineer,DAO,Estimator",Manik Kumbhar,23-Dec-2025 12:30 PM,techsummary_560527.pdf (580.70 KB),AOC
,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3222911,AKASH KUMAR JAIN,13-Nov-2025 08:47 PM,Rejected-Finance,Unsucesful bidder in transparent lottery system,23-Dec-2025 12:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3223235,BHOLANATH MEHER,14-Nov-2025 12:31 PM,Rejected-Finance,Unsucesful bidder in transparent lottery system,23-Dec-2025 12:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3222475,BIBEK KUMAR AGRAWALA,14-Nov-2025 12:08 PM,Accepted-AOC,Successful bidder,12-May-2026 05:47 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3215802,DHANANJAYA PADHAN,13-Nov-2025 04:53 PM,Rejected-Finance,Unsucesful bidder in transparent lottery system,23-Dec-2025 12:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3210814,DILLIP KUMAR BISWAL,11-Nov-2025 12:01 PM,Rejected-Finance,Unsucesful bidder in transparent lottery system,23-Dec-2025 12:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3222849,DOSALIN MISHRA,13-Nov-2025 09:18 PM,Rejected-Finance,Unsucesful bidder in transparent lottery system,23-Dec-2025 12:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3222228,HOLESWAR SINGH BARIHA,13-Nov-2025 05:45 PM,Rejected-Finance,Unsucesful bidder in transparent lottery system,23-Dec-2025 12:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3223545,KANHA AGRAWAL,14-Nov-2025 10:19 AM,Rejected-Finance,Unsucesful bidder in transparent lottery system,23-Dec-2025 12:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3220774,NARENDRA PANIKA,14-Nov-2025 10:56 AM,Rejected-Finance,Unsucesful bidder in transparent lottery system,23-Dec-2025 12:37 PM,,,,,,,,,,,,,AOC
