Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
07-Mar-2026 01:15 PM,25-Mar-2026 11:00 AM,07-Mar-2026 01:30 PM,24-Mar-2026 05:00 PM,07-Mar-2026 01:35 PM ,07-Mar-2026 02:00 PM ,07-Mar-2026 02:05 PM,24-Mar-2026 05:00 PM,13-Apr-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,NIT,"Tender for selection and appointment of Handling Contractor (Labour Work) for handling of food grains (Rice, Wheat etc.) at all the Rice Receiving Centers (RRCs) of Jagatsinghpur district for the Year 2025-27","Tender for selection and appointment of Handling Contractor (Labour Work) for handling of food grains (Rice, Wheat etc.) at all the Rice Receiving Centers (RRCs) of Jagatsinghpur district for the Year 2025-27",Please refer to tender documents ,NA ,,Handling and Transportation,Handling Operation (Labour Works) ,Tender,180.0,390.0,Jagatsinghpur,754103.0,Office Chamber of CSOCUMDM ,"Collectorate Building, Collectorate, Jagatsinghpur ",09-Mar-2026 11:00 AM ,"Sadbhabana Sabhagruha Collectorate, Jagatsinghpur",No ,No,1.0,ICICI BANK,"11,800",0.0,Nil,Nil,No,"2,32,515",No,fixed,,Nil,Nil,CSOCUMDM,"Collectorate Building, Jagatsinghpur",Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Jagatsinghpur,1012/dtd.05.03.2026,2026_OSCSC_126968_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,AOC,29-May-2026,INR 9.32,337.0,Jitray Charan Tudu,29-May-2026 09:48 AM,AOCLALIT.pdf (468.00 KB),"The bidder accepted 8.99 ASoR. Hence selected as Handling Contractor for the F.Y 2025-26 and 2026-27 w.e.f 1st May, 2026",1,3438767,LALIT KUMAR DALAI,23-Mar-2026 11:09 PM,Accepted-AOC,"The bidder accepted 8.99 ASoR i.e. 9.32 INR. Hence, selected",29-May-2026 09:48 AM,Finance,The BoQ uploaded by the bidders has been downloaded and submitted before DLTC for scrutiny,Subhalaxmi Beura,22-May-2026 01:04 PM,,BOQ Comparative Chart,"Collector, Jagatsinghpur",External,"DSWO, Jagatsinghpur, RTO, Jagatsinghpur, DLO, Jagatsinghpur, CSOCUMDM, OSCSC Ltd., Jagatsinghpur",Jitray Charan Tudu,10-Apr-2026 10:56 AM,13-Apr-2026 11:00 AM,techsummary_584299.pdf (717.77 KB),"Collector, Jagatsinghpur",External,"DSWO, Jagatsinghpur, DLO, Jagatsinghpur, RTO, Jagatsinghpur, CSOCUMDM, OSCSC Ltd., Jagatsinghpur.",Subhalaxmi Beura,22-May-2026 01:16 PM,finsummary_584299.pdf (764.33 KB),Technical,The documents uploaded by the bidders downloaded and submitted before DLTC for scrutiny,Jitray Charan Tudu,10-Apr-2026 10:42 AM,,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Jagatsinghpur,2026_OSCSC_126968_1,1012/dtd.05.03.2026,"Tender for selection and appointment of Handling Contractor (Labour Work) for handling of food grains (Rice, Wheat etc.) at all the Rice Receiving Centers (RRCs) of Jagatsinghpur district for the Year 2025-27",1.0,3438767.0,LALIT KUMAR DALAI,INR,9.32,AOC
,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3436880,MANAS RANJAN PRAHARAJ,22-Mar-2026 05:54 PM,Rejected-Finance,Quoted higher rate,22-May-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3438809,MEGHNA AGROTECH ENTERPRISES,23-Mar-2026 05:24 PM,Rejected-Technical,Original documents has not been produced by the bidder during verification,10-Apr-2026 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3438017,M/S. TANISHA ROADLINES,24-Mar-2026 02:59 PM,Rejected-Finance,Quoted higher rate,22-May-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3437916,P.N. TRANSPORT,24-Mar-2026 11:31 AM,Rejected-Finance,Quoted higher rate,22-May-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
