Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
29-May-2026,"INR 379,001",30.0,Jyoti Prakash Samal,29-May-2026 06:56 PM,dtypeqtrkanas.pdf (899.00 KB),1.0,3356071.0,KUNA DAS,INR,"379,001",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,2026_CERWI_124309_15,Online-14 Dt. 29.11.2025,Repair to D Type Qtr at Kanas Tahasil in the District of Puri for the year 2025-26.,1,3354392,ASHISH RANJAN CHAMPATIRAY,14-Jan-2026 08:20 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",29-May-2026 06:53 PM,Finance,12 nos bidder are admitted for finalisation.,Rina Kumari Sasmal,02-Feb-2026 03:59 PM,,BOQ Comparative Chart,"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Smt Ipsita Patra,Sri Raj Kishore Pal",Jyoti Prakash Samal,29-May-2026 06:53 PM,finsummary_574848.pdf (898.83 KB),"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Smt Ipsita Patra,Sri Raj Kishore Pal",Jyoti Prakash Samal,29-May-2026 06:43 PM,techsummary_574848.pdf (898.83 KB),AOC,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,Online-14 Dt. 29.11.2025,2026_CERWI_124309_15,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"3,780",Yes,fixed,,Nil,Nil,Repair to D Type Qtr at Kanas Tahasil in the District of Puri for the year 2025-26.,Repair to D Type Qtr at Kanas Tahasil in the District of Puri for the year 2025-26.,Please refer DTCN. ,NA ,"3,78,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Puri,752001.0,NA ,NA ,NA ,"O/o Superintending Engineer,R.W Division,Puri",No ,No,07-Jan-2026 04:00 PM,16-Jan-2026 11:30 AM,07-Jan-2026 04:00 PM,15-Jan-2026 05:00 PM,07-Jan-2026 04:00 PM ,13-Jan-2026 05:00 PM ,07-Jan-2026 04:00 PM,15-Jan-2026 05:00 PM,"Superintending Engineer,Rural Works Division,Puri","O/o Superintending Engineer,R.W Division,Puri","2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of tender paper, EMD, APS, PAN, GSTIN, Registration Certificate and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,2,3355146,BIRANCHI NARAYAN PATUARSINGH,15-Jan-2026 12:20 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",29-May-2026 06:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,3,3355661,HARIHAR PATTANAIK,15-Jan-2026 04:16 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",29-May-2026 06:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3353983,KALPANA PATASHANI,14-Jan-2026 04:39 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",29-May-2026 06:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3356218,KARUNAKARA BAIRIGANJAN,15-Jan-2026 04:37 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",29-May-2026 06:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3356071,KUNA DAS,15-Jan-2026 04:45 PM,Accepted-AOC,"He is the 1st successful lottery winner, so his rate is accepted and awarded.",29-May-2026 06:56 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3355564,M/S GANESWAR SENAPATI,15-Jan-2026 01:38 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",29-May-2026 06:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3353927,PADMA CHARAN UDANDARAY,14-Jan-2026 04:09 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",29-May-2026 06:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3355826,PRIYANKA SWAIN,15-Jan-2026 03:02 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",29-May-2026 06:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3356221,RASHMI REKHA HARICHANDAN,15-Jan-2026 04:45 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",29-May-2026 06:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
