Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"10,000",0.0,Nil,Nil,No,02-Dec-2025 11:30 AM,08-Dec-2025 05:30 PM,02-Dec-2025 11:30 AM,08-Dec-2025 05:00 PM,02-Dec-2025 11:30 AM ,08-Dec-2025 03:00 PM ,02-Dec-2025 11:30 AM,08-Dec-2025 05:00 PM,29-Dec-2025 03:00 PM,1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,06(Onilne)/RWD/UDALA/2025-26,2025_CERWI_122349_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"S.E R.W Division, Udala","S.E R.W Division, Udala","73,940",Yes,percentage,1.0%,Nil,Nil,Construction of 02 Nos D Type Qtr at Sarat PHC in the District of Mayurbhanj.,Construction of 02 Nos D Type Qtr at Sarat PHC in the District of Mayurbhanj.,Please refer Tender documents. ,NA ,"73,94,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,"SE RW Division, Udala",757041.0,NA ,NA ,NA ,"Office of the S.E R.W Division, Udala",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, RC, PAN, GSTIN, Affidavits, and other required documents as per DTCN.",AOC,SE RWD Udala,Internal,,Satyabrata Nayak,27-Dec-2025 07:38 PM,29-Dec-2025 03:00 PM,techsummary_568569.pdf (1352.72 KB),Finance,12 Nos of bidders admitted,Haripriya Behera,19-May-2026 11:07 AM,,BOQ Comparative Chart,SE RWD Udala,Internal,,Haripriya Behera,19-May-2026 11:16 AM,finsummary_568569.pdf (382.71 KB),Technical,14 Nos of bidders participated,Satyabrata Nayak,27-Dec-2025 06:15 PM,,1.0,Tender Revocation,Tender Revocation,27-Dec-2025 04:22 PM,1189R.pdf ,1337.65,Technical Opening,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_122349_14,06(Onilne)/RWD/UDALA/2025-26,Construction of 02 Nos D Type Qtr at Sarat PHC in the District of Mayurbhanj.,1.0,3288369.0,AJAY KUMAR SETHI,INR,"6,285,639.4",1,3288369,AJAY KUMAR SETHI,08-Dec-2025 12:32 PM,Accepted-AOC,L1,19-May-2026 11:22 AM,19-May-2026,"INR 6,285,639.4",270.0,Haripriya Behera,19-May-2026 11:22 AM,tcn614A.pdf (494.00 KB),AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3285073,AJIT KUMAR BEHERA,08-Dec-2025 04:50 PM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3289837,ARNAB KUMAR PRADHAN,08-Dec-2025 04:35 PM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3287060,ARPIT ROUT,07-Dec-2025 09:12 PM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3288607,DILLIP NAYAK,08-Dec-2025 01:45 PM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3288463,HIMANSU NARAYAN BARIK,08-Dec-2025 12:49 PM,Rejected-Technical,Due to non submission of electritical license,27-Dec-2025 07:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3276429,PATITAPABAN NAIK,03-Dec-2025 08:30 PM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3285280,RATIKANTA SWAIN,07-Dec-2025 07:48 AM,Rejected-Technical,Due to non submission of electritical license,27-Dec-2025 07:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3273554,SATYAPRAKASH PRADHAN,06-Dec-2025 05:02 AM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3281526,SIBAYA SAMBIT NAYAK,07-Dec-2025 10:40 PM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3289738,SRI BALARAM LENKA,08-Dec-2025 03:58 PM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3285428,Sri Prakash Kumar Parida,07-Dec-2025 11:04 AM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3286449,SUMANTA KUMAR DALEI,07-Dec-2025 05:48 PM,Rejected-AOC,L1,19-May-2026 11:22 AM,,,,,,,AOC
