S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3406488.0,DEMONSTRATIVE SOLAR INDIA PVT. LTD.,INR,"11,768,137",Managing Director,Internal,,JAYALAXMI BISWAL,07-May-2026 03:24 PM,finsummary_578279.pdf (965.90 KB),Technical,Ten no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,24-Feb-2026 01:20 PM,,WATCO Bhubaneswar,2026_WATCO_125203_1,WATCO (W)-27(02)/2025-26 Dtd.28.01.2026,"Implementation of 24x7 water supply to Budhikumaria and Adjacent area of Ward No-26, of Baripada Municipality, in Mayurbhanj District",Finance,Ten no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,10-Apr-2026 12:18 PM,,BOQ Comparative Chart,Managing Director,Internal,,JAYALAXMI BISWAL,09-Apr-2026 10:05 AM,10-Apr-2026 11:30 AM,techsummary_578279.pdf (5554.12 KB),07-May-2026,"INR 11,768,137",270.0,JAYALAXMI BISWAL,07-May-2026 03:26 PM,AOC.pdf (618.00 KB),1,3406281,ANUP KUMAR BEHERA,21-Feb-2026 12:09 PM,Rejected-AOC,Not a lowest bidder,07-May-2026 03:26 PM,AOC,"Implementation of 24x7 water supply to Budhikumaria and Adjacent area of Ward No-26, of Baripada Municipality, in Mayurbhanj District","Implementation of 24x7 water supply to Budhikumaria and Adjacent area of Ward No-26, of Baripada Municipality, in Mayurbhanj District",Please refer Tender documents. ,NA ,"1,48,94,000",Civil Works - Water Works,NA ,Tender,120.0,270.0,"Baripada Municipality, in Mayurbhanj District",757001.0,NA ,NA ,NA ,Bhubaneswar,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",WATCO Bhubaneswar,WATCO (W)-27(02)/2025-26 Dtd.28.01.2026,2026_WATCO_125203_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",Nil,Nil,No,07-Feb-2026 05:00 PM,24-Feb-2026 12:30 PM,07-Feb-2026 05:00 PM,21-Feb-2026 05:00 PM,07-Feb-2026 05:00 PM ,12-Feb-2026 05:00 PM ,07-Feb-2026 05:00 PM,21-Feb-2026 05:00 PM,10-Apr-2026 11:30 AM,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2571444","1,49,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3393894,Biswajeet Sahoo,16-Feb-2026 07:31 PM,Rejected-AOC,Not a lowest bidder,07-May-2026 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3406488,DEMONSTRATIVE SOLAR INDIA PVT. LTD.,21-Feb-2026 11:52 AM,Accepted-AOC,Lowest bidder,07-May-2026 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3402937,NILAKANTHA MOHANTA,18-Feb-2026 06:59 PM,Rejected-AOC,Not a lowest bidder,07-May-2026 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3405041,NILENDRI SAHOO,21-Feb-2026 01:01 PM,Rejected-AOC,Not a lowest bidder,07-May-2026 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3406637,ramesh chandra sethi,21-Feb-2026 01:59 PM,Rejected-AOC,Not a lowest bidder,07-May-2026 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3406463,SANJIB KUMAR JENA,21-Feb-2026 12:24 PM,Rejected-AOC,Not a lowest bidder,07-May-2026 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3402145,SUNAKAR PRADHAN,20-Feb-2026 05:39 PM,Rejected-AOC,Not a lowest bidder,07-May-2026 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3404810,SUNIL KUMAR SAHOO,20-Feb-2026 12:03 PM,Rejected-AOC,Not a lowest bidder,07-May-2026 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3407078,TECHNO TRADING CORPORATION,21-Feb-2026 04:59 PM,Rejected-AOC,Not a lowest bidder,07-May-2026 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
