Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,2nd Corrigendum,Date,,EIC-CIVIL,CE-ROADS-II-21/2024-25,2024_EICCL_108360_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement such as widening and strengthening of Narla-Bhurtigarh via Kadamguda road from 12/500 km to 22/000 km in the district of Kalahandi under State Plan,Improvement such as widening and strengthening of Narla-Bhurtigarh via Kadamguda road from 12/500 km to 22/000 km in the district of Kalahandi under State Plan,Please refer Tender documents. ,NA ,"11,73,10,393",Civil Works - Roads,NA ,Tender,90.0,365.0,Kalahandi,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit","11,73,000",Yes,fixed,,Nil,Nil,17-Dec-2024 11:30 AM,09-Jan-2025 11:30 AM,17-Dec-2024 11:30 AM,08-Jan-2025 05:30 PM,NA ,NA ,17-Dec-2024 11:30 AM,08-Jan-2025 05:30 PM,27-Nov-2025 11:00 AM,AOC,21-May-2026,"INR 99,725,565",365.0,Pradipta Kumar Nayak,21-May-2026 04:32 PM,NarlaBhurtigarhAgrt.pdf (1252.00 KB),56P1 of 2025-26,1,2721661,ANUP BUILDERS,02-Jan-2025 01:36 PM,Rejected-AOC,L1 bidder,21-May-2026 04:32 PM,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,24-Nov-2025 07:30 PM,27-Nov-2025 11:00 AM,techsummary_520753.pdf (448.27 KB),Finance,Opening,Pradipta Kumar Nayak,27-Nov-2025 01:28 PM,,BOQ Comparative Chart,EIC-CIVIL,2024_EICCL_108360_2,CE-ROADS-II-21/2024-25,Improvement such as widening and strengthening of Narla-Bhurtigarh via Kadamguda road from 12/500 km to 22/000 km in the district of Kalahandi under State Plan,Technical,Opening,Pradipta Kumar Nayak,09-Jan-2025 04:54 PM,,EIC Civil Roads-I,Internal,,Pradipta Kumar Nayak,21-May-2026 04:29 PM,finsummary_520753.pdf (1251.76 KB),1.0,2718223.0,M/S SHREE SHYAM INFRA PROP. SRI LOKESH SHARMA,INR,"99,725,565",AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2722138,ARNS INFRAPROJECTS PRIVATE LIMITED,02-Jan-2025 03:16 PM,Rejected-AOC,L1 bidder,21-May-2026 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2718735,BIKRAM KUMAR GUPTA,31-Dec-2024 08:51 PM,Rejected-Technical,Disqualified,24-Nov-2025 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2721762,B. K. Construction Co.,02-Jan-2025 04:20 PM,Rejected-AOC,L1 bidder,21-May-2026 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2711052,DEMANTI AGRAWAL,25-Dec-2024 06:53 PM,Rejected-Technical,Disqualified,24-Nov-2025 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2720201,grg projects,02-Jan-2025 12:44 PM,Rejected-Technical,Disqualified,24-Nov-2025 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2717713,JAI BAJRANGBALI INFRA,30-Dec-2024 06:24 PM,Rejected-AOC,L1 bidder,21-May-2026 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2720841,JAY PRAKASH SHARMA,07-Jan-2025 12:37 PM,Rejected-AOC,L1 bidder,21-May-2026 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2718855,KL INFRABUILD PVT. LTD.,31-Dec-2024 02:58 PM,Rejected-AOC,L1 bidder,21-May-2026 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2715770,MITTAL INFRAPROJECTS,29-Dec-2024 04:09 PM,Rejected-AOC,L1 bidder,21-May-2026 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
