Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,Municipal Bodies||Paradeep Municipality,EO/ PDPM/ W_05_MSBY/ 2025-26,2026_ORULB_124113_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"12,391",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,03-Jan-2026 05:30 PM,15-Jan-2026 11:30 AM,03-Jan-2026 05:30 PM,13-Jan-2026 05:30 PM,03-Jan-2026 05:30 PM ,13-Jan-2026 05:30 PM ,03-Jan-2026 05:30 PM,13-Jan-2026 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid Documents,"EO, Paradeep Municipality",Paradeep Municipality,"Laying of paver block, construction of Mini park and Devlopment of open space infront of IDBI Bank Madhuban in Ward No. 12","Laying of paver block, construction of Mini park and Devlopment of open space infront of IDBI Bank Madhuban in Ward No. 12",Please refer Tender documents. ,NA ,"12,39,137",Civil Works - Others,NA ,Tender,120.0,90.0,Paradeep Municipality,754142.0,NA ,NA ,NA ,Paradeep Municipality,No ,No,AOC,Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,18-May-2026 10:08 AM,finsummary_574206.pdf (375.82 KB),Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,18-May-2026 09:57 AM,techsummary_574206.pdf (375.82 KB),Municipal Bodies||Paradeep Municipality,2026_ORULB_124113_11,EO/ PDPM/ W_05_MSBY/ 2025-26,"Laying of paver block, construction of Mini park and Devlopment of open space infront of IDBI Bank Madhuban in Ward No. 12",1.0,3350686.0,SABITA BEHERA,INR,"1,274,700",1,3352519,ADHIR KUMAR SAHOO,13-Jan-2026 03:25 PM,Rejected-Finance,L9,18-May-2026 10:08 AM,18-May-2026,"INR 1,274,700",90.0,Bibhuti Tripathy,18-May-2026 10:12 AM,11.pdf (376.00 KB),Contract value includes GST.,Finance,All the eleven bids have been admitted,Bibhuti Tripathy,30-Jan-2026 04:00 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3350676,BASANTA BEHERA,13-Jan-2026 06:07 AM,Rejected-Finance,L3,18-May-2026 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3350233,BIJAY KUMAR SETHY,09-Jan-2026 08:34 PM,Rejected-Finance,L2,18-May-2026 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3350711,MAMATA SETHY,12-Jan-2026 05:54 PM,Rejected-Finance,L5,18-May-2026 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3350706,M/s.PABITRA MOHAN NAYAK,12-Jan-2026 08:53 PM,Rejected-Finance,L4,18-May-2026 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3352702,M/S. SABITA BEHERA,13-Jan-2026 02:07 PM,Rejected-Finance,L10,18-May-2026 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3351166,PADAN CHARAN BEHERA,13-Jan-2026 06:54 AM,Rejected-Finance,L7,18-May-2026 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3351154,RAJESH KUMAR BEHERA,12-Jan-2026 08:40 PM,Rejected-Finance,L6,18-May-2026 10:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3350686,SABITA BEHERA,13-Jan-2026 05:44 AM,Accepted-AOC,Contract value includes GST.,18-May-2026 10:12 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3352410,SANJAYA MOHANTY,13-Jan-2026 09:02 AM,Rejected-Finance,L8,18-May-2026 10:08 AM,,,,,,,,,,,,,,AOC
