Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Finance,Opened,Rasmita Sahoo,09-Feb-2026 08:05 PM,,BOQ Comparative Chart,1.0,3376290.0,BIBEKANANDA SITHA,INR,"385,960.88",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,2026_CERWI_124960_6,Tender Online Divn.NPR-13/2025-26,"Repair and Maintenance of 2nos E type Qtr at R.W Division, Nimapara for the year 2025-26","S.E RW Division, Nimapara",Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Rasmita Sahoo,03-Mar-2026 01:51 PM,finsummary_577996.pdf (776.52 KB),"S.E RW Division, Nimapara",Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Rasmita Sahoo,03-Mar-2026 11:46 AM,techsummary_577996.pdf (776.52 KB),04-Mar-2026,"INR 385,960.88",90.0,Mausumi Mishra,14-May-2026 07:02 PM,E.pdf (948.00 KB),1,3376469,ANJANA MISHRA,03-Feb-2026 12:17 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,"Repair and Maintenance of 2nos E type Qtr at R.W Division, Nimapara for the year 2025-26",Building,Please refer Tender documents. ,NA ,"4,22,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Nimapara,752106.0,NA ,NA ,NA ,"O/O THE SUPERINTENDING ENGINEER, R.W.D, NIMAPARA",No ,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,Tender Online Divn.NPR-13/2025-26,2026_CERWI_124960_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,"4,220",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, PAN, GSTIN, RC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",28-Jan-2026 05:40 PM,04-Feb-2026 11:00 AM,28-Jan-2026 05:40 PM,03-Feb-2026 05:00 PM,28-Jan-2026 05:40 PM ,03-Feb-2026 01:00 PM ,28-Jan-2026 05:40 PM,03-Feb-2026 05:00 PM,"SUPERINTENDING ENGINEER, R.W DIVISION, NIMAPARA","O/O THE SUPERINTENDING ENGINEER, R.W.D, NIMAPARA",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3379366,ASHOK KUMAR SENAPATY,03-Feb-2026 03:54 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3378735,ASHOK PANI,03-Feb-2026 01:25 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3377915,BATA KRUSHNA PATRA,02-Feb-2026 11:06 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3378367,BB ASSOCIATES,03-Feb-2026 11:34 AM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3376290,BIBEKANANDA SITHA,02-Feb-2026 12:14 PM,Accepted-AOC,Work has been awarded,14-May-2026 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3379577,DIPAK KUMAR SAHOO,03-Feb-2026 04:39 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3375803,DJ CONSTRUCTIONS,01-Feb-2026 09:44 AM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3377190,JAGANATH SAHOO,02-Feb-2026 03:23 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3379545,KRUSHNA CHANDRA SWAIN,03-Feb-2026 04:27 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3377751,MADHUSUDAN ENTERPRISES,02-Feb-2026 08:17 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3379108,MANOJ KUMAR DAS,03-Feb-2026 02:36 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3378674,PABITRA MOHAN SAHOO,03-Feb-2026 12:50 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3378321,PRADYUMNA KUMAR SAHU,03-Feb-2026 11:37 AM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3379156,PRADYUMNA RATH,03-Feb-2026 02:58 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3379176,PRALEP KUMAR PATTANAIK,03-Feb-2026 03:15 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3375123,PRASANTA KUMAR BEHERA,31-Jan-2026 12:10 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3376913,PRATAP KUMAR BEHERA,02-Feb-2026 08:15 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3371946,PRATIMA PRADHAN,01-Feb-2026 08:59 AM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3378276,PRATYUSH KUMAR SWAIN,03-Feb-2026 02:33 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3371463,PRAVAT KUMAR MOHAPATRA,02-Feb-2026 03:33 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3378458,RUBI RAY,03-Feb-2026 12:19 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3377924,SACHIDANANDA PANIGRAHI,03-Feb-2026 06:36 AM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3377331,SARASWATI ENGINEERING PROP.KAMALA KRISHNA RAO ACHARYA,02-Feb-2026 04:11 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3377928,SAUMYA RANJAN DASH PROPRIETOR SAUMYARANJAN CONSTRUCTION,02-Feb-2026 10:47 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3378410,SRIKANTA KUMAR BASTIA,03-Feb-2026 04:18 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3379215,SUBASH CHANDRA SWAIN,03-Feb-2026 04:07 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3379035,SUBAS KUMAR SENAPATI,03-Feb-2026 02:31 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
