Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
20-May-2026,"INR 499,232",30.0,Dipika Majhi,20-May-2026 04:03 PM,8717.pdf (2128.00 KB),AoC,1.0,3153968.0,SANTOSH KUMAR NAYAK,INR,"499,232",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2025_CERWI_119523_47,Tender Online - 04 of 2025-26,S/R to Tandilul to Champahat via Basantapur Road for the year 2025-26,1,3163293,BARANYA SENAPATI,28-Oct-2025 01:58 PM,Rejected-Finance,L2 bidder,14-Feb-2026 07:04 PM,Finance,Summary,Dipika Majhi,06-Feb-2026 10:30 PM,finance_556281.pdf,BOQ Comparative Chart,eerwd,Internal,,Aniruddha Dora,14-Feb-2026 07:04 PM,finsummary_556281.pdf (735.49 KB),eerwd,Internal,,Aniruddha Dora,14-Feb-2026 06:59 PM,techsummary_556281.pdf (599.09 KB),AOC,"5,870",Yes,fixed,,Nil,Nil,S/R to Tandilul to Champahat via Basantapur Road for the year 2025-26,S/R to Tandilul to Champahat via Basantapur Road for the year 2025-26,Please refer Tender documents. ,NA ,"5,87,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert, No Relation and affidavit towards Correctness Certificate","O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,","4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 04 of 2025-26,2025_CERWI_119523_47,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,16-Oct-2025 09:00 AM,29-Oct-2025 11:00 AM,16-Oct-2025 11:00 AM,28-Oct-2025 05:00 PM,16-Oct-2025 11:00 AM ,24-Oct-2025 03:00 PM ,16-Oct-2025 11:00 AM,28-Oct-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,2,3163520,BIJAYA BHOL,28-Oct-2025 02:32 PM,Rejected-Finance,L2 bidder,14-Feb-2026 07:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3144866,KEDARESWAR NAYAK,23-Oct-2025 11:25 AM,Rejected-Finance,L2 bidder,14-Feb-2026 07:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3158521,MANAMOHAN PARIMANIK,27-Oct-2025 12:42 PM,Rejected-Finance,L2 bidder,14-Feb-2026 07:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3151698,NAGENDRA JENA,26-Oct-2025 05:13 PM,Rejected-Finance,L2 bidder,14-Feb-2026 07:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3154675,PRABIR BHATTA,26-Oct-2025 03:28 PM,Rejected-Finance,L2 bidder,14-Feb-2026 07:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3146716,PRADEEP KUMAR DAS,26-Oct-2025 07:40 PM,Rejected-Finance,L2 bidder,14-Feb-2026 07:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3156219,Ranjan Kumar Jena,27-Oct-2025 03:26 PM,Rejected-Finance,L2 bidder,14-Feb-2026 07:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3157218,SANJAYA KUMAR BISWAL,27-Oct-2025 05:30 PM,Rejected-Finance,L2 bidder,14-Feb-2026 07:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3153968,SANTOSH KUMAR NAYAK,26-Oct-2025 01:47 PM,Accepted-AOC,L1 bidder,20-May-2026 04:03 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
