S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,3198195.0,Krushna Prasad Swain,INR,"29,263,681",Technical,Documents to be verified,Swagatika Rauto,13-Nov-2025 03:58 PM,technical_559736.pdf,CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_120308_2,Online Tender/36-2025-26/BPR,Construction of Bridge over Patharaganda Nallah on Rudhapadar Harizana Sahi to Kadaliguda road in the District of Ganjam under Setu Bandhana Yojana (SBY) for the year 2024-25 (Span 3 x 10.77m),"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Lopamudra Dalai,17-Dec-2025 03:59 PM,finsummary_559736.pdf (388.07 KB),"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Swagatika Rauto,02-Dec-2025 07:44 PM,06-Dec-2025 11:00 AM,techsummary_559736.pdf (265.62 KB),Finance,Documents to be verified,Swagatika Rauto,06-Dec-2025 05:19 PM,finance_559736.pdf,BOQ Comparative Chart,27-Jan-2026,"INR 29,263,681",365.0,Lopamudra Dalai,19-May-2026 03:24 PM,Patharaganda.pdf (543.00 KB),1,3213922,Ankeeta Pattnayak,11-Nov-2025 04:19 PM,Rejected-AOC,2nd Lowest,19-May-2026 03:24 PM,AOC,Construction of Bridge over Patharaganda Nallah on Rudhapadar Harizana Sahi to Kadaliguda road in the District of Ganjam under Setu Bandhana Yojana (SBY) for the year 2024-25 (Span 3 x 10.77m),Construction of Bridge over Patharaganda Nallah on Rudhapadar Harizana Sahi to Kadaliguda road in the District of Ganjam under Setu Bandhana Yojana (SBY) for the year 2024-25 (Span 3 x 10.77m),Please refer Tender documents. ,NA ,"3,44,24,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Bhanjanagar,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM,",No ,No,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/36-2025-26/BPR,2025_CERWI_120308_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,29-Oct-2025 06:00 PM,12-Nov-2025 11:00 AM,29-Oct-2025 06:00 PM,11-Nov-2025 05:30 PM,29-Oct-2025 06:00 PM ,07-Nov-2025 05:30 PM ,29-Oct-2025 06:00 PM,11-Nov-2025 05:30 PM,06-Dec-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN","3,44,300",Yes,fixed,,Nil,Nil,"Chief Construction Engineer, R.W.Circle, BAM,","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3198195,Krushna Prasad Swain,11-Nov-2025 12:57 PM,Accepted-AOC,Successful bidders after lottery system,19-May-2026 03:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3198120,Prabhat Chandra Dalabehera,10-Nov-2025 06:44 PM,Rejected-AOC,1st Lowest,19-May-2026 03:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3200278,SS CONSTRUCTION,11-Nov-2025 04:51 PM,Rejected-AOC,1st Lowest,19-May-2026 03:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3211824,TEJ KIRAN SAMANTRAY,11-Nov-2025 12:02 PM,Rejected-AOC,1st Lowest,19-May-2026 03:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
