EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"27,173",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,ONLINE-BGH-07,2025_CERWI_118819_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,27-Sep-2025 11:00 AM,17-Oct-2025 11:00 AM,27-Sep-2025 11:00 AM,16-Oct-2025 05:00 PM,27-Sep-2025 11:00 AM ,16-Oct-2025 04:00 PM ,27-Sep-2025 11:00 AM,16-Oct-2025 05:00 PM,1.0,ICICI BANK,"Construction of Residential Quarter of Tahasildar , Building Sohela for the year 2025-26 in the district of Bargarh","Construction of Residential Quarter of Tahasildar , Building Sohela for the year 2025-26 in the district of Bargarh",NA ,NA ,"27,17,270",Civil Works - Buildings,NA ,Tender,90.0,180.0,Bargarh,768028.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BARAGARH",No ,No,1.0,Corrigendum2,Other,,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN Card, Valid GSTIN, Affidavit, No Relation Certificate As per DTCN.",Executive Engineer,"RURAL WORKS DIVISION, BARAGARH",AOC,25-May-2026,"INR 2,309,951",180.0,Kumarmani Kishan,25-May-2026 11:30 AM,lakhs.pdf (175.00 KB),1,3121828,GIRIJA SHANKAR DEBTA,15-Oct-2025 07:13 PM,Rejected-Finance,L2,25-May-2026 11:22 AM,Executive Engineer,Internal,"EE,DAO,EE ESTIMATOR,AE ESTIMATOR",Kumarmani Kishan,25-May-2026 11:15 AM,techsummary_554414.pdf (192.45 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,2025_CERWI_118819_1,ONLINE-BGH-07,"Construction of Residential Quarter of Tahasildar , Building Sohela for the year 2025-26 in the district of Bargarh",Executive Engineer,Internal,"EE,DAO,EE ESTIMATOR,AE ESTIMATOR",Kumarmani Kishan,25-May-2026 11:22 AM,finsummary_554414.pdf (192.45 KB),Finance,ok,Sunanda Kisan,17-Oct-2025 12:17 PM,,BOQ Comparative Chart,1.0,3129744.0,LAKSHAPATI MAHANANDA,INR,"2,309,951",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,AOC,,,,,,,2,3129744,LAKSHAPATI MAHANANDA,15-Oct-2025 05:38 PM,Accepted-AOC,L1,25-May-2026 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3129921,SUBHENDU SEKHAR SAHU,15-Oct-2025 06:39 PM,Rejected-Finance,L3,25-May-2026 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
