S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2989494.0,ASHOK KUMAR PADHAN,INR,"3,555,770.23",Finance,Technical Bid downloaded successfully,ANANTARAM NAIK,22-Aug-2025 08:55 PM,finance_544291.pdf,BOQ Comparative Chart,SEKID,Internal,"SEKID,AEEESTR,DAO,AE",ANANTARAM NAIK,08-Oct-2025 08:36 PM,finsummary_544291.pdf (438.01 KB),"CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna||EE Kalahandi Irr Divn. Bhawanipatna",2025_CEBMT_114821_5,e-KLID-01/2025-26,Protection to scoured left bank of river Udanti near village Kopia from RD 00m to 180.0m of Sinapali Block in Nuapada District,SEKID,Internal,"SEKID,AEEESTR,DAO,AE",ANANTARAM NAIK,07-Oct-2025 09:18 PM,techsummary_544291.pdf (811.78 KB),1,2989680,ANJAN KUMAR BEHERA,08-Jul-2025 10:50 AM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 08:36 PM,17-Oct-2025,"INR 3,555,770.23",180.0,ANANTARAM NAIK,01-May-2026 08:20 PM,05.pdf (683.00 KB),AOC,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, Contractor RC, PAN,Affidavit, NRC and any other as per DTCN","6,000",0.0,Nil,Nil,No,Protection to scoured left bank of river Udanti near village Kopia from RD 00m to 180.0m of Sinapali Block in Nuapada District,Protection to scoured left bank of river Udanti near village Kopia from RD 00m to 180.0m of Sinapali Block in Nuapada District,Please refer Tender documents. ,NA ,"41,82,767",Civil Works - Others,NA ,Tender,90.0,180.0,Sinapali,766108.0,NA ,NA ,NA ,"Office of the SE, Kalahandi Irrigation Division",No ,No,"41,900",Yes,fixed,,Nil,Nil,"Office of the SE, Kalahandi Irrigation Division","Office of the SE, Kalahandi Irrigation Division, Bhawanipatna",25-Jun-2025 11:00 AM,09-Jul-2025 11:00 AM,25-Jun-2025 11:00 AM,08-Jul-2025 05:30 PM,25-Jun-2025 11:00 AM ,30-Jun-2025 05:30 PM ,25-Jun-2025 11:00 AM,08-Jul-2025 05:30 PM,1.0,ICICI BANK,"CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna||EE Kalahandi Irr Divn. Bhawanipatna",e-KLID-01/2025-26,2025_CEBMT_114821_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2989494,ASHOK KUMAR PADHAN,05-Jul-2025 10:57 AM,Accepted-AOC,AOC,01-May-2026 08:20 PM,,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2992678,AVAS NIAL,07-Jul-2025 08:38 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 08:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2990842,Banishree Mishra,06-Jul-2025 01:04 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 08:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2985990,BIBHUTI RANJAN PATTNAIK,04-Jul-2025 10:31 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 08:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2989406,Bikash Chandra Panigrahi,05-Jul-2025 01:11 AM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 08:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2988892,CHAITANYA MAJHI,06-Jul-2025 11:17 AM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 08:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2992714,DEEPAK CHOUHAN,07-Jul-2025 09:08 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 08:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2992652,DOLAMANI BIBHAR,07-Jul-2025 08:14 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 08:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2988646,GITANJALI PADHAN,04-Jul-2025 03:35 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 08:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
