Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
SE Sambalpur (R and B) Divn-II,O/O the SE Sambalpur (R and B) Divn-II,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,SE / R and B / SBP II / 01 (online) / 2025-26,2025_EICCL_117314_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"36,600",Yes,fixed,,Nil,Nil,"Construction of office building, staff room and Godown for Pig Building farm at Gosala in the district of Sambalpur for the year 2025-26 (Composite)",Building composite works,Please refer Tender documents. ,NA ,"36,55,201",Civil Works - Buildings,NA ,Tender,90.0,120.0,Burla,768017.0,NA ,NA ,NA ,O/O the SE Sambalpur (R and B) Divn-II,No ,No,26-Aug-2025 11:00 AM,16-Sep-2025 11:30 AM,26-Aug-2025 11:00 AM,15-Sep-2025 05:00 PM,26-Aug-2025 11:00 AM ,13-Sep-2025 05:00 PM ,26-Aug-2025 11:00 AM,15-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, Valid License, PAN, GST, Affidavit and other documents as per DTCN",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,2025_EICCL_117314_1,SE / R and B / SBP II / 01 (online) / 2025-26,"Construction of office building, staff room and Godown for Pig Building farm at Gosala in the district of Sambalpur for the year 2025-26 (Composite)",Jagatjeet Behera SE,Internal,"S.K Dhurua JE Estimator , A.K Mishra DAO",Jagatjit Behera,15-May-2026 02:10 PM,finsummary_550406.pdf (283.31 KB),Finance,16 nos bid opened and to be evaluated,Jagatjit Behera,18-Sep-2025 07:19 AM,,BOQ Comparative Chart,1.0,3079140.0,AADYASHA ELECTRICALS PROP. UPENDRA KUMAR SAHOO,INR,"3,107,286",15-May-2026,"INR 3,107,286",120.0,Jagatjit Behera,15-May-2026 02:23 PM,1633p1.pdf (206.00 KB),Agrt no1633 p1 of 2025-26,1,3079140,AADYASHA ELECTRICALS PROP. UPENDRA KUMAR SAHOO,14-Sep-2025 10:08 PM,Accepted-AOC,Qualified in lottery,15-May-2026 02:23 PM,Jagatjeet Behera SE,Internal,"S.K Dhurua JE Estimator, A.K Mishra DAO",Jagatjit Behera,15-May-2026 01:57 PM,techsummary_550406.pdf (283.31 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3080534,ASHOK KUMAR DEBTA,15-Sep-2025 11:41 AM,Rejected-AOC,Disqualified in lottery,15-May-2026 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3078674,CHUMKI PODHA,13-Sep-2025 03:52 PM,Rejected-AOC,Disqualified in lottery,15-May-2026 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3073066,HARI OM MAHAKAAL CONSTRUCTION AND ORDER SUPPLY,10-Sep-2025 11:20 PM,Rejected-AOC,Disqualified in lottery,15-May-2026 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3078368,JHARANA PANDA,14-Sep-2025 05:09 PM,Rejected-AOC,Disqualified in lottery,15-May-2026 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3080571,JITENDER RAY,15-Sep-2025 11:27 AM,Rejected-AOC,Disqualified in lottery,15-May-2026 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3076050,KISHOR KUMAR SARANGI,12-Sep-2025 07:07 PM,Rejected-AOC,Disqualified in lottery,15-May-2026 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3081382,"M/s. SHYAMJI ASSOCIATES, PROPRIETOR-ANJU AGRAWAL",15-Sep-2025 02:26 PM,Rejected-AOC,Disqualified in lottery,15-May-2026 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3076972,N GOPAL KRISHNA,12-Sep-2025 10:32 PM,Rejected-AOC,Disqualified in lottery,15-May-2026 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3080499,NIRANJAN SAHOO,15-Sep-2025 10:38 AM,Rejected-AOC,Disqualified in lottery,15-May-2026 02:23 PM,,,,,,,AOC
