Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Scanned copies of all documents,"10,000",0.0,Nil,Nil,No,Improvement of road and drain at HIG Colony Jaydev Vihar in Ward No. 12,Improvement of road and drain at HIG Colony Jaydev Vihar in Ward No. 12,Please refer Tender documents. ,NA ,"54,88,844",Civil Works - Others,NA ,Tender,120.0,90.0,BMC Area,751022.0,Office Chamber of EE Central Tender Cell ,"UG Floor,Office Chamber of EE Central Tender Cell ",10-Dec-2025 04:30 PM ,Central Tender Cell,No ,No,"54,900",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-49/2025-26 dt. 02.12.2025,2025_ORULB_122481_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,04-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,04-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,04-Dec-2025 11:00 AM ,10-Dec-2025 03:30 PM ,04-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,07-Mar-2026 12:30 PM,Executive Engineer (Central Tender Cell),"UG Floor,Office Chamber of EE Central Tender Cell,ICOMC Tower,BMC",1.0,ICICI BANK,AOC,07-May-2026,"INR 5,505,958",90.0,Lipsa Parida,07-May-2026 01:16 PM,WO_49_2.pdf (584.00 KB),1,3313924,AKSHAYA KUMAR SAHOO,18-Dec-2025 01:41 PM,Rejected-Finance,Rejected,17-Mar-2026 04:06 PM,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONI,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,07-Mar-2026 09:52 AM,07-Mar-2026 12:30 PM,techsummary_569015.pdf (324.02 KB),Finance,13 bids opened successfully,Lipsa Parida,07-Mar-2026 01:06 PM,finance_569015.pdf,BOQ Comparative Chart,Technical,14 bids opened successfully,Lipsa Parida,19-Dec-2025 11:39 AM,technical_569015.pdf,Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_122481_2,BMC-EE-Tender Cell-49/2025-26 dt. 02.12.2025,Improvement of road and drain at HIG Colony Jaydev Vihar in Ward No. 12,City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEDIVISIONI,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,17-Mar-2026 04:06 PM,finsummary_569015.pdf (1989.03 KB),1.0,3312720.0,NABIN KUMAR JENA,INR,"5,505,958",AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,2,3314670,AMARESH SAHOO,18-Dec-2025 04:33 PM,Rejected-Technical,Technically disqualified,07-Mar-2026 09:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3285040,AMIN BARISAL,06-Dec-2025 08:23 PM,Rejected-Finance,Rejected,17-Mar-2026 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3294388,BIJAYA KUMAR PARIDA,17-Dec-2025 10:44 AM,Rejected-Finance,Rejected,17-Mar-2026 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3312584,DIPAK KUMAR NAYAK,17-Dec-2025 09:02 PM,Rejected-Finance,Rejected,17-Mar-2026 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3313629,KALPATARU DAS,18-Dec-2025 12:43 PM,Rejected-Finance,Rejected,17-Mar-2026 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3314644,MANASH KUMAR BEHERA,18-Dec-2025 04:28 PM,Rejected-Finance,Rejected,17-Mar-2026 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3313828,M/S OMM SAI ASSOCIATES,18-Dec-2025 01:36 PM,Rejected-Finance,Rejected,17-Mar-2026 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3312720,NABIN KUMAR JENA,18-Dec-2025 02:48 PM,Accepted-AOC,L1 bidder,07-May-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3313943,PRIYANKA SWAIN,18-Dec-2025 03:56 PM,Rejected-AOC,L2 bidder,07-May-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
