Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
30-May-2026,"INR 285,011",180.0,Rajendra Majhi,30-May-2026 11:36 AM,6.pdf (224.00 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2025_CERWI_120400_14,EETIG-ONLINE-04-2025-26,SR to GHD building at Biripali under Bangomunda Block for the year 2025-26,1.0,3206902.0,NANDA KISHOR AGRAWAL,INR,"285,011",1,3204706,ABHISHEK SARAF,10-Nov-2025 12:53 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,Finance,34NOS BIDDERS,Rajendra Majhi,14-Nov-2025 11:54 AM,finance_560355.pdf,BOQ Comparative Chart,RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,30-May-2026 11:34 AM,finsummary_560355.pdf (223.70 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,30-May-2026 11:26 AM,techsummary_560355.pdf (223.70 KB),AOC,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,EETIG-ONLINE-04-2025-26,2025_CERWI_120400_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,01-Nov-2025 11:00 AM,11-Nov-2025 11:30 AM,01-Nov-2025 11:00 AM,10-Nov-2025 05:00 PM,01-Nov-2025 11:00 AM ,10-Nov-2025 11:00 AM ,01-Nov-2025 11:00 AM,10-Nov-2025 05:00 PM,THE SE RWD TITILAGARH,O/O THE SE RWD TITILAGARH,"3,360",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,CONTRACTOR REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS",SR to GHD building at Biripali under Bangomunda Block for the year 2025-26,SR to GHD building at Biripali under Bangomunda Block for the year 2025-26,PLEASE REFER TENDER DOCUMENTS ,NA ,"3,35,268",Civil Works - Buildings,NA ,Tender,90.0,180.0,TITILAGARH,767042.0,NA ,NA ,NA ,O/O THE SE RWD TITILAGARH,No ,No,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3204897,AKASH KUMAR SHARMA,10-Nov-2025 08:42 AM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,"NO RELATION, LABOUR LICENSE AND OTHER RELATED DOCUMENTS AS PER DTCN",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3192265,ANAND PRAKASH SHARMA,07-Nov-2025 09:55 AM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3208626,ARYA INFRASTRCTURE,10-Nov-2025 04:19 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3208538,BASANT MEHER,10-Nov-2025 04:55 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3195035,DETYARAJ PAHALADA SAHA,08-Nov-2025 02:32 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3195355,DUSILA SAHU,08-Nov-2025 02:31 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3200082,GHASIRAM JAINI,09-Nov-2025 09:59 AM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3172809,GOLEK NAIK,04-Nov-2025 07:37 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3207177,Gunabanta Behera,10-Nov-2025 01:47 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
