Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
06-May-2026,"INR 717,156.36",30.0,Pramod Kumar Padhi,06-May-2026 04:46 PM,41proceeding.pdf (323.00 KB),Municipal Bodies||Bhawanipatna Municipality,2026_ORULB_126263_14,BPM/07/2025-26,Improvement of Drain with installation of Cover Slab from Swagat ITI to DIC Office in Ward No-06,1.0,3416426.0,Anubhab Mishra,INR,"717,156.36",1,3416426,Anubhab Mishra,02-Mar-2026 07:01 PM,Accepted-AOC,Awarded,06-May-2026 04:46 PM,Finance,Accepted,Pramod Kumar Padhi,02-May-2026 04:21 PM,,BOQ Comparative Chart,CP,Internal,,Pramod Kumar Padhi,04-May-2026 05:56 PM,finsummary_581858.pdf (323.27 KB),CP,Internal,,Pramod Kumar Padhi,03-May-2026 02:34 PM,techsummary_581858.pdf (323.27 KB),AOC,Improvement of Drain with installation of Cover Slab from Swagat ITI to DIC Office in Ward No-06,Improvement of Drain with installation of Cover Slab from Swagat ITI to DIC Office in Ward No-06,Please refer Tender documents. ,NA ,"7,17,798",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,1.0,ICICI BANK,1.0,Extension of date,Date,,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",Municipal Bodies||Bhawanipatna Municipality,BPM/07/2025-26,2026_ORULB_126263_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,19-Feb-2026 02:00 PM,09-Mar-2026 05:30 PM,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,NA ,NA ,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,"4,000",0.0,Nil,Nil,No,"7,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,2,3423190,BIBHUTI BHUSAN PANDA,09-Mar-2026 10:29 AM,Accepted-Technical,Accept,03-May-2026 02:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,3,3418690,BIKASH KUMAR SAHANI,04-Mar-2026 10:54 PM,Accepted-Technical,Accept,03-May-2026 02:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3419509,DEEPAK KUMAR SAHANI,05-Mar-2026 02:27 PM,Accepted-Technical,Accept,03-May-2026 02:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3424330,HARI SHANKAR PATNAIK,09-Mar-2026 04:34 PM,Rejected-AOC,l2,06-May-2026 04:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3414969,JANAKI PUJHARI,03-Mar-2026 11:54 AM,Accepted-Technical,Accept,03-May-2026 02:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3416277,KIRAN KUMAR SAHU,02-Mar-2026 06:31 PM,Accepted-Technical,Accept,03-May-2026 02:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3415258,NILAKANTHA SAHU,03-Mar-2026 04:32 PM,Accepted-Technical,Accept,03-May-2026 02:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3419187,PRATIK BHANSALI,05-Mar-2026 12:46 PM,Accepted-Technical,Accept,03-May-2026 02:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3414985,SARITA SAHU,03-Mar-2026 06:29 PM,Accepted-Technical,Accept,03-May-2026 02:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
