Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"SE, RW Division, Dhenkanal","SE, RW Division, Dhenkanal","25,170",Yes,percentage,1.0%,Nil,Nil,S/R to Gadasila Balarampur road for the year 2025-26,S/R to Gadasila Balarampur road for the year 2025-26,Please refer Tender documents. ,NA ,"25,17,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Dhenkanal,759001.0,NA ,NA ,NA ,"SE, RW Division, Dhenkanal",No ,No,CE RW I||RWCIRCLE-ANGUL||RWDIVISION-DHENKANAL,Online DKL-08/2025-26,2025_CERWI_121438_36,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD in online mode, RC, PAN, GSTIN, Affidavit and others as per DTCN",18-Nov-2025 09:00 AM,24-Nov-2025 04:00 PM,18-Nov-2025 09:00 AM,24-Nov-2025 02:00 PM,NA ,NA ,18-Nov-2025 09:00 AM,24-Nov-2025 02:00 PM,1.0,ICICI BANK,AOC,SE,Internal,DAO Estimator,Sonali Sucharita Rout,10-May-2026 09:32 PM,finsummary_565237.pdf (83.63 KB),SE,Internal,DAO Estimator,Sonali Sucharita Rout,10-May-2026 09:26 PM,techsummary_565237.pdf (83.63 KB),10-May-2026,"INR 2,139,435.779",60.0,Sonali Sucharita Rout,10-May-2026 09:35 PM,Tender_Comm.pdf (84.00 KB),Awarded,1,3246999,ANGADA KUMAR NAYAK,23-Nov-2025 01:38 PM,Rejected-Finance,Not Awarded,10-May-2026 09:32 PM,CE RW I||RWCIRCLE-ANGUL||RWDIVISION-DHENKANAL,2025_CERWI_121438_36,Online DKL-08/2025-26,S/R to Gadasila Balarampur road for the year 2025-26,1.0,3250317.0,Jagadananda Rout,INR,"2,139,435.779",Finance,opened,Sonali Sucharita Rout,27-Nov-2025 09:25 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,2,3245684,Anshuman Swain,21-Nov-2025 11:53 PM,Rejected-Finance,Not Awarded,10-May-2026 09:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3248235,A R CONSTRUCTION PROP. ASHUTOSH SAHOO,24-Nov-2025 12:06 AM,Rejected-Finance,Not Awarded,10-May-2026 09:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3248930,Chnadra Bhanupratap Singh,23-Nov-2025 09:36 PM,Rejected-Finance,Not Awarded,10-May-2026 09:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3247271,DILLIP KUMAR JENA,23-Nov-2025 12:32 AM,Rejected-Finance,Not Awarded,10-May-2026 09:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3247600,Gyanendra Dhar,23-Nov-2025 11:37 AM,Rejected-Finance,Not Awarded,10-May-2026 09:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3250317,Jagadananda Rout,24-Nov-2025 12:39 PM,Accepted-AOC,Awarded,10-May-2026 09:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3249133,JEETENDRA KUMAR BEHERA,23-Nov-2025 10:43 PM,Rejected-Finance,Not Awarded,10-May-2026 09:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3243124,Lili Rout,22-Nov-2025 05:29 PM,Rejected-Finance,Not Awarded,10-May-2026 09:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3247805,M/S. RAJ RIYANSH CONSTRUCTIONS,23-Nov-2025 02:17 PM,Rejected-Finance,Not Awarded,10-May-2026 09:32 PM,,,,,,,,,,,,,,,,AOC
