Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, GST, EMD, Paper Cost and other documents as per DTCN",Rourkela Municipal Corporation,MC/RMC/14/2026,2026_RMC_126401_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,21-Feb-2026 06:00 PM,05-Mar-2026 11:00 AM,21-Feb-2026 06:00 PM,02-Mar-2026 05:00 PM,NA ,NA ,21-Feb-2026 06:00 PM,02-Mar-2026 05:00 PM,"13,050",Yes,fixed,,Nil,Nil,"Construction of connecting drain near Mangala mandir at Bindhani basti and Ram basti in ward no. 07 Deogaon, under RMC Rourkela",Works,Please refer Tender documents. ,NA ,"13,05,000",Civil Works - Others,NA ,Tender,90.0,45.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"6,000",Nil,Nil,No,AOC,1.0,3414868.0,BRAJA MOHAN BEURA,INR,"1,305,117.08",13-May-2026,"INR 1,305,117.08",45.0,Birendra Nanda,13-May-2026 12:30 PM,BID14.pdf (4917.00 KB),Awarded to Braja Mohan Beura,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,13-May-2026 11:59 AM,finsummary_582275.pdf (4917.34 KB),Rourkela Municipal Corporation,2026_RMC_126401_4,MC/RMC/14/2026,"Construction of connecting drain near Mangala mandir at Bindhani basti and Ram basti in ward no. 07 Deogaon, under RMC Rourkela",1,3416429,Ajit Kumar Guru,02-Mar-2026 04:08 PM,Rejected-Technical,By The Tender Committee,11-May-2026 01:56 PM,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,11-May-2026 01:56 PM,techsummary_582275.pdf (4917.34 KB),Finance,EMD refund,Manas Biswal,11-May-2026 01:11 PM,finance_582275.pdf,BOQ Comparative Chart,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,3414774,ANIL BEHERA (S.C),01-Mar-2026 11:07 PM,Rejected-Technical,By The Tender Committee,11-May-2026 01:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3,3414483,ARADHYA CONSTRUCTION,27-Feb-2026 06:41 PM,Rejected-Technical,By The Tender Committee,11-May-2026 01:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4,3414118,ARATI TRIPATHY,27-Feb-2026 02:17 PM,Rejected-Technical,By The Tender Committee,11-May-2026 01:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,5,3414522,BARUNI MALLICK,27-Feb-2026 07:38 PM,Rejected-Technical,By The Tender Committee,11-May-2026 01:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,6,3412713,BIPRA CHARAN DHAL,26-Feb-2026 01:53 PM,Rejected-Technical,By The Tender Committee,11-May-2026 01:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,7,3414868,BRAJA MOHAN BEURA,28-Feb-2026 09:51 PM,Accepted-AOC,By The Tender Committee,13-May-2026 12:30 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,8,3414180,GYANA RANJAN DAS,27-Feb-2026 02:45 PM,Rejected-Technical,By The Tender Committee,11-May-2026 01:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,9,3416832,MANORANJAN JENA,02-Mar-2026 03:48 PM,Rejected-Technical,By The Tender Committee,11-May-2026 01:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,10,3414533,SANJAY KUMAR PRADHAN,27-Feb-2026 10:03 PM,Rejected-Technical,By The Tender Committee,11-May-2026 01:56 PM,,,,,,,,,,,,,AOC
