S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,3427080.0,S R Lab Instruments,INR,"88,028",Odisha University of Technology and Research,2026_OUTR_126775_1,OUTR/SIP/ASL/2025-26/44,Supply of Carbonation Chamber and Half Cell Potentiometer,Prof. S Dash,Internal,"Prof. P Sahoo, Prof. C Tudu, Prof. B Majhi",Anjan Kumar Sahoo,29-Apr-2026 11:10 AM,30-Apr-2026 11:00 AM,techsummary_583605.pdf (666.21 KB),Dr. S Dash,Internal,"Mrs. C Tudu, Mr. B Majhi, Mrs. P Sahoo",Anjan Kumar Sahoo,25-May-2026 04:48 PM,finsummary_583605.pdf (279.40 KB),25-May-2026,"INR 719,328",30.0,Anjan Kumar Sahoo,25-May-2026 04:55 PM,POAdvStructLab.pdf (1868.00 KB),PO of Adv. Structural Lab,1,3437292,AIMIL LTD,20-Mar-2026 04:29 PM,Accepted-AOC,L1 bidder for item in sl no 2,25-May-2026 04:55 PM,Technical,The tender is opened in due date and time total 4 bids are received.,Anjan Kumar Sahoo,24-Mar-2026 04:22 PM,technical_583605.pdf,Finance,The bid is opened in due time,Anjan Kumar Sahoo,01-May-2026 02:57 PM,finance_583605.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,Supply of Carbonation Chamber and Half Cell Potentiometer,Supply of Carbonation Chamber and Half Cell Potentiometer for Advanced Structural Engineering Laboratory of School of Infrastructure and Planning at OUTR,Please refer Tender documents. ,NA ,,Laboratory Equipment,NA ,Tender,120.0,30.0,Bhubaneswar,751029.0,NA ,NA ,NA ,"OUTR, Bhubaneswar",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,28-Feb-2026 06:00 PM,24-Mar-2026 11:00 AM,01-Mar-2026 10:00 AM,23-Mar-2026 06:00 PM,NA ,NA ,01-Mar-2026 11:00 AM,23-Mar-2026 06:00 PM,30-Apr-2026 11:00 AM,"15,200",Yes,fixed,,OUTR,Bhubaneswar,"1,000",OUTR,Bhubaneswar,No,Odisha University of Technology and Research,OUTR/SIP/ASL/2025-26/44,2026_OUTR_126775_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,Registrar,"The Registrar, Odisha University of Technology and Research, Techno campus, Mahalaxmi Vihar, Bhubaneswar, PIN- 751 029",AOC
2.0,3437292.0,AIMIL LTD,INR,"631,300",,,,,,,,,,,,,,,,,,,,,,,,,2,3434981,EIE INSTRUMENTS PVT LTD,21-Mar-2026 11:25 AM,Rejected-Finance,L1 bidder for non of the item,25-May-2026 04:48 PM,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3439338,RASHMITA TRADERS,23-Mar-2026 03:39 PM,Rejected-Technical,ISO Certificate and IT Return of FY 2024-25 Missing,29-Apr-2026 11:10 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3427080,S R Lab Instruments,21-Mar-2026 02:54 PM,Accepted-AOC,L1 bidder for item in sl no 1,25-May-2026 04:55 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
