Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
Finance,13 Bid found,Raju Dhaunlia,18-May-2026 06:19 PM,finance_557928.pdf,BOQ Comparative Chart,1.0,3167439.0,PRAVAT RANJAN SAHOO,INR,"5,399,992",CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,2025_CERWI_119974_3,Online AGL-06,NH-42 to (Mushapapuli chhak) Paratara road,EE,Internal,DAO Est,Raju Dhaunlia,18-May-2026 06:30 PM,finsummary_557928.pdf (202.09 KB),EE,Internal,DAO Est,Raju Dhaunlia,18-May-2026 06:22 PM,techsummary_557928.pdf (202.09 KB),1,3167778,ASHOK KUMAR SAHOO,30-Oct-2025 02:17 PM,Rejected-Finance,Not Won,18-May-2026 06:30 PM,18-May-2026,"INR 5,399,992",60.0,Raju Dhaunlia,18-May-2026 06:34 PM,Musa306.pdf (448.00 KB),306P-I,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD Online, RC PAN GST Affidavit regarding correctness No relation Certificate",CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,Online AGL-06,2025_CERWI_119974_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, R.W.Division, Angul","Executive Engineer, R.W.Division, Angul","10,000",0.0,Nil,Nil,No,NH-42 to (Mushapapuli chhak) Paratara road,NH-42 to (Mushapapuli chhak) Paratara road,Please refer Tender documents. ,NA ,"53,83,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Angul,759143.0,NA ,NA ,NA ,"O/O Executive Engineer, R.W.Division, Angul",No ,No,"53,850",Yes,fixed,,Nil,Nil,24-Oct-2025 12:45 PM,30-Oct-2025 06:00 PM,24-Oct-2025 12:45 PM,30-Oct-2025 05:00 PM,24-Oct-2025 12:45 PM ,29-Oct-2025 05:00 PM ,24-Oct-2025 12:45 PM,30-Oct-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3162028,ASUTOSH PRADHAN,28-Oct-2025 09:13 AM,Rejected-Finance,Not Won,18-May-2026 06:30 PM,,,,,,,,AOC,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3166835,Biswaranjan Nayak,30-Oct-2025 10:45 AM,Rejected-Finance,Not Won,18-May-2026 06:30 PM,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3161911,CHINMAYA PRADHAN,29-Oct-2025 06:34 AM,Rejected-Finance,Not Won,18-May-2026 06:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3165497,DEVEN KUMAR AGARWALLA,30-Oct-2025 10:06 AM,Rejected-Finance,Not Won,18-May-2026 06:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3167038,DILLIP KUMAR BEHERA,30-Oct-2025 11:38 AM,Rejected-Finance,Not Won,18-May-2026 06:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3167039,KULDIP PRADHAN,30-Oct-2025 10:55 AM,Rejected-Finance,Not Won,18-May-2026 06:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3167439,PRAVAT RANJAN SAHOO,30-Oct-2025 01:17 PM,Accepted-AOC,OK,18-May-2026 06:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3166704,SANOJ NAIK,29-Oct-2025 07:47 PM,Rejected-Finance,Not Won,18-May-2026 06:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3167903,SARBESWAR SAHOO,30-Oct-2025 02:29 PM,Rejected-Finance,Not Won,18-May-2026 06:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
