S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,3385642.0,GHASIRAM JAINI,INR,"587,467",Finance,19nos bidders,Rajendra Majhi,13-Feb-2026 06:10 PM,finance_578184.pdf,BOQ Comparative Chart,RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,08-May-2026 12:21 PM,finsummary_578184.pdf (221.26 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2026_CERWI_125179_7,EETIG-ONLINE-15-2025-26,"SR to Ichhapara to Sargul road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, under Muribahal Block for the year 2025-26",RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,08-May-2026 12:16 PM,techsummary_578184.pdf (221.26 KB),08-May-2026,"INR 587,467",180.0,Rajendra Majhi,08-May-2026 12:24 PM,10.pdf (221.00 KB),1,3385654,ABHISHEK SARAF,09-Feb-2026 10:47 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 12:21 PM,AOC,"5,880",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,CONTRACTOR REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS","4,000",0.0,Nil,Nil,No,"SR to Ichhapara to Sargul road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, under Muribahal Block for the year 2025-26","SR to Ichhapara to Sargul road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, under Muribahal Block for the year 2025-26",PLEASE REFER TENDER DOCUMENTS ,NA ,"5,88,055",Civil Works - Roads,NA ,Tender,90.0,180.0,TITILAGARH,767042.0,NA ,NA ,NA ,O/O THE SE RWD TITILAGARH,No ,No,THE EE RWD TITILAGARH,O/O THE SE RWD TITILAGARH,30-Jan-2026 11:00 AM,11-Feb-2026 11:00 AM,30-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,30-Jan-2026 11:00 AM ,09-Feb-2026 11:00 AM ,30-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,EETIG-ONLINE-15-2025-26,2026_CERWI_125179_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3388496,ADHYAN INFRA,09-Feb-2026 09:07 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 12:21 PM,AOC,,,,,,,,,.pdf,"NO RELATION CERTIFICATE, LABOUR LICENSE AND OTHER RELATED DOCUMENTS AS PER DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3388942,Amit Agrawal,10-Feb-2026 11:40 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 12:21 PM,AOC,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3390830,Anil Kumar Agrawal,10-Feb-2026 03:03 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3391019,ANTARYAMI SUNA,10-Feb-2026 04:19 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3386627,BASANT KUMAR JAIN,09-Feb-2026 01:21 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3385642,GHASIRAM JAINI,09-Feb-2026 11:33 AM,Accepted-AOC,AOC,08-May-2026 12:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3388857,GOURAB KUMAR BANSAL,09-Feb-2026 08:30 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3387860,HEENA AGRAWAL,09-Feb-2026 02:22 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3389985,HEMAKANTI BEHERA,10-Feb-2026 02:53 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
