S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,CE RW I||RWCIRCLE-RAYAGADA,NCB 14 RWCRGDA 2025 26,2025_CERWI_117766_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,23,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Annual Turn Over Electrical Joint Venture and other papers as per DTCN,Chief Construction Engineer,"Office of the Chief Construction Enginee Rural Works Circle, Rayagada At Raniguda farm near Hatipathara","10,000",0.0,Nil,Nil,No,Construction of 1 No. of B-Type Qtr for Addl. district Judge building at Bissamcuttack in the district of Rayagada for the year 2025-26,Construction of 1 No. of B-Type Qtr for Addl. district Judge building at Bissamcuttack in the district of Rayagada for the year 2025-26,NA ,NA ,"1,23,77,175",Civil Works - Buildings,NA ,Tender,90.0,270.0,Rayagada,765001.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,08-Sep-2025 11:00 AM,17-Sep-2025 11:00 AM,08-Sep-2025 11:00 AM,16-Sep-2025 05:00 PM,08-Sep-2025 11:00 AM ,15-Sep-2025 05:00 PM ,08-Sep-2025 11:00 AM,16-Sep-2025 05:00 PM,11-Nov-2025 11:00 AM,AOC,21-May-2026,"INR 10,521,836.276",270.0,Binod Behari Das,21-May-2026 06:52 PM,BTypeQuater.pdf (15644.00 KB),Work Awarded To Raghunandan Agrawal,1,3083599,BABITA AGRAWAL,16-Sep-2025 02:00 PM,Rejected-Finance,Awarded to Raghunandan Agrawal,29-Jan-2026 05:57 PM,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,05-Nov-2025 01:17 PM,11-Nov-2025 11:00 AM,techsummary_551805.pdf (25032.99 KB),Finance,Verified.,Arjuna Muduli,12-Nov-2025 01:52 PM,finance_551805.pdf,BOQ Comparative Chart,Technical,VERIFIED,Arjuna Muduli,17-Sep-2025 05:42 PM,,CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_117766_1,NCB 14 RWCRGDA 2025 26,Construction of 1 No. of B-Type Qtr for Addl. district Judge building at Bissamcuttack in the district of Rayagada for the year 2025-26,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,29-Jan-2026 05:57 PM,finsummary_551805.pdf (403.45 KB),1.0,3077659.0,Raghunandan Agrawal,INR,"10,521,836.276",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3084031,BHUJABALA DAKUA,16-Sep-2025 04:48 PM,Rejected-AOC,Work Awarded to Raghunandan Agrawal,21-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3083661,CHINMAYA MISHRA,16-Sep-2025 04:34 PM,Rejected-Finance,Awarded to Raghunandan Agrawal,29-Jan-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3081497,GANARAM MAHALA,15-Sep-2025 03:46 PM,Rejected-Finance,Awarded to Raghunandan Agrawal,29-Jan-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3083671,KARAN MISHRA,16-Sep-2025 04:26 PM,Rejected-Finance,Awarded to Raghunandan Agrawal,29-Jan-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3083434,LAXMAN KUMAR PANIGRAHY,16-Sep-2025 01:12 PM,Rejected-Finance,Awarded to Raghunandan Agrawal,29-Jan-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3082167,MANGALA PRASAD PARIDA,15-Sep-2025 06:25 PM,Rejected-Technical,DISQUALIFIED due to not furnishing Similar nature of work vide Clause No.1 f ii of DTCN,05-Nov-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3080449,PRASANNA SETHI,15-Sep-2025 10:09 PM,Rejected-Finance,Awarded to Raghunandan Agrawal,29-Jan-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3083643,PREETAM KUMAR DASH,16-Sep-2025 04:48 PM,Rejected-Finance,Awarded to Raghunandan Agrawal,29-Jan-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3077659,Raghunandan Agrawal,16-Sep-2025 12:51 PM,Accepted-AOC,Work Awarded to Raghunandan Agrawal,21-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
