EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"7,31,100",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit","10,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /07/ 2025-26,2025_EICCL_118425_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",24-Sep-2025 01:00 PM,10-Oct-2025 11:00 AM,24-Sep-2025 01:00 PM,09-Oct-2025 05:00 PM,24-Sep-2025 01:00 PM ,03-Oct-2025 05:00 PM ,24-Sep-2025 01:00 PM,09-Oct-2025 05:00 PM,17-Jan-2026 05:00 PM,1.0,ICICI BANK,Improvement such as widening and strengthening of Sagjuri-Rangatiapada to Kusurda via Sunamudi road from 0-000 km to 6-500 km in the district of Sambalpur under State Plan for the year 2025-26,ROAD WORK,Please refer Tender documents. ,NA ,"7,31,05,976",Civil Works - Roads,NA ,Tender,90.0,180.0,"SAMBALPUR, SAGJURI",768105.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,AOC,1,3115527,ABAKASH MISHRA,08-Oct-2025 04:11 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,25-May-2026 08:49 AM,25-May-2026,"INR 62,147,390",180.0,Hemant Naik,25-May-2026 08:53 AM,AGTSAG.pdf (1345.00 KB),AGT DRAWN,Finance,FINANCIAL BID OPENED,SUCHISMITA SAHU,19-Jan-2026 11:07 AM,,BOQ Comparative Chart,1.0,Tender Revocation,Tender Revocation,15-Jan-2026 06:07 PM,2SAGJURI.pdf ,218.86,Technical Opening,CCE NC SBP,Internal,,Hemant Naik,17-Jan-2026 02:38 PM,17-Jan-2026 05:00 PM,techsummary_553492.pdf (231.35 KB),CCE NC SBP,Internal,,Hemant Naik,25-May-2026 08:49 AM,finsummary_553492.pdf (2083.44 KB),Technical,TECHNICAL BID (COVER-I) OPENED,SUCHISMITA SAHU,15-Jan-2026 07:02 PM,,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_118425_2,CCENC (R AND B) /07/ 2025-26,Improvement such as widening and strengthening of Sagjuri-Rangatiapada to Kusurda via Sunamudi road from 0-000 km to 6-500 km in the district of Sambalpur under State Plan for the year 2025-26,1.0,3117635.0,MUKESH KUMAR,INR,"62,147,390",AOC
,,,,,,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,2,3115962,DEBADATTA MISHRA,08-Oct-2025 11:59 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,25-May-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Work experience certificate and other related documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3115382,DHANESWAR SAHU,08-Oct-2025 10:51 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,25-May-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3117875,ER. MOHIT KUMAR JAIN,08-Oct-2025 08:19 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,25-May-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3117708,MANISH KUMAR AGRAWAL,09-Oct-2025 11:57 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,25-May-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3110151,M.J.CONSTRUCTION,06-Oct-2025 11:18 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,25-May-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3115783,M/S ANANTA BALIA CONSTRUCTION,09-Oct-2025 12:20 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,25-May-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3119622,"M/S SHIBAJI CONSTRUCTION, PROP. KHAGESWAR BEHERA",09-Oct-2025 01:54 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,25-May-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3117635,MUKESH KUMAR,08-Oct-2025 07:24 PM,Accepted-AOC,AGT DRAWN,25-May-2026 08:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3108307,PRASANTA KUMAR SAMANTRAY,05-Oct-2025 09:14 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,25-May-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
