S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3024166.0,SANAT KUMAR PANDA,INR,"121,786,688",Technical,Opening,Pradipta Kumar Nayak,08-Aug-2025 08:31 PM,,EIC-CIVIL,2025_EICCL_115861_4,CE-ROADS-II-07/2025-26,"Improvement of Keshapali (Jujomura) to Badmal RD road via Baghiajharm, Badpati road from 0/000 km to 9/000 km in the district of Sambalpur under State Plan",CE Roads-I Odisha,Internal,,Pradipta Kumar Nayak,19-May-2026 06:56 PM,finsummary_546796.pdf (1897.41 KB),EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,22-Dec-2025 01:30 PM,24-Dec-2025 11:00 AM,techsummary_546796.pdf (376.17 KB),Finance,Opening,Pradipta Kumar Nayak,24-Dec-2025 01:02 PM,,BOQ Comparative Chart,1,3024780,ALPA INFRASTRUCTURE LIMITED,06-Aug-2025 10:00 PM,Rejected-AOC,L1 bidder,19-May-2026 07:01 PM,19-May-2026,"INR 121,786,688",270.0,Pradipta Kumar Nayak,19-May-2026 07:01 PM,1752_Keshapali_to_Badmal_RD_road.pdf (1897.00 KB),05P1 of 2026-27,AOC,EIC-CIVIL,CE-ROADS-II-07/2025-26,2025_EICCL_115861_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Improvement of Keshapali (Jujomura) to Badmal RD road via Baghiajharm, Badpati road from 0/000 km to 9/000 km in the district of Sambalpur under State Plan","Improvement of Keshapali (Jujomura) to Badmal RD road via Baghiajharm, Badpati road from 0/000 km to 9/000 km in the district of Sambalpur under State Plan",Please refer Tender documents. ,NA ,"14,32,61,602",Civil Works - Roads,NA ,Tender,90.0,270.0,Sambalpur-I Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,1.0,ICICI BANK,22-Jul-2025 04:00 PM,08-Aug-2025 11:30 AM,22-Jul-2025 04:00 PM,07-Aug-2025 05:30 PM,NA ,NA ,22-Jul-2025 04:00 PM,07-Aug-2025 05:30 PM,24-Dec-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"14,33,000",Yes,fixed,,Nil,Nil,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3023444,Ashok Kumar Jalan,05-Aug-2025 01:30 PM,Rejected-AOC,L1 bidder,19-May-2026 07:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3022647,DHANESWAR SAHU,06-Aug-2025 12:27 PM,Rejected-AOC,L1 bidder,19-May-2026 07:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3026523,MISHRA INFRA PROJECTS,07-Aug-2025 07:12 AM,Rejected-Technical,Disqualified,22-Dec-2025 01:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3024864,MONALISA ENGICONS,06-Aug-2025 02:02 PM,Rejected-AOC,L1 bidder,19-May-2026 07:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3022719,M/s.S.K.Agarwalla,06-Aug-2025 07:18 PM,Rejected-AOC,L1 bidder,19-May-2026 07:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3024850,M/S SUMEET & ASSOCIATES,06-Aug-2025 06:34 PM,Rejected-AOC,L1 bidder,19-May-2026 07:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3027192,MUKESH KUMAR,07-Aug-2025 03:44 PM,Rejected-AOC,L1 bidder,19-May-2026 07:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3024776,Orient Constructions Pvt. Ltd.,05-Aug-2025 04:36 PM,Rejected-AOC,L1 bidder,19-May-2026 07:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3026628,Paban Kumar Agrawal,07-Aug-2025 02:53 PM,Rejected-AOC,L1 bidder,19-May-2026 07:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
