Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"Md. Shahbaz, SE",Internal,"Er. Nirupama Sahoo AEE (Estr), Mr N. Srinibasha, Sr DAO",Mohammed Shahbaz,05-May-2026 05:30 PM,techsummary_588505.pdf (640.78 KB),27-May-2026,"INR 2,790,870",90.0,Mohammed Shahbaz,27-May-2026 09:38 PM,128379_1_AOC.pdf (1080.00 KB),The agency has been finalised on transparent lottery system,1,3468362,CONSAGE ENGINEERING PRIVATE LIMITED,30-Apr-2026 04:03 PM,Rejected-AOC,Rejected,27-May-2026 09:38 PM,Finance,4nos bids received,Mohammed Shahbaz,02-May-2026 11:40 AM,,BOQ Comparative Chart,1.0,3465317.0,PRANAYA MISHRA,INR,"2,790,870",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2026_EICCL_128379_1,SE CTC (RandB)-02 of 2026-27,"Fire Safety Measures to LINAC Bunker Building in A.H.P.G.I.C., Cuttack (Such as providing Fire Check Door and Other repair works etc.)","Md. Shahbaz, SE",Internal,Er Nirupama Sahoo AEE Estr Er Ruchika Dehury AEE Estr Mr N. Srinivas Sr DAO,Mohammed Shahbaz,27-May-2026 09:35 PM,finsummary_588505.pdf (1944.47 KB),AOC,"Fire Safety Measures to LINAC Bunker Building in A.H.P.G.I.C., Cuttack (Such as providing Fire Check Door and Other repair works etc.)",Building works,As per DTCN ,NA ,"27,90,870",Civil Works - Buildings,NA ,Tender,90.0,90.0,Cuttack,753001.0,NA ,NA ,NA ,"O/O SE Cuttack RandB Division No_I, Cuttack",No ,No,"SE Cuttack RandB Division No_I, Cuttack","O/O SE Cuttack RandB Division No_I, Cuttack",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-02 of 2026-27,2026_EICCL_128379_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd. Certificate, GSTIN, PAN, Affidavit and other Mandatory documents as per DTCN","28,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,23-Apr-2026 10:00 AM,02-May-2026 11:00 AM,23-Apr-2026 10:00 AM,30-Apr-2026 05:00 PM,23-Apr-2026 10:00 AM ,30-Apr-2026 05:00 PM ,23-Apr-2026 10:00 AM,30-Apr-2026 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,2,3465317,PRANAYA MISHRA,27-Apr-2026 12:16 PM,Accepted-AOC,Accepted,27-May-2026 09:38 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3469205,PRASANNAJIT MOHAPATRA,30-Apr-2026 02:39 PM,Rejected-AOC,Rejected,27-May-2026 09:38 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3469382,SRIKANTA KUMAR SATAPATHY,30-Apr-2026 03:04 PM,Rejected-AOC,Rejected,27-May-2026 09:38 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
