Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"Shifting work of Electrical Infrastructure for road widening and strengthening of Khaliapali-Badipali road via Raipali, Rengali from 0/000 Km to 24/789 Km under Deposit work scheme 2024-25 under ESO Khari of SDO Sonepur","Shifting work of Electrical Infrastructure for road widening and strengthening of Khaliapali-Badipali road via Raipali, Rengali from 0/000 Km to 24/789 Km under Deposit work scheme 2024-25 under ESO Khari of SDO Sonepur",Please refer Tender documents. ,NA ,"58,42,519",Electrical Works,NA ,Tender,90.0,180.0,Sonepur,767017.0,NA ,NA ,NA ,S.E. Electrical Circle (RandB) Bhubaneswar,No ,No,S.E. Electrical Circle (RandB) Bhubaneswar,"S.E. Electrical Circle (RandB) Bhubaneswar, Nirman Soudha, Unit-V, 751001.",1.0,Fee/PreQual/Technical,.pdf,"Tender cost, GSTIN, PAN, EMD, Electrical License, Affidavit andother tender documents as per DTCN",1.0,Corrigendum to Date,Date,,1.0,ICICI BANK,EIC-CIVIL||SE R and B Electrical,Bid Identification No.S.E.E.C (RandB) 07/2025-26,2025_EICCL_115453_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,11-Jul-2025 05:00 PM,31-Jul-2025 11:30 AM,11-Jul-2025 05:00 PM,30-Jul-2025 05:00 PM,11-Jul-2025 05:00 PM ,22-Jul-2025 05:00 PM ,11-Jul-2025 05:00 PM,30-Jul-2025 05:00 PM,20-Sep-2025 04:30 PM,"58,425",No,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,AOC,"S.E. Electrical Circle (RandB) Odisha, BBSR",Internal,"AEE, SEEC (RandB) Odisha, BBSR, PA to SEEC (RandB) Odisha, BBSR, AEE, GE Sub Division, Sonepur, DAO, Sonepur (RandB) Division and SE, Sonepur (RandB) Division.",Nihar Chandra Naik,08-May-2026 11:53 AM,finsummary_545838.pdf (374.34 KB),EIC-CIVIL||SE R and B Electrical,2025_EICCL_115453_1,Bid Identification No.S.E.E.C (RandB) 07/2025-26,"Shifting work of Electrical Infrastructure for road widening and strengthening of Khaliapali-Badipali road via Raipali, Rengali from 0/000 Km to 24/789 Km under Deposit work scheme 2024-25 under ESO Khari of SDO Sonepur",Technical,Opened,Nihar Chandra Naik,01-Aug-2025 11:08 AM,,1.0,3015544.0,M/s B. M. ELECTRICALS AND CONSTRUCTION,INR,"4,966,725",1,3018121,AGRAWALLA POWER INFRASTRUCTURE,30-Jul-2025 02:31 PM,Rejected-AOC,OK,08-May-2026 12:04 PM,08-May-2026,"INR 4,966,725",180.0,Nihar Chandra Naik,08-May-2026 12:04 PM,Khari.pdf (269.00 KB),AOC,Finance,Opened,Nihar Chandra Naik,20-Sep-2025 05:30 PM,,BOQ Comparative Chart,"S.E. Electrical Circle (RandB) Odisha, BBSR",Internal,"SE Sonepur (RandB) Division, DAO Sonepur (RandB) Division, AEE GE Sub-Division Sonepur, PA to SEEc (RandB) Odisha, BBSR, AEE SEEC (RandB) Odisha, BBSR.",Nihar Chandra Naik,17-Sep-2025 01:30 PM,20-Sep-2025 04:30 PM,techsummary_545838.pdf (753.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,Corrigendum to BOQ,Other,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3016814,Debabrata Bhatta,29-Jul-2025 04:12 PM,Rejected-Technical,As per DTCN Clause No.11(a),17-Sep-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,3.0,Corrigendum to DTCN,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3011361,MAA BHUBANESWARI ELECTRICALS,29-Jul-2025 08:58 PM,Rejected-AOC,OK,08-May-2026 12:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3011952,MAA SAMLESWARI ENGINEERING,25-Jul-2025 04:14 PM,Rejected-Technical,As per DTCN Clause No.11(a),17-Sep-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3015544,M/s B. M. ELECTRICALS AND CONSTRUCTION,28-Jul-2025 05:15 PM,Accepted-AOC,OK,08-May-2026 12:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3018171,M/s. EASTERN ENGINEERING,30-Jul-2025 03:06 PM,Rejected-Technical,As per DTCN Clause No.11(a),17-Sep-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3003865,M/S GPS ELECTRICALS,19-Jul-2025 12:31 PM,Rejected-Technical,As per DTCN Clause No.11(a),17-Sep-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3011948,M/S KUMAR ELECTRICALS,25-Jul-2025 03:50 PM,Rejected-Technical,As per DTCN Clause No.11(a),17-Sep-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3015857,M/S SAROJINEE POWER AND CONSTRUCTION,28-Jul-2025 08:08 PM,Rejected-Technical,As per DTCN Clause No.11(a),17-Sep-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3018297,SARAT CHANDRA MAHAPATRA,30-Jul-2025 04:53 PM,Rejected-Technical,As per DTCN Clause No. 11(a),17-Sep-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
