S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,Divisional Officer,"ROADS AND BUILDINGS DIVISION, GANJAM - II",24-Jan-2026 10:00 AM,31-Jan-2026 11:30 AM,24-Jan-2026 10:00 AM,30-Jan-2026 04:00 PM,24-Jan-2026 10:00 AM ,27-Jan-2026 04:00 PM ,24-Jan-2026 10:00 AM,30-Jan-2026 04:00 PM,Improvement to Existing Airstrip at Rangailunda to 2B Category in the District of Ganjam for the year 2023-24,Improvement to Existing Airstrip at Rangailunda to 2B Category in the District of Ganjam for the year 2023-24,NA ,NA ,"6,87,597",Electrical Works,NA ,Tender,90.0,60.0,Ganjam,760005.0,NA ,NA ,NA ,"ROADS AND BUILDINGS DIVISION, GANJAM - II",No ,No,"4,000",0.0,Nil,Nil,No,"6,900",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,SC RandB GM-II-28/2025-26,2026_EICCL_125030_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Cost of tender paper EMD GSTIN PAN Affidavit Regn cert and other docuemnts as per dTCN,AOC,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,2026_EICCL_125030_1,SC RandB GM-II-28/2025-26,Improvement to Existing Airstrip at Rangailunda to 2B Category in the District of Ganjam for the year 2023-24,Superintending Engineer,Internal,DAO and Estimator,Sandipta Panigrahi,16-May-2026 10:36 AM,finsummary_577604.pdf (575.60 KB),Finance,three nos of bidder participated and under scrutiny,Sandipta Panigrahi,16-May-2026 10:31 AM,finance_577604.pdf,BOQ Comparative Chart,1.0,3374178.0,M/s. Maa Trishakti Traders,INR,"653,286",1,3374178,M/s. Maa Trishakti Traders,30-Jan-2026 02:53 PM,Accepted-AOC,Work awarded,16-May-2026 10:40 AM,16-May-2026,"INR 653,286",60.0,Sandipta Panigrahi,16-May-2026 10:40 AM,Airstrip.pdf (576.00 KB),Work awarded to M/s Trishakti Traders,Superintending Engineer,Internal,DAO and Estimator,Sandipta Panigrahi,16-May-2026 10:33 AM,techsummary_577604.pdf (575.60 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC,,,,,,,,,,,,,,,,,,,,,,2,3374269,M/s Maheswari Electrical,30-Jan-2026 02:47 PM,Rejected-AOC,Not qualify for award,16-May-2026 10:40 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3374338,Sidhesh Prasad Sahu,30-Jan-2026 03:09 PM,Rejected-AOC,Not qualify for award,16-May-2026 10:40 AM,,,,,,,,,,,,,,AOC
