Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Executive Officer, Sundargarh Municipality","Executive Officer, Sundargarh Municipality",Construction of Paver Road with Drain from Prakash house to manas Mohantyhouse inW.No-18,Construction of Paver Road with Drain from Prakash house to manas Mohantyhouse inW.No-18,Please refer Tender documents. ,NA ,"5,22,766",Civil Works - Others,NA ,Rate Contract,120.0,NA ,Sundargarh Municipality,770001.0,NA ,NA ,NA ,"Executive Officer, Sundargarh Municipality",No ,No,Municipal Bodies||Sundargarh Municipality,EO/SNGM/08/2025-26,2026_ORULB_125794_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Document As Per DTCN,"5,228",Yes,fixed,,Nil,Nil,12-Feb-2026 11:00 AM,05-Mar-2026 11:00 AM,12-Feb-2026 11:00 AM,02-Mar-2026 05:00 PM,NA ,NA ,12-Feb-2026 11:00 AM,02-Mar-2026 05:00 PM,AOC,26-May-2026,"INR 522,243.11",60.0,Vikas Mundari,26-May-2026 11:46 AM,2594.pdf (514.00 KB),AoC,1,3414579,MAHENDRA KHUKHARI,27-Feb-2026 10:54 PM,Accepted-AOC,Accepted,26-May-2026 11:46 AM,Administrator,Internal,,SUSHANTA PATEL,25-May-2026 11:18 AM,techsummary_580549.pdf (866.78 KB),Administrator,Internal,,SUSHANTA PATEL,25-May-2026 11:22 AM,finsummary_580549.pdf (866.78 KB),Municipal Bodies||Sundargarh Municipality,2026_ORULB_125794_8,EO/SNGM/08/2025-26,Construction of Paver Road with Drain from Prakash house to manas Mohantyhouse inW.No-18,1.0,3414579.0,MAHENDRA KHUKHARI,INR,"522,243.11",Finance,Opened,SUSHANTA PATEL,19-Mar-2026 11:20 AM,finance_580549.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,AOC,,,,,,,,2,3414704,VYASDEV GARDIA,28-Feb-2026 01:28 PM,Rejected-AOC,Not Accepted,26-May-2026 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
