Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,cover1,Sridhar Sahoo,05-Feb-2026 04:23 PM,finance_569069.pdf,BOQ Comparative Chart,1.0,3299367.0,KHAGESWAR NAIK,INR,"1,141,250",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,2025_CERWI_122490_3,NCB 14 OF 2025-26,Extension of R.W. Sub-Division-II Office building Keonjhar Saharpada for the year 2025-26,SE,Internal,,Sridhar Sahoo,05-Feb-2026 04:32 PM,finsummary_569069.pdf (413.94 KB),SE,Internal,,Sridhar Sahoo,05-Feb-2026 04:29 PM,techsummary_569069.pdf (413.94 KB),1,3299506,BHABANI SANKAR MOHANTA,13-Dec-2025 01:33 PM,Rejected-AOC,Rejected,26-May-2026 11:51 AM,02-Mar-2026,"INR 1,141,250",120.0,Kapileswar Singh,26-May-2026 11:51 AM,TCN_14_3.pdf (1324.00 KB),AOC,Extension of R.W. Sub-Division-II Office building Keonjhar Saharpada for the year 2025-26,Extension of R.W. Sub-Division-II Office building Keonjhar Saharpada for the year 2025-26,Please refer Tender documents. ,NA ,"13,42,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,KEONJHAR,758001.0,NA ,NA ,NA ,"R.W DIVISION-I,KEONJHAR",No ,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,SUPERINTENDING ENGINEER,"At-Gambharia, Po-DD College Near Dairy Farm, Keonjhar",03-Dec-2025 02:00 PM,17-Dec-2025 11:00 AM,03-Dec-2025 02:00 PM,16-Dec-2025 05:00 PM,03-Dec-2025 02:00 PM ,15-Dec-2025 05:00 PM ,03-Dec-2025 02:00 PM,16-Dec-2025 05:00 PM,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,NCB 14 OF 2025-26,2025_CERWI_122490_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GST, AFFIDAVIT AND AS PER ANNEXURE","13,420",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3293158,Chandan Miridia,10-Dec-2025 02:43 PM,Rejected-AOC,Rejected,26-May-2026 11:51 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3282749,CHANDRA SEKHAR MOHANTA,05-Dec-2025 05:42 PM,Rejected-AOC,Rejected,26-May-2026 11:51 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3308320,JAGABANDHU JENA,16-Dec-2025 04:05 PM,Rejected-AOC,Rejected,26-May-2026 11:51 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3299367,KHAGESWAR NAIK,13-Dec-2025 12:33 PM,Accepted-AOC,Accepted,26-May-2026 11:51 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3303175,LAVESH KUMAR MOHANTA,15-Dec-2025 01:04 PM,Rejected-AOC,Rejected,26-May-2026 11:51 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3306849,Manoj Kumar Naik,16-Dec-2025 01:46 PM,Rejected-AOC,Rejected,26-May-2026 11:51 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3299411,NIHAR RANJAN MAHAKUD,13-Dec-2025 12:57 PM,Rejected-AOC,Rejected,26-May-2026 11:51 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3298706,Prahallada Chandra Sahu,12-Dec-2025 08:48 PM,Rejected-AOC,Rejected,26-May-2026 11:51 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3297852,PURNA CHANDRA MAHANTA,12-Dec-2025 03:51 PM,Rejected-AOC,Rejected,26-May-2026 11:51 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
