S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3094376.0,BIJAYA KUMAR BISWAL,INR,"63,090,171",CE RW I||RWCIRCLE-CUTTACK,2025_CERWI_118135_1,Tender Online RWC-16-25,Construction of road from Seramunda to Nuagaon via Kandhal and HL bridge 3 x 10.77 m under MMSY-TRIP in the dsit of Cuttack for the year 2024-25,Technical,Total 7 nos document downloaded,Usharani Behera,31-Dec-2025 04:43 PM,,C.C.E.R.W.Circle Cuttack,Internal,SE RW Division Cuttack DAO RW Division Cuttack PA to CCE,Ajay Kumar Behera,04-May-2026 12:52 PM,finsummary_552817.pdf (402.69 KB),1.0,Tender revocation,Tender revocation,31-Dec-2025 04:27 PM,4963.pdf ,309.08,Technical Opening,C.C.E.R.W.Circle Cuttack,Internal,EE RW Division-II Cuttack DAO RW Division Cuttack PA to CCE,Usharani Behera,31-Dec-2025 04:50 PM,31-Dec-2025 05:00 PM,techsummary_552817.pdf (325.39 KB),Finance,Total 3 nos document downloaded,Usharani Behera,31-Dec-2025 05:50 PM,,BOQ Comparative Chart,1,3098843,ABHAYA KUMAR SAHOO,24-Sep-2025 10:26 PM,Rejected-Technical,Disqualified as per DTCN clause no.21 (1) i,31-Dec-2025 04:50 PM,04-May-2026,"INR 63,090,171",270.0,Ajay Kumar Behera,04-May-2026 12:54 PM,agmt.pdf (233.00 KB),Agmt drawn,AOC,1.0,ICICI BANK,C.C.E.R.W. Circle Cuttack,C.C.E.R.W. Circle Cuttack,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, RC, PAN, Registration Certificate, Labor License, No Relationship","7,00,924",Yes,percentage,1.0%,Nil,Nil,1.0,Corrigendum,Other,,Construction of road from Seramunda to Nuagaon via Kandhal and HL bridge 3 x 10.77 m under MMSY-TRIP in the dsit of Cuttack for the year 2024-25,Construction of road from Seramunda to Nuagaon via Kandhal and HL bridge 3 x 10.77 m under MMSY-TRIP in the dsit of Cuttack for the year 2024-25,Please refer Tender documents. ,NA ,"7,00,92,402",Civil Works - Bridges,NA ,Tender,90.0,270.0,Cuttack,753004.0,NA ,NA ,NA ,C.C.E.R.W. Circle Cuttack,No ,No,CE RW I||RWCIRCLE-CUTTACK,Tender Online RWC-16-25,2025_CERWI_118135_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,16-Sep-2025 05:00 PM,26-Sep-2025 11:30 AM,16-Sep-2025 05:00 PM,25-Sep-2025 05:00 PM,16-Sep-2025 05:00 PM ,25-Sep-2025 02:00 PM ,16-Sep-2025 05:00 PM,25-Sep-2025 05:00 PM,31-Dec-2025 05:00 PM,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3094376,BIJAYA KUMAR BISWAL,25-Sep-2025 01:10 PM,Accepted-AOC,Agmt drawn,04-May-2026 12:54 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,.pdf,"Affidavit of Correctness Certificate undertaking duly filled, all affidavits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3093796,B L ENGINEERS,24-Sep-2025 02:10 PM,Rejected-Finance,Unsucessful bidder,04-May-2026 12:52 PM,,,,,,,,AOC,,,,,,,.pdf,"A.T.O from CA, Similar Nature of Work Experience Certificate, Work in Hand checklist machineries as",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3086373,Kamal Lochan Das,22-Sep-2025 03:09 PM,Rejected-Finance,Unsucessful bidder,04-May-2026 12:52 PM,,,,,,,,AOC,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3100447,M/S SHREE GANESH CONSTRUCTION,25-Sep-2025 04:26 PM,Rejected-Technical,Disqualified as per DTCN clause no.21 (1) i,31-Dec-2025 04:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3099841,RAJIV KUMAR BISWAL,25-Sep-2025 11:44 AM,Rejected-Technical,Disqualified as per DTCN clause no.21 (1) i,31-Dec-2025 04:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3098796,sarasi pati,24-Sep-2025 04:01 PM,Rejected-Technical,Disqualified as per DTCN clause no.21 (1) i,31-Dec-2025 04:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
