Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
02-Dec-2025 01:30 PM,16-Dec-2025 10:00 AM,02-Dec-2025 01:30 PM,15-Dec-2025 05:00 PM,02-Dec-2025 01:30 PM ,12-Dec-2025 01:00 PM ,02-Dec-2025 01:30 PM,15-Dec-2025 05:00 PM,09-Feb-2026 05:30 PM,"1,39,020",Yes,percentage,1.0%,Nil,Nil,Construction of weir Adjacent to Bridge over Nandira Nallah at Ghunchapal to Rajanipal P.S Road in the District of Angul for the year 2024-25,Construction of weir Adjacent to Bridge over Nandira Nallah at Ghunchapal to Rajanipal P.S Road in the District of Angul for the year 2024-25,Please refer Tender documents. ,NA ,"1,39,02,000",Civil Works - Bridges,NA ,Tender,90.0,180.0,Angul,759122.0,NA ,NA ,NA ,"Office of the Chief Construction Engineer,RWC,Angu",No ,No,"Chief Construction Engineer,RWC,Angul",At-Hakimpada Poi-Hakimpada District- Angul Pin-759143,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD One percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness",1.0,ICICI BANK,CE RW I||RWCIRCLE-ANGUL,Bridge Online-AGL-24/2025-26,2025_CERWI_122436_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC,CE RW I||RWCIRCLE-ANGUL,2025_CERWI_122436_4,Bridge Online-AGL-24/2025-26,Construction of weir Adjacent to Bridge over Nandira Nallah at Ghunchapal to Rajanipal P.S Road in the District of Angul for the year 2024-25,Technical,Fourteen Bidders found,Anup Kumar Behera,16-Dec-2025 05:46 PM,technical_568837.pdf,Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,15-May-2026 12:21 PM,finsummary_568837.pdf (134.50 KB),1.0,3298327.0,DHRUBA CHARAN PRADHAN,INR,"11,817,920",15-May-2026,"INR 11,817,920",180.0,Anup Kumar Behera,15-May-2026 12:24 PM,Nandira24.PDF (134.00 KB),REFUND OF E.M.D,1,3299133,AMAN KUMAR AGRAWAL,13-Dec-2025 10:13 AM,Rejected-AOC,0,15-May-2026 12:24 PM,Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,06-Feb-2026 12:23 PM,09-Feb-2026 05:30 PM,techsummary_568837.pdf (3482.52 KB),Finance,Thirteen Bidders found,Anup Kumar Behera,10-Feb-2026 01:02 PM,finance_568837.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour licence,Similar nature of work,Annual Turn Over,Work in hand,No relation,No Litigation certif",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3281032,ASHOK KUMAR BEHERA,14-Dec-2025 06:58 PM,Rejected-AOC,0,15-May-2026 12:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3304309,BRAHMANANDA SAHOO,15-Dec-2025 04:27 PM,Rejected-Technical,Disqualified due to non-submission of affidavit for abandonment of any work as per Clause No.14(a) of Qualification criteria of DTCN,06-Feb-2026 12:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3298327,DHRUBA CHARAN PRADHAN,12-Dec-2025 05:08 PM,Accepted-AOC,Winner of lottery among the 1st lowest tenderer,15-May-2026 12:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3293979,D JYOTI PRAKASH,11-Dec-2025 04:27 PM,Rejected-AOC,0,15-May-2026 12:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3302007,KSHYAMA SAGAR SAHU,14-Dec-2025 08:56 PM,Rejected-AOC,0,15-May-2026 12:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3302748,LALIT MOHAN PAL,15-Dec-2025 12:00 PM,Rejected-AOC,0,15-May-2026 12:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3298423,NABAKISHORE BHUTIA,13-Dec-2025 04:26 PM,Rejected-AOC,0,15-May-2026 12:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3298809,NARENDRA KUMAR SAHU,12-Dec-2025 09:39 PM,Rejected-AOC,0,15-May-2026 12:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3304116,PIYUSH RANJAN BHUKTA,15-Dec-2025 03:43 PM,Rejected-AOC,0,15-May-2026 12:24 PM,,,,,,,,,,,,,,AOC
