S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2872526.0,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,INR,"2,205,564,048",CE Megalift Projects Bhubaneswar,2025_CEMLP_111546_1,09ML/2024-25,EXECUTION OF 4 NO LIS WITH INTAKE POINTS ON HIRAKUD RESERVOIR INCLUING ITS DISTRIBUTION NETWORK UP TO 1 H CHK HAVING PLANNED CCA 6210 HA IN CLUSTR XXVII INCLUDING POWER SYSTEM CONNECTIVITY ON EPC TURNKEY MODE,Technical,technical Bid opened in scheduled date and time and downloaded.,Chinmoy Ranjan Rout,07-Apr-2025 05:45 PM,technical_532887.pdf,"Principal Secretary to Govt., DoWR",External,,MONAJ KUMAR BEHERA,05-May-2026 04:35 PM,finsummary_532887.pdf (829.94 KB),"DC-cum-ACS, DOWR",External,,Chinmoy Ranjan Rout,17-Dec-2025 05:06 PM,18-Dec-2025 11:30 AM,techsummary_532887.pdf (1382.50 KB),Finance,Price bid opened in scheduled date and time and downloaded.,Chinmoy Ranjan Rout,18-Dec-2025 06:02 PM,finance_532887.pdf,BOQ Comparative Chart,1,2874672,Backbone Construction Pvt Ltd,02-Apr-2025 04:41 PM,Rejected-Finance,Non Responsive,05-May-2026 04:35 PM,05-May-2026,"INR 2,205,564,048",1080.0,MONAJ KUMAR BEHERA,05-May-2026 04:44 PM,workorder.pdf (516.00 KB),Agreement drawn on dt. 30.04.2026 with date of commencement and completion being 30.04.2026 and 29.04.2029 respectively.,AOC,"2,59,44,760",Yes,fixed,,"E E, MEGALIFT PROJECT DIVISION, SAMBALPUR",SAMBALPUR,12-Mar-2025 10:00 AM,07-Apr-2025 11:00 AM,12-Mar-2025 10:00 AM,02-Apr-2025 05:00 PM,12-Mar-2025 10:00 AM ,19-Mar-2025 05:00 PM ,12-Mar-2025 10:00 AM,02-Apr-2025 05:00 PM,18-Dec-2025 11:30 AM,"CHIEF ENGINEER, MEGALIFT, BHUBANESWAR","PLOT NO. A-8/2, BHOI NAGAR, BHUBANESWAR-751022",1.0,ICICI BANK,1.0,1st Corrigendum,Technical Bid,,EXECUTION OF 4 NO LIS WITH INTAKE POINTS ON HIRAKUD RESERVOIR INCLUING ITS DISTRIBUTION NETWORK UP TO 1 H CHK HAVING PLANNED CCA 6210 HA IN CLUSTR XXVII INCLUDING POWER SYSTEM CONNECTIVITY ON EPC TURNKEY MODE,MEGALIFT PROJECT,Please refer Tender documents. ,NA ,"2,59,44,76,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,1080.0,SAMBALPUR,768001.0,"O/o CHIEF ENGINEER, MEGALIFT, BHUBANESWAR ","PLOT NO. A-8/2, BHOI NAGAR, BHUBANESWAR-751022 ",21-Mar-2025 11:00 AM ,"O/o CHIEF ENGINEER, MEGALIFT, BHUBANESWAR",No ,No,1.0,Fee/PreQual/Technical,.pdf,As stipulated under Vol-I Section- II/Clause-15.7/Page-15/Cover-I/Tech. Bid /File-I of Bid doc.,CE Megalift Projects Bhubaneswar,09ML/2024-25,2025_CEMLP_111546_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Both(Online/Offline),No,No,No,"10,000",0.0,,,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2874813,ENVIRO INFRA ENGINEERS LIMITED,02-Apr-2025 04:25 PM,Rejected-Technical,Not approved by Govt being non responsive,17-Dec-2025 05:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,As stipulated under Vol-I Section- II/Clause-15.7/Page-15/Cover-I/Tech. Bid /File-II of Bid doc.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2874231,Koya and Company Construction Limited,02-Apr-2025 04:43 PM,Rejected-Finance,Non Responsive,05-May-2026 04:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,As stipulated under Vol-I Section- II/Clause-15.7/Page-15/Cover-I/Tech. Bid /File-III of Bid doc.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2869795,LARSEN AND TOUBRO LIMITED,02-Apr-2025 03:33 PM,Rejected-AOC,L2,05-May-2026 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2874833,LCC Projects Limited,02-Apr-2025 04:51 PM,Rejected-AOC,L4,05-May-2026 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"YEARWISE,SCHEMEWISE ENERGY CONSUMPTION DURING 15 YEARS OF OPERATION APPENDIX F6",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2874232,LC Infra Projects Pvt Ltd,02-Apr-2025 04:53 PM,Rejected-AOC,L3,05-May-2026 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2872526,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,02-Apr-2025 04:31 PM,Accepted-AOC,Approved by Government,05-May-2026 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2874662,VIJAY KUMAR MISHRA CONSTRUCTION PVT. LTD.,02-Apr-2025 04:14 PM,Rejected-Finance,Non Responsive,05-May-2026 04:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
