Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
S/R to GHD Building Morudihi,S/R to GHD Building Morudihi,Please refer Tender documents. ,NA ,"4,20,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"R.W.Division, Baripada",No ,No,"2,000",0.0,Nil,Nil,No,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",06-Nov-2025 05:00 PM,14-Nov-2025 05:30 PM,06-Nov-2025 05:00 PM,14-Nov-2025 05:00 PM,06-Nov-2025 05:00 PM ,14-Nov-2025 03:00 PM ,06-Nov-2025 05:00 PM,14-Nov-2025 05:00 PM,1.0,ICICI BANK,"4,200",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,08(Online)/RWD/BPD/2025-26,2025_CERWI_120827_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,AOC,R.Pradhan,Internal,,Dibyamayee Behera,25-Jan-2026 01:15 PM,techsummary_562082.pdf (200.02 KB),R.Pradhan,Internal,,Dibyamayee Behera,25-Jan-2026 01:24 PM,finsummary_562082.pdf (200.02 KB),Finance,.,Dibyamayee Behera,25-Jan-2026 01:08 PM,finance_562082.pdf,BOQ Comparative Chart,25-Jan-2026,"INR 357,221",30.0,Rajesh Pradhan,28-May-2026 01:06 PM,8_17.pdf (345.00 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_120827_17,08(Online)/RWD/BPD/2025-26,S/R to GHD Building Morudihi,1.0,3222270.0,SANTOSH KUMAR BEHERA,INR,"357,221",1,3220642,ABHIRAM DAS,14-Nov-2025 02:05 PM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3208038,AJAY KUMAR GIRI,13-Nov-2025 06:35 AM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3221080,Bashanti Das,14-Nov-2025 11:14 AM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3206437,BIJAN KUMAR NAYAK,14-Nov-2025 06:14 AM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3198284,BIKASH BEHERA,14-Nov-2025 11:38 AM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3205581,GHANASHYAM DAS,14-Nov-2025 01:36 AM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3222700,MAHASWETA DHADA,13-Nov-2025 11:16 PM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3224324,MANORANJAN UPADHAYAYA,14-Nov-2025 01:27 PM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3214536,MOHAN DAS,14-Nov-2025 05:21 AM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3202770,NIRUPAMA DASH,13-Nov-2025 09:26 PM,Rejected-AOC,unsuccessful bidder,28-May-2026 01:06 PM,AOC
