Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
18-Dec-2025 10:00 AM,02-Jan-2026 11:00 AM,18-Dec-2025 10:00 AM,31-Dec-2025 05:00 PM,NA ,NA ,18-Dec-2025 10:00 AM,31-Dec-2025 05:00 PM,EXECUTIVE OFFICER,EXECUTIVE OFFICER CHAMBER VYASANAGAR MUNICIPALITY,"6,000",0.0,Nil,Nil,No,"11,100",Yes,fixed,,Nil,Nil,Municipal Bodies||Vyasanagar Municipality,03/VNM/2025-26,2025_ORULB_123345_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Repair and Renovation of road from Laxmi Mandap to FC main Road Ward No-04 under Vyasanagar Municipality,Repair and Renovation of road from Laxmi Mandap to FC main Road Ward No-04 under Vyasanagar Municipality,Please refer Tender documents. ,NA ,"11,01,927",Civil Works - Roads,NA ,Tender,60.0,NA ,VYASANAGAR MUNICIPALITY,755019.0,NA ,NA ,NA ,EXECUTIVE OFFICER CHAMBER,No ,No,AOC,Eo,Internal,"me,je,accountant",Manas Ranjan Sahoo,06-May-2026 10:06 AM,finsummary_572008.pdf (407.65 KB),Municipal Bodies||Vyasanagar Municipality,2025_ORULB_123345_1,03/VNM/2025-26,Repair and Renovation of road from Laxmi Mandap to FC main Road Ward No-04 under Vyasanagar Municipality,1.0,3333413.0,TANMAYA PANDA,INR,"936,748.246",Finance,ok,Manas Ranjan Sahoo,06-May-2026 09:29 AM,finance_572008.pdf,BOQ Comparative Chart,1,3337732,Ashok Kumar Nayak,29-Dec-2025 04:42 PM,Rejected-Finance,l1,06-May-2026 10:06 AM,06-May-2026,"INR 936,748.246",60.0,Manas Ranjan Sahoo,06-May-2026 10:13 AM,wk.pdf (370.00 KB),L1 due to lottery,Eo,Internal,"je,me,accountant",Manas Ranjan Sahoo,06-May-2026 09:32 AM,techsummary_572008.pdf (407.65 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3338666,DIPENDRA KUMAR JENA,29-Dec-2025 09:31 PM,Rejected-Finance,l1,06-May-2026 10:06 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3337460,M/S BIJAYA KUMAR MOHANTY,29-Dec-2025 03:54 PM,Rejected-Finance,l1,06-May-2026 10:06 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3333544,RANJAN KUMAR SETHY,28-Dec-2025 12:24 PM,Rejected-Finance,l1,06-May-2026 10:06 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3340858,SUDHANSU VUSAN MALLICK,30-Dec-2025 09:49 PM,Rejected-Finance,l1,06-May-2026 10:06 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3333413,TANMAYA PANDA,28-Dec-2025 11:48 AM,Accepted-AOC,l1 due to lottery,06-May-2026 10:14 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3335618,UMAKANTA PRADHAN,29-Dec-2025 11:07 AM,Rejected-Finance,l2,06-May-2026 10:06 AM,,,,,,,,,,,,,,AOC
