Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,FINANCE BID OPENED.,LAXMIPRIYA NAYAK,09-Apr-2026 11:51 AM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,08-Apr-2026 06:28 PM,09-Apr-2026 10:30 AM,techsummary_583268.pdf (276.66 KB),22-May-2026,"INR 89,750,480",450.0,Bikram Keshari Malla,22-May-2026 04:21 PM,MOHANA.pdf (389.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 19.05.2026,1,3424741,Anup Kumar Dash,13-Mar-2026 08:13 AM,Rejected-Finance,DUE TO L3 BIDDER,22-May-2026 04:18 PM,1.0,3426634.0,SAI SMRUTI INFRASTRUCTURE PVT. LTD.,INR,"89,750,480",AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,22-May-2026 04:18 PM,finsummary_583268.pdf (380.60 KB),Technical,10 Nos. of bidders have been participated,MONALISHA PADHY,16-Mar-2026 10:52 AM,,Orissa State Police Housing and Welfare Corporation Ltd,2026_OSPHW_126675_1,28/OPHWC/2025-26,"Construction of Atal Bus Stand (C-Type) at Mohana under Mohana Block, Gajapati",AOC,"Construction of Atal Bus Stand (C-Type) at Mohana under Mohana Block, Gajapati",Building Work,Please refer Tender documents. ,NA ,"10,73,44,194",Civil Works - Buildings,NA ,Tender,90.0,450.0,Gajapati,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,PLAN AND ELEVATION,Technical Bid,,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,26-Feb-2026 06:55 PM,16-Mar-2026 10:30 AM,26-Feb-2026 06:55 PM,13-Mar-2026 05:00 PM,NA ,NA ,26-Feb-2026 06:55 PM,13-Mar-2026 05:00 PM,09-Apr-2026 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"10,73,400",Yes,fixed,,Nil,Nil,Orissa State Police Housing and Welfare Corporation Ltd,28/OPHWC/2025-26,2026_OSPHW_126675_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,2,3429958,ARYA PRAKASH CHAMPATIRAY,13-Mar-2026 02:22 PM,Rejected-Technical,Non submission of valid MOU for E.I. works as per DTCN Cl. No. 10 and 110(h) and valid MOU for Firefighting work as per DTCN Cl. No. 10(vi) and 110(i) and adequate valid documents to secure qualifying marks in Sch C as per DTCN Cl. No. 13 and 110(f).,08-Apr-2026 06:28 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,3423778,Biswa Bihari Pattanaik,11-Mar-2026 05:53 PM,Rejected-Finance,DUE TO L2 BIDDER,22-May-2026 04:18 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,3429327,BKM CONSTRUCTION PVT.LTD,13-Mar-2026 01:05 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,08-Apr-2026 06:28 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3429150,JOGENDRA KUMAR MOHANTY,13-Mar-2026 01:44 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110(k) and SchG as per DTCN Cl. No. 12 and 110(j) and valid MOU for E.I. works as per DTCN Cl. No. 10 and 110(h) and valid MOU for Firefighting as per DTCN Cl. No. 10(vi) an,08-Apr-2026 06:28 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3429553,NIRAKAR SAMAL,13-Mar-2026 12:16 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,08-Apr-2026 06:28 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3428089,Rabindra Kumar Sahu,13-Mar-2026 11:46 AM,Rejected-Technical,Non submission of Sch G as per DTCN Cl. 12 and 110(j).,08-Apr-2026 06:28 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3426634,SAI SMRUTI INFRASTRUCTURE PVT. LTD.,13-Mar-2026 03:48 PM,Accepted-AOC,QUALIFIED BIDDER,22-May-2026 04:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3427332,Sudhansu Padhy,11-Mar-2026 07:57 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,08-Apr-2026 06:28 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3429528,VEE JAY ENGINEERS,13-Mar-2026 03:11 PM,Rejected-Finance,DUE TO L4 BIDDER,22-May-2026 04:18 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
