Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Dy Manager MM,Internal,,Sudhir Ranjan Mallik,30-May-2026 11:37 AM,techsummary_588199.pdf (67.42 KB),30-May-2026,"INR 4,474,050",30.0,Sudhir Ranjan Mallik,30-May-2026 11:54 AM,sugar30.pdf (796.00 KB),1,3477867,GAYATRIMATA BHANDAR,08-May-2026 11:29 AM,Rejected-Finance,L2,30-May-2026 11:40 AM,Finance,FOR EVALUATION OF TECHNICAL BID,Sudhir Ranjan Mallik,30-May-2026 10:53 AM,,BOQ Comparative Chart,1.0,3477768.0,LAXMI ENTERPRISERS,INR,"4,474,050",Odisha State Co. Milk Producers Federation Ltd.,2026_OMFED_128273_1,MM/113/AT/ 2026-27/55,SUPPLY OF SUGAR,Dy Manager MM,Internal,,Sudhir Ranjan Mallik,30-May-2026 11:40 AM,finsummary_588199.pdf (67.42 KB),AOC,21-Apr-2026 10:00 AM,08-May-2026 03:00 PM,21-Apr-2026 10:00 AM,08-May-2026 02:00 PM,NA ,NA ,21-Apr-2026 10:00 AM,08-May-2026 02:00 PM,590.0,0.0,Nil,Nil,No,"1,00,000",Yes,fixed,,Nil,Nil,Odisha State Co. Milk Producers Federation Ltd.,MM/113/AT/ 2026-27/55,2026_OMFED_128273_1,Yes,Open Tender,Item Rate,Goods,1.0,No,No,Online,No,No,No,SUPPLY OF SUGAR,SUPPLY OF SUGAR,Please refer Tender Document ,NA ,"3,00,00,000",Miscellaneous Goods,NA ,Tender,30.0,30.0,ARILO DAIRY,754006.0,NA ,NA ,NA ,"D2, Sahid Nagar, BBSR",No ,No,Managing Director,"D2, Sahid Nagar, BBSR",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"The Tender Paper Cost, EMD, Copy of GST, PAN, GST RETURN,IT Return, Turnover Certificate",AOC
,,,,,,,,,,,,2,3477768,LAXMI ENTERPRISERS,08-May-2026 11:47 AM,Accepted-AOC,L1,30-May-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other documents as per DTCN,AOC
,,,,,,,,,,,,3,3477711,SHRUTEE ENTERPRISES,08-May-2026 12:24 PM,Rejected-Finance,L3,30-May-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,AOC
