Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,"19,420",Yes,fixed,,Nil,Nil,S/R to Nuagaon to Dhnkia Road RD from 3/500 km to 3/784 km for the year 2025-26,S/R to Nuagaon to Dhnkia Road RD from 3/500 km to 3/784 km for the year 2025-26,Please refer Tender documents. ,NA ,"19,42,000",Civil Works - Roads,NA ,Tender,60.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 11 of 2025-26,2026_CERWI_125323_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, PAN Regd Cert, GSTIN, No Relation and Affidavit Towards Correctness certificate",1.0,ICICI BANK,02-Feb-2026 09:00 AM,11-Feb-2026 11:00 AM,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,02-Feb-2026 10:00 AM ,09-Feb-2026 03:00 PM ,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,AOC,eerwd,Internal,,Dipika Majhi,06-May-2026 11:14 AM,finsummary_578669.pdf (637.03 KB),eerwd,Internal,,Dipika Majhi,29-Apr-2026 04:44 PM,techsummary_578669.pdf (637.03 KB),20-May-2026,"INR 1,678,134",30.0,Dipika Majhi,20-May-2026 03:28 PM,1979.pdf (2096.00 KB),AoC,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2026_CERWI_125323_18,Tender Online - 11 of 2025-26,S/R to Nuagaon to Dhnkia Road RD from 3/500 km to 3/784 km for the year 2025-26,1.0,3388797.0,ARU PRASAD MOHANTY,INR,"1,678,134",1,3390473,ANASUYA MUDULI,10-Feb-2026 02:36 PM,Rejected-Technical,L2 bidder,29-Apr-2026 04:44 PM,Finance,NOTE SHEET,Dipika Majhi,19-Feb-2026 06:35 PM,finance_578669.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3388797,ARU PRASAD MOHANTY,09-Feb-2026 07:53 PM,Accepted-AOC,L1 bidder,20-May-2026 03:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3388664,BIBHUTI BHUSAN RAY,10-Feb-2026 02:31 PM,Rejected-Technical,L2 bidder,29-Apr-2026 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3386572,KAILASH CHANDRA SAHOO,09-Feb-2026 05:59 PM,Rejected-Technical,L2 bidder,29-Apr-2026 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3390753,RAJASHREE MALLA,10-Feb-2026 02:34 PM,Rejected-Technical,L2 bidder,29-Apr-2026 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3389474,Ranjan Kumar Jena,10-Feb-2026 03:25 PM,Rejected-Technical,L2 bidder,29-Apr-2026 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3391169,RANJANKUMARPOLEI,10-Feb-2026 04:11 PM,Rejected-Technical,L2 bidder,29-Apr-2026 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3386889,SANJAYA KUMAR MOHAPATRA,09-Feb-2026 03:56 PM,Rejected-Technical,L2 bidder,29-Apr-2026 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3390655,SANTOSH KUMAR NAYAK,10-Feb-2026 02:25 PM,Rejected-Technical,L2 bidder,29-Apr-2026 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3388280,SURESH CHANDRADAS,09-Feb-2026 04:57 PM,Rejected-Technical,L2 bidder,29-Apr-2026 04:44 PM,,,,,,,AOC
