Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
20-May-2026,"INR 1,427,097",70.0,Kamal Bihari Das,20-May-2026 06:48 PM,work.pdf (392.00 KB),1.0,3065131.0,DILLIPKUMAR BEHERA,INR,"1,427,097",Municipal Bodies||Remuna NAC,2025_ORULB_116950_10,RN_03_2025-26,Construction of C.C Road from Laxman Sahu house to Anganwadi Centre (Near Triveni Chhaka) and C.C Road near Kailash Mukhi house in Ward No. 11 under Remuna NAC.,1,3063269,AMULYA BARIK,05-Sep-2025 08:39 PM,Rejected-Finance,NOT QUALIFY,20-May-2026 06:44 PM,Finance,Total 05 nos. of bids are submitted and 04 nos. of bids admitted,Siva Sankar Giri,15-Nov-2025 05:24 PM,finance_549431.pdf,BOQ Comparative Chart,Tanuja Giri/Executive Officer,Internal,,Kamal Bihari Das,20-May-2026 06:44 PM,finsummary_549431.pdf (445.43 KB),Tanuja Giri/Executive Officer,Internal,,Kamal Bihari Das,20-May-2026 06:39 PM,techsummary_549431.pdf (752.58 KB),AOC,Construction of C.C Road from Laxman Sahu house to Anganwadi Centre (Near Triveni Chhaka) and C.C Road near Kailash Mukhi house in Ward No. 11 under Remuna NAC.,works,As per DTCN ,NA ,"16,78,741",Civil Works - Roads,NA ,Tender,120.0,70.0,Remuna NAC,756019.0,NA ,NA ,NA ,Office of the Remuna NAC,No ,No,"6,000",0.0,Nil,Nil,No,"16,787",Yes,fixed,,Nil,Nil,"Executive Officer ,Remuna NAC","Ganeswarpur ,Remuna",1.0,ICICI BANK,18-Aug-2025 11:00 AM,08-Sep-2025 11:00 AM,18-Aug-2025 11:00 AM,06-Sep-2025 05:00 PM,NA ,NA ,18-Aug-2025 11:00 AM,06-Sep-2025 05:00 PM,Municipal Bodies||Remuna NAC,RN_03_2025-26,2025_ORULB_116950_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD,GST,Valid Registration Certificate,PAN and all documents as per DTCN",AOC
,,,,,,,,,,,,,,,2,3064131,BIDYUT LATA SAHU,05-Sep-2025 12:15 PM,Rejected-Finance,NOT QUALIFY,20-May-2026 06:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,3,3065131,DILLIPKUMAR BEHERA,06-Sep-2025 11:32 AM,Accepted-AOC,lowest one,20-May-2026 06:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3059927,PRASANTA KUMAR PANDA,02-Sep-2025 01:22 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Contractor license not valid,15-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3063720,RAJU SENAPATI,05-Sep-2025 04:49 PM,Rejected-Finance,NOT QUALIFY,20-May-2026 06:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
