Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Er. Tribhuban Kanhar,Internal,,Chinmayee Rekha Behera,09-May-2026 12:06 PM,techsummary_574689.pdf (1059.53 KB),1,3350918,SURYA NARAYAN BISOYI,11-Jan-2026 06:21 PM,Rejected-AOC,L2,23-May-2026 01:47 PM,23-May-2026,"INR 9,740,543",270.0,Pravas Ranjan Rout,23-May-2026 01:47 PM,ID21SL08.pdf (1060.00 KB),Finance,Two Bidders are participated and all are accepted,Chinmayee Rekha Behera,15-Jan-2026 06:50 PM,,BOQ Comparative Chart,1.0,3350927.0,SWADHIN KUMAR BEHERA,INR,"9,740,543",CE RW I||RWCIRCLE-BERHAMPUR||RW Division Bhanjanagar,2026_CERWI_124244_8,Online Tender/21/RW DBNJ/2025-26,Construction of Multi Purpose Hall at Tentulia Sasan Devasthana College at B D Pur under Ganjam District for the year 2025-26,Er. Tribhuban Kanhar,Internal,,Chinmayee Rekha Behera,09-May-2026 12:11 PM,finsummary_574689.pdf (1059.53 KB),AOC,"Executive Engineer, Rural Works Division, Bhanjana","Executive Engineer, Rural Works Division, Bhanjanagar",Construction of Multi Purpose Hall at Tentulia Sasan Devasthana College at B D Pur under Ganjam District for the year 2025-26,Construction of Multi Purpose Hall at Tentulia Sasan Devasthana College at B D Pur under Ganjam District for the year 2025-26,Please refer Tender documents. ,NA ,"85,68,000",Civil Works - Buildings,NA ,Tender,270.0,NA ,Bhanjanagar,761126.0,NA ,NA ,NA ,"Executive Engineer, Rural Works Division, Bhanjana",No ,No,"85,700",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-BERHAMPUR||RW Division Bhanjanagar,Online Tender/21/RW DBNJ/2025-26,2026_CERWI_124244_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Jan-2026 05:00 PM,13-Jan-2026 12:30 PM,06-Jan-2026 05:00 PM,12-Jan-2026 05:00 PM,NA ,NA ,06-Jan-2026 05:00 PM,12-Jan-2026 05:00 PM,"10,000",0.0,Nil,Nil,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit RC, GST, PAN and all other Document as per DTCN",AOC
,,,,,,2,3350927,SWADHIN KUMAR BEHERA,11-Jan-2026 06:39 PM,Accepted-AOC,Sri SWADHIN KUMAR BEHERA is accepted as first lowest tenderer.,23-May-2026 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,AOC
