Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requireme",Power supply to Air Quality Monitoring Stations and illumination provision at different places of Dubuna Iron Ore Mines in the district of Keonjhar.,Power supply to Air Quality Monitoring Stations and illumination provision at different places of Dubuna Iron Ore Mines in the district of Keonjhar.,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requirements. ",NA ,"1,04,70,000",Electrical Works,NA ,Tender,180.0,150.0,DUBUNA MINES,758034.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,"GM(Electrical), OMC Ltd.","Office of the GM(Elect), OMC Ltd., Bhubaneswar",Orissa Mining Corporation,NIT No. 04/OMC/ELECT/2025,2025_OMC_118132_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,05,000",No,fixed,,Nil,Nil,16-Sep-2025 06:00 PM,04-Oct-2025 11:00 AM,16-Sep-2025 06:00 PM,03-Oct-2025 05:00 PM,NA ,NA ,16-Sep-2025 06:00 PM,03-Oct-2025 05:00 PM,30-Oct-2025 04:55 PM,AOC,Finance,Financial bid of 14 (Fourteen) qualified bidders had been open,Shreejit Das,30-Oct-2025 05:01 PM,,BOQ Comparative Chart,13-Jan-2026,"INR 8,900,603.11",150.0,Satyajit Jena,20-May-2026 12:16 PM,AOC1.pdf (798.00 KB),1.0,3106039.0,SITARAM INFRA AND ENERGY PVT LTD,INR,"8,900,603.11",Technical,Technical Bid of all 14 bidders opened.,Shreejit Das,04-Oct-2025 12:34 PM,,R K PANDA,Internal,S JENA S PADHI B K PATRA,Satyajit Jena,01-Dec-2025 11:58 AM,finsummary_552806.pdf (281.24 KB),Orissa Mining Corporation,2025_OMC_118132_1,NIT No. 04/OMC/ELECT/2025,Power supply to Air Quality Monitoring Stations and illumination provision at different places of Dubuna Iron Ore Mines in the district of Keonjhar.,1,3107238,DIVINE ENTERPRISES,03-Oct-2025 02:22 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,A K PAL,Internal,J N CHANDRA S R PATTNAIK P K BISWAL N C BEHERA,Satyajit Jena,30-Oct-2025 04:51 PM,30-Oct-2025 04:55 PM,techsummary_552806.pdf (1064.28 KB),AOC
,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3107135,JUPITER ENGINEERS,03-Oct-2025 04:31 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3106569,MESSERS BIRAJA ELECTRICAL AND CONSTRUCTION,03-Oct-2025 01:27 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3106629,M/S ASHRIBAD ENGINEERING,03-Oct-2025 11:51 AM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3107659,M/s BASANTI ELECTRICALS AND CONSTRUCTION,03-Oct-2025 04:30 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3107149,M/S JAY MAA TARINI ELECTRICAL AND CONSTRUCTION,03-Oct-2025 01:48 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3107796,"M/S ORISSA TRADING HOUSE, PROP. RITU MODI",03-Oct-2025 04:47 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3106462,M/S SARALA ENGINEERING WORKS,03-Oct-2025 11:59 AM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3100599,NARESH COMMERCIAL CORPORATION,25-Sep-2025 07:10 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3107254,RAJESH KUMAR SAHU,03-Oct-2025 02:59 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:58 AM,,,,,,,,AOC
