S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
1.0,Date Corrigendum,Date,,CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online C.C-15 of 2025,2025_CERWI_118169_17,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement to RD Road(Baliput) - Palli Road in the Dist. of Puri under MMSY-Improvement to Existing RD road for the year 2024-25,Improvement to RD Road(Baliput) - Palli Road in the Dist. of Puri under MMSY-Improvement to Existing RD road for the year 2024-25,Please refer Tender documents. ,NA ,"3,33,40,356",Civil Works - Roads,NA ,Tender,90.0,180.0,Puri,752001.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate",18-Sep-2025 02:00 PM,17-Oct-2025 11:00 AM,18-Sep-2025 02:00 PM,16-Oct-2025 05:00 PM,NA ,NA ,18-Sep-2025 02:00 PM,16-Oct-2025 05:00 PM,06-Feb-2026 04:00 PM,Chief Construction Engineer,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"3,33,404",Yes,percentage,1.0%,Nil,Nil,AOC,Technical,15 nos bidder participated in the tender,Priyambada Swain,06-Feb-2026 12:05 PM,,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionBhubaneswarSrDAORWDivisionPuriPAtoC.C.ECentralRuralWorksCircleBBSR,Priyambada Swain,22-May-2026 06:24 PM,finsummary_552943.pdf (240.77 KB),Finance,11 nos bidder qualified in the tender,Priyambada Swain,10-Feb-2026 06:17 PM,,BOQ Comparative Chart,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionBhubaneswarSrDAORWDivisionPuriPAtoC.C.ECentralRuralWorksCircleBBSR,Priyambada Swain,06-Feb-2026 12:10 PM,06-Feb-2026 04:00 PM,techsummary_552943.pdf (879.56 KB),22-May-2026,"INR 28,342,637",180.0,Priyambada Swain,22-May-2026 06:29 PM,BaliputAgmtDetails.pdf (1662.00 KB),"Work order letter No.5893 Dtd.11.05.2026 and Agmt No.04 P1 of 2026-27 dtd.11.05.2026 of Superintending Engineer, Rural works Division, Puri",1.0,3099872.0,BIJAY KUMAR MARTHA,INR,"28,342,637",CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_118169_17,Tender Online C.C-15 of 2025,Improvement to RD Road(Baliput) - Palli Road in the Dist. of Puri under MMSY-Improvement to Existing RD road for the year 2024-25,1,3128253,AMRIT BARAL,14-Oct-2025 07:26 PM,Rejected-Finance,Other than L1,22-May-2026 06:24 PM,1.0,Tender Revocation,Tender Revocation,31-Jan-2026 02:48 PM,458.pdf ,3150.83,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3130461,AMRIT RANJAN NAYAK,16-Oct-2025 04:42 PM,Rejected-Finance,Other than L1,22-May-2026 06:24 PM,2.0,Tender Revocation3,Tender Revocation,06-Feb-2026 11:31 AM,546.pdf ,640.41,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3096427,AMULYA BISWAL,24-Sep-2025 08:57 PM,Rejected-Technical,As Per Clause No.3.17 of the Procedure to participate in online bidding e-procurement of the DTCN (Fabricated/ False document),06-Feb-2026 12:10 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3130396,ARJUN NAYAK,16-Oct-2025 04:31 PM,Rejected-Finance,Other than L1,22-May-2026 06:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3131331,AUROBINDO MOHANTY,16-Oct-2025 04:26 PM,Rejected-Finance,Other than L1,22-May-2026 06:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3099872,BIJAY KUMAR MARTHA,25-Sep-2025 09:37 PM,Accepted-AOC,Accepted,22-May-2026 06:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3097057,BISWOJIT PANDA,25-Sep-2025 11:57 AM,Rejected-Technical,As Per Clause No.2.1(1) of the Eligibility Criteria of General Instructions To Tenderers of the DTCN (Supression of Facts),06-Feb-2026 12:10 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3100568,DIBYAJYOTI NAYAK,16-Oct-2025 10:22 AM,Rejected-Finance,Other than L1,22-May-2026 06:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3100724,HARISANKAR PRADHAN,16-Oct-2025 10:27 AM,Rejected-Finance,Other than L1,22-May-2026 06:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3130416,MANORANJAN RAUT,16-Oct-2025 01:44 PM,Rejected-Finance,Other than L1,22-May-2026 06:24 PM,,,,,,,,AOC
