S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3297390.0,RAJENDRA KUMAR MALLICK,INR,"2,546,261",Finance,12 bids opened successfully,Lipsa Parida,15-Dec-2025 04:41 PM,finance_569079.pdf,BOQ Comparative Chart,City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONI,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,12-May-2026 03:50 PM,finsummary_569079.pdf (4757.58 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_122487_9,BMC-EE-Tender Cell-50/2025-26 Dt. 02.12.2025,"Construction of Paver Road at main Road at Lane-5, Jaydev Vihar in Ward No. 26",City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONI,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,07-May-2026 04:16 PM,techsummary_569079.pdf (2226.76 KB),1,3284995,AMIN BARISAL,06-Dec-2025 08:02 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,12-May-2026,"INR 2,546,261",75.0,Lipsa Parida,12-May-2026 03:56 PM,WO_50_9.pdf (499.00 KB),AOC,Executive Engineer (Central Tender Cell),"Central Tender Cell,ICOMC Tower,BMC",1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,"25,400",Yes,fixed,,Nil,Nil,04-Dec-2025 11:00 AM,15-Dec-2025 03:30 PM,04-Dec-2025 11:00 AM,15-Dec-2025 03:00 PM,04-Dec-2025 11:00 AM ,09-Dec-2025 01:30 PM ,04-Dec-2025 11:00 AM,15-Dec-2025 03:00 PM,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-50/2025-26 Dt. 02.12.2025,2025_ORULB_122487_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Construction of Paver Road at main Road at Lane-5, Jaydev Vihar in Ward No. 26","Construction of Paver Road at main Road at Lane-5, Jaydev Vihar in Ward No. 26",Please refer Tender documents. ,NA ,"25,38,346",Civil Works - Roads,NA ,Tender,120.0,75.0,BMC Area,751022.0,"Office Chamber of EE Central Tender Cell,BMC ","UG Floor,Office Chamber of EE Central Tender Cell,BMC ",09-Dec-2025 04:00 PM ,"Central Tender Cell,BMC",No ,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3285124,BIJAYA KETAN PRADHAN,06-Dec-2025 10:08 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3302983,JASMINE ENTERPRISES,15-Dec-2025 12:21 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3297571,KABITA MALLICK,15-Dec-2025 02:39 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3303069,KALPATARU DAS,15-Dec-2025 12:48 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3303911,MAMATA PATTANAYAK,15-Dec-2025 02:47 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3292358,NURSHING CONSTRUCTION CO,09-Dec-2025 08:16 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3292415,PRAMODA KUMAR PRADHAN,09-Dec-2025 08:51 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3303813,PRIYANKA SWAIN,15-Dec-2025 02:28 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3297390,RAJENDRA KUMAR MALLICK,14-Dec-2025 02:28 PM,Accepted-AOC,L1 bidder,12-May-2026 03:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3297136,RANJIT SING,13-Dec-2025 12:33 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3300447,SUBHENDU KUMAR SWAIN,13-Dec-2025 09:48 PM,Rejected-Finance,Rejected,12-May-2026 03:50 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
