S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2744907.0,TARUN MOHANTY,INR,"137,795,868",Technical,07 Nos of Bidders admitted,Akshaya Kumar Naik,29-May-2025 01:55 PM,,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_109110_1,Road Online N.C.B. No-361,Improvement to T01-NH5 at Jarka to Haripur Road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,01-Nov-2025 12:03 PM,finsummary_524018.pdf (1056.67 KB),"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,29-May-2025 01:58 PM,02-Jun-2025 11:00 AM,techsummary_524018.pdf (538.42 KB),Finance,06 Nos of bidders admitted,Akshaya Kumar Naik,01-Nov-2025 11:52 AM,,BOQ Comparative Chart,07-Nov-2025,"INR 137,795,868",455.0,Akshaya Kumar Naik,19-May-2026 02:21 PM,Jarka.pdf (154.00 KB),1,2747666,KIRAN KUMAR DAS,13-Jan-2025 05:52 PM,Rejected-AOC,L1,19-May-2026 02:21 PM,AOC,CCE RWC Baripada,CCE RWC Baripada,"16,20,940",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",Improvement to T01-NH5 at Jarka to Haripur Road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Improvement to T01-NH5 at Jarka to Haripur Road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Please refer Tender documents. ,NA ,"16,20,94,000",Civil Works - Roads,NA ,Tender,90.0,455.0,"SERW Division, Baripada",757002.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-361,2025_CERWI_109110_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,07-Jan-2025 06:00 PM,21-Jan-2025 11:00 AM,07-Jan-2025 06:00 PM,20-Jan-2025 05:00 PM,07-Jan-2025 06:00 PM ,18-Jan-2025 05:00 PM ,07-Jan-2025 06:00 PM,20-Jan-2025 05:00 PM,02-Jun-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2752802,MESSERS S P CONSTRUCTION,18-Jan-2025 06:44 PM,Rejected-Technical,Non submission of existing commitments as per Format-II (Work in hand) as per clause No-2.1(8).,29-May-2025 01:58 PM,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2744966,M/S BIG BUILD INFRASTRUCTURE & CO,19-Jan-2025 09:15 PM,Rejected-AOC,L1,19-May-2026 02:21 PM,AOC,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2746320,M/S SANTOSH KUMAR KHANDELWAL,17-Jan-2025 03:26 PM,Rejected-AOC,L1,19-May-2026 02:21 PM,AOC,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2766132,Rakesh Agarwalla,20-Jan-2025 01:51 PM,Rejected-AOC,L1,19-May-2026 02:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2764039,SANJEEB KUMAR NAYAK,18-Jan-2025 09:22 PM,Rejected-AOC,L1,19-May-2026 02:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2744907,TARUN MOHANTY,20-Jan-2025 11:13 AM,Accepted-AOC,L1,19-May-2026 02:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
