Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, EPF, ESI, Affidavits and all other documents as per DTCN","Supply Fabrication Transportation and Erection of Gates and Hoists of Kaudianalla MIP in Banpur block under Minor Irrigation Division, Khordha for the year of 2025-26","Supply Fabrication Transportation and Erection of Gates and Hoists of Kaudianalla MIP in Banpur block under Minor Irrigation Division, Khordha for the year of 2025-26",Please refer Tender documents. ,NA ,"8,12,096",Mechanical Works,NA ,Tender,90.0,20.0,"Banpur, Khordha",752031.0,NA ,NA ,NA ,Bhubaneswar,No ,No,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,SE/MDB-31(A)/W/2025-26,2026_CEMWR_127635_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,26-Mar-2026 10:00 AM,07-Apr-2026 04:00 PM,26-Mar-2026 10:00 AM,07-Apr-2026 03:30 PM,26-Mar-2026 10:00 AM ,07-Apr-2026 03:30 PM ,26-Mar-2026 10:00 AM,07-Apr-2026 03:30 PM,1.0,ICICI BANK,"Superintending Engineer, Mechanical Division, BBSR","O/o the Superintending Engineer, Mechanical Division, Bhubaneswar","8,200",No,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,AOC,1,3448362,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",07-Apr-2026 12:01 AM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,30-May-2026,"INR 812,096.26",20.0,Jyoti Ranjan Pradhan,30-May-2026 05:28 PM,AOC31A.pdf (864.00 KB),"SE, MECHANICAL DIVISION, BBSR",Internal,"DAO, ESTIMATOR",Jyoti Ranjan Pradhan,30-May-2026 12:29 PM,techsummary_586427.pdf (824.77 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,2026_CEMWR_127635_1,SE/MDB-31(A)/W/2025-26,"Supply Fabrication Transportation and Erection of Gates and Hoists of Kaudianalla MIP in Banpur block under Minor Irrigation Division, Khordha for the year of 2025-26","SE, MECHANICAL DIVISION, BBSR",Internal,"DAO, ESTIMATOR",Jyoti Ranjan Pradhan,30-May-2026 05:19 PM,finsummary_586427.pdf (656.81 KB),Finance,ALL BID DOCUMENTS ARE DOWNLOADED,Jyoti Ranjan Pradhan,08-Apr-2026 04:34 PM,,BOQ Comparative Chart,1.0,3445820.0,"Shree Jagannath Steel Industries, Prop. KRUSHNA CHANDRA SASMAL",INR,"812,096.26",AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,2,3445359,BANASHREE BHUYAN,07-Apr-2026 11:49 AM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3445213,DASH ENGINEERING AND WORKS,05-Apr-2026 01:01 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3445338,LAXMIDHRA BHUYAN,07-Apr-2026 09:00 AM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3448838,MANGALA PRASAD PARIDA,07-Apr-2026 06:27 AM,Rejected-Technical,NON RESPONSIVE DUE TO INSUFFICIENT FORM-J,30-May-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3442542,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,06-Apr-2026 01:09 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3442550,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,06-Apr-2026 12:59 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3447846,M/S. DASH ENTERPRISERS (PROP - RAJEEB LOCHAN DASH),06-Apr-2026 01:23 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3448750,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,07-Apr-2026 07:09 AM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3448722,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",06-Apr-2026 11:04 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3445269,M/s Pati Enterprises,05-Apr-2026 05:28 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3447887,M/S. RENUBALA ENTERPRISERS (PROP - RENUBALA DASH),06-Apr-2026 12:55 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
