S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,26-Sep-2025 10:00 AM,17-Oct-2025 11:00 AM,26-Sep-2025 10:00 AM,16-Oct-2025 05:00 PM,NA ,NA ,26-Sep-2025 10:00 AM,16-Oct-2025 05:00 PM,23-Feb-2026 12:00 PM,ST and SC Development Deptt||ITDA Panposh,ITDAPAN-03/2025-26,2025_STSCD_118662_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,PA ITDA PANPOSH,"PA ITDA, PANPOSH ROURKELA","30,692",Yes,fixed,,Nil,Nil,Construction of 2 nos Staff Quarters at Kokerema Sevashram under Nuagaon Block,Construction of 2 nos Staff Quarters at Kokerema Sevashram under Nuagaon Block,Please refer Tender documents. ,NA ,"30,69,168",Civil Works - Buildings,NA ,Tender,90.0,180.0,ITDA PANPOSH,769012.0,NA ,NA ,NA ,ITDA PANPOSH,No ,No,1.0,Fee/PreQual/Technical,.pdf,"PAN, GST, LICENSE NO RELATION, EXPERIENCE, AFFIDAVIT, MACHINARY",AOC,1,3126418,ALOK KUMAR MOHANTY,13-Oct-2025 05:03 PM,Rejected-AOC,Rejected,12-May-2026 08:22 AM,11-May-2026,"INR 2,609,099",180.0,Bikrani Kispatta,12-May-2026 08:21 AM,8.pdf (1502.00 KB),Construction of 2 nos Staff Quarters at Kokerema Sevashram under Nuagaon Block,"Collector, Sundargarh",Internal,"Collector, SNG, SE, RB Rourkela, PA, ITDA, AEEs all blocks",Bikrani Kispatta,20-Feb-2026 06:55 PM,23-Feb-2026 12:00 PM,techsummary_554065.pdf (16851.03 KB),Finance,PROCEEDING SUBMITTED,Bikrani Kispatta,30-Mar-2026 05:19 PM,finance_554065.pdf,BOQ Comparative Chart,Technical,Technical Evaluation submitted,Bikrani Kispatta,20-Feb-2026 06:17 PM,technical_554065.pdf,ST and SC Development Deptt||ITDA Panposh,2025_STSCD_118662_8,ITDAPAN-03/2025-26,Construction of 2 nos Staff Quarters at Kokerema Sevashram under Nuagaon Block,"Collector, Sundargarh",Internal,"Collector-cum-Chiarperson, ITDA, Panposh, SE, Rourkela Irrigation Divn., Rourkela, PA, ITDA, Panposh and AEE, ITDA, Panposh",Bikrani Kispatta,11-May-2026 06:23 PM,finsummary_554065.pdf (25368.07 KB),1.0,3129930.0,NAKUL RAY,INR,"2,609,099",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,2,3130335,ANITA SAHOO,15-Oct-2025 10:52 PM,Rejected-AOC,Rejected,12-May-2026 08:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3128202,ANUP KUMAR SAHOO,14-Oct-2025 07:05 PM,Rejected-AOC,Rejected,12-May-2026 08:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3125101,BISWANATH BARIK,15-Oct-2025 08:15 PM,Rejected-AOC,Rejected,12-May-2026 08:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3131284,DAYANAND SAHOO,16-Oct-2025 04:03 PM,Rejected-AOC,Rejected,12-May-2026 08:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3130368,DEEPAK KUMAR DAS,15-Oct-2025 11:08 PM,Rejected-AOC,Rejected,12-May-2026 08:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3129900,GANESH THAKUR,15-Oct-2025 06:11 PM,Rejected-AOC,Rejected,12-May-2026 08:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3131000,Maa Bhanbhori Constructions,16-Oct-2025 01:41 PM,Rejected-AOC,Rejected,12-May-2026 08:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3124101,MUKUL KUMAR AGARWAL,12-Oct-2025 12:21 PM,Rejected-AOC,Rejected,12-May-2026 08:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3129930,NAKUL RAY,15-Oct-2025 06:39 PM,Accepted-AOC,Accepted as Lottery winner L1,12-May-2026 08:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
