Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
"Executive Officer,Gunupur Municipality",Internal,"Municipal Engineer Gunupur Municipality, Asst. Colloctor, O/o Sub-Collector, Gunupur , Executive Officer,Gunupur Municipality, Chairperson Gunupur Municipality",Santosha Kumar Naik,04-Apr-2026 05:50 PM,techsummary_584972.pdf (1224.92 KB),07-May-2026,"INR 2,800,603",120.0,Dandapati Yudhistir,07-May-2026 08:57 PM,2wo.pdf (348.00 KB),the total contract value includes GST,1,3436125,Abani Ranjan Panigrahi,22-Mar-2026 11:14 AM,Rejected-AOC,Unsuccessful bidder in transparent lottery process,07-May-2026 08:57 PM,1.0,3438095.0,MONALISHA PADHY,INR,"2,800,603",Finance,OPENED,Santosha Kumar Naik,04-Apr-2026 04:46 PM,finance_584972.pdf,BOQ Comparative Chart,"Executive Officer,Gunupur Municipality",Internal,"Municipal Engineer Gunupur Municipality, Asst. Colloctor, O/o Sub-Collector, Gunupur , Executive Officer,Gunupur Municipality, Chairperson Gunupur Municipality",Santosha Kumar Naik,10-Apr-2026 09:29 PM,finsummary_584972.pdf (2312.76 KB),Municipal Bodies||Gunupur Municipal Council,2026_ORULB_127146_2,GUN-MUN-79/2025-26,Development and Beautification of Khunta Bandha at the side of Sephali Pahad in Ward No. 19,AOC,Development and Beautification of Khunta Bandha at the side of Sephali Pahad in Ward No. 19,Development and Beautification of Khunta Bandha at the side of Sephali Pahad in Ward No. 19,Please refer Tender documents. ,NA ,"23,73,392",Civil Works - Others,NA ,Tender,90.0,120.0,Gunupur Municipalit office,765022.0,NA ,NA ,NA ,"Municiality office ,Gunupur",No ,No,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-79/2025-26,2026_ORULB_127146_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Executive officer Gunupur Municpality,Executive officer Gunupur Municpality,"23,734",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,12-Mar-2026 11:00 AM,23-Mar-2026 11:00 AM,12-Mar-2026 11:00 AM,22-Mar-2026 05:00 PM,NA ,NA ,12-Mar-2026 11:00 AM,22-Mar-2026 05:00 PM,AOC
,,,,,,,,,,,,,2,3431089,BALAJI PANIGRAHI,14-Mar-2026 08:28 PM,Rejected-AOC,Unsuccessful bidder in transparent lottery process,07-May-2026 08:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,3,3438420,CHANDRA SEKHAR SAHUKAR,22-Mar-2026 02:40 PM,Rejected-AOC,Unsuccessful bidder in transparent lottery process,07-May-2026 08:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3431708,Dileep Kumar Choudhury,15-Mar-2026 05:51 PM,Rejected-AOC,Unsuccessful bidder in transparent lottery process,07-May-2026 08:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3438023,GUNTAMUKALA GOWRI SANKAR RAO,21-Mar-2026 05:53 PM,Rejected-AOC,Unsuccessful bidder in transparent lottery process,07-May-2026 08:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3438443,JANI VENKATA RAO BAURI,22-Mar-2026 04:02 PM,Rejected-AOC,Unsuccessful bidder in transparent lottery process,07-May-2026 08:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3438095,MONALISHA PADHY,22-Mar-2026 04:12 PM,Accepted-AOC,Successful bidder in transparent lottery proces,07-May-2026 08:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3437398,NIRUPAMA GOUDA,20-Mar-2026 05:14 PM,Rejected-AOC,Unsuccessful bidder in transparent lottery process,07-May-2026 08:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3435401,PRIYANKA PANDA,19-Mar-2026 11:29 AM,Rejected-AOC,Unsuccessful bidder in transparent lottery process,07-May-2026 08:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3428990,P.Yogeswer Rao,20-Mar-2026 04:20 PM,Rejected-AOC,Unsuccessful bidder in transparent lottery process,07-May-2026 08:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
