Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
Finance,8 Nos of Bidder Participated,Pragyan Devi,26-May-2026 10:22 AM,finance_579158.pdf,BOQ Comparative Chart,1.0,3392541.0,RUDRA NARAYAN PRADHAN,INR,"2,352,576",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,2026_CERWI_125488_3,17-2025/26,SR to Nedipadar to Badapaju road such as WMM And SDBC in the district of Kandhamala for the Year 2025-26,S.E,Internal,,Pragyan Devi,26-May-2026 10:45 AM,finsummary_579158.pdf (118.45 KB),S.E,Internal,,Pragyan Devi,26-May-2026 10:27 AM,techsummary_579158.pdf (118.45 KB),1,3392216,ASHOK NAIK,11-Feb-2026 01:09 PM,Rejected-AOC,Unsucessful Bidder,26-May-2026 01:23 PM,26-May-2026,"INR 2,352,576",30.0,Kartikeswar Sahu,26-May-2026 01:23 PM,nedipadartobadapajuwmmaoc.pdf (439.00 KB),AOC,Divisional Officer,"RURAL WORKS DIVISION, PHULBANI","6,000",0.0,Nil,Nil,No,SR to Nedipadar to Badapaju road such as WMM And SDBC in the district of Kandhamala for the Year 2025-26,SR to Nedipadar to Badapaju road such as WMM And SDBC in the district of Kandhamala for the Year 2025-26,Please refer Tender documents. ,NA ,"33,61,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Phulbani,762001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, PHULBANI",No ,No,"33,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,17-2025/26,2026_CERWI_125488_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Corrigendum,Other,,04-Feb-2026 02:00 PM,12-Feb-2026 11:30 AM,04-Feb-2026 02:00 PM,11-Feb-2026 05:00 PM,04-Feb-2026 02:00 PM ,09-Feb-2026 03:00 PM ,04-Feb-2026 02:00 PM,11-Feb-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GSTIN,R.C AND OTHER DOCUMENT AS PER DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3390881,DEBJEET SARKAR,11-Feb-2026 01:50 PM,Rejected-AOC,Unsucessful Bidder,26-May-2026 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3392515,FIDELSYS DEVELOPERS PRIVATE LIMITED,11-Feb-2026 02:48 PM,Rejected-AOC,Unsucessful Bidder,26-May-2026 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3392703,LINTAN PRADHAN,11-Feb-2026 04:56 PM,Rejected-AOC,Unsucessful Bidder,26-May-2026 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3392257,MEERTABAI BISOYI,11-Feb-2026 01:29 PM,Rejected-AOC,Unsucessful Bidder,26-May-2026 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3392541,RUDRA NARAYAN PRADHAN,11-Feb-2026 03:16 PM,Accepted-AOC,Succesful Bidder Selected From Lowest Quated Percentage,26-May-2026 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3391745,SUBHANKAR PANIGRAHI,11-Feb-2026 02:56 PM,Rejected-AOC,Unsucessful Bidder,26-May-2026 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3392522,SUNITA BEHERA,11-Feb-2026 03:58 PM,Rejected-AOC,Unsucessful Bidder,26-May-2026 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
