Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,cover1,Sridhar Sahoo,05-Feb-2026 01:47 PM,finance_569052.pdf,BOQ Comparative Chart,1.0,3305212.0,SAMIR KUMAR SETHY,INR,"2,494,362",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,2025_CERWI_122490_1,NCB 14 OF 2025-26,Construction of D type Qtr For R W Sub-Division Office Patna for the year 2025-26,SE,Internal,,Sridhar Sahoo,05-Feb-2026 01:54 PM,finsummary_569052.pdf (949.17 KB),SE,Internal,,Sridhar Sahoo,05-Feb-2026 01:50 PM,techsummary_569052.pdf (949.17 KB),02-Mar-2026,"INR 2,494,362",120.0,Kapileswar Singh,26-May-2026 11:45 AM,TCN_14_1.pdf (1306.00 KB),1,3282883,AKASH BEHERA,05-Dec-2025 06:28 PM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GST, AFFIDAVIT AND AS PER ANNEXURE","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,NCB 14 OF 2025-26,2025_CERWI_122490_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of D type Qtr For R W Sub-Division Office Patna for the year 2025-26,Construction of D type Qtr For R W Sub-Division Office Patna for the year 2025-26,Please refer Tender documents. ,NA ,"29,34,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,KEONJHAR,758001.0,NA ,NA ,NA ,"R.W DIVISION-I,KEONJHAR",No ,No,"29,340",Yes,percentage,1.0%,Nil,Nil,SUPERINTENDING ENGINEER,"At-Gambharia, Po-DD College Near Dairy Farm, Keonjhar",03-Dec-2025 01:00 PM,17-Dec-2025 11:00 AM,03-Dec-2025 01:00 PM,16-Dec-2025 05:00 PM,03-Dec-2025 01:00 PM ,15-Dec-2025 05:00 PM ,03-Dec-2025 01:00 PM,16-Dec-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3298357,BHOLANATH SETHY,12-Dec-2025 06:14 PM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,,,.xls,BOQ,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3304483,CHINMAYA RANJAN SAHANI,15-Dec-2025 04:48 PM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3308724,DHARMAJEET SAHU,16-Dec-2025 04:39 PM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3307435,HEMANTA KUMAR NAIK,16-Dec-2025 01:38 PM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3299577,JITENDRA KUMAR KHATUA,13-Dec-2025 01:51 PM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3303042,LAVESH KUMAR MOHANTA,15-Dec-2025 12:41 PM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3282437,MRUTUNJAY MISHRA,05-Dec-2025 04:49 PM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3295177,PREMANANDA NAIK,12-Dec-2025 11:16 AM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3297416,RAKESH KUMAR SAHOO,12-Dec-2025 01:14 PM,Rejected-AOC,Rejected,26-May-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
