Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"2,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,SC RandB GM-II-31/2025-26,2026_EICCL_126697_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,000",Yes,fixed,,Nil,Nil,Divisional Officer,"ROADS AND BUILDINGS DIVISION, GANJAM - II",1,ICICI BANK,27-Feb-2026 10:00 AM,07-Mar-2026 11:30 AM,27-Feb-2026 10:00 AM,06-Mar-2026 04:00 PM,27-Feb-2026 10:00 AM ,05-Mar-2026 04:00 PM ,27-Feb-2026 10:00 AM,06-Mar-2026 04:00 PM,"S/R to Centre for Co-operative management , Gopalpur on sea such as Construction of entrance gate and providing ceiling to class room","S/R to Centre for Co-operative management , Gopalpur on sea such as Construction of entrance gate and providing ceiling to class room",NA ,NA ,"4,97,064",Civil Works - Buildings,NA ,Tender,90.0,30.0,Ganjam,760005.0,NA ,NA ,NA ,"ROADS AND BUILDINGS DIVISION, GANJAM - II",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Cost of tender paper EMD PAN GSTIN Regn Cert Affidavit and other documents as per DTCN,AOC,Superintending Engineer,Internal,DAO and Estimator,Sandipta Panigrahi,16-May-2026 08:10 PM,finsummary_583366.pdf (585.22 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,2026_EICCL_126697_1,SC RandB GM-II-31/2025-26,"S/R to Centre for Co-operative management , Gopalpur on sea such as Construction of entrance gate and providing ceiling to class room",1.0,3419344.0,B RAKESH PATRA,INR,"367,828",Finance,2 nos bidder for technical evaluation,Sandipta Panigrahi,16-May-2026 07:55 PM,finance_583366.pdf,BOQ Comparative Chart,16-May-2026,"INR 367,828",30.0,Sandipta Panigrahi,16-May-2026 08:18 PM,Gopalpur.pdf (585.00 KB),work awarded to B. Rakesh Patro,1,3419344,B RAKESH PATRA,06-Mar-2026 12:07 PM,Accepted-AOC,work awarded,16-May-2026 08:18 PM,Superintending Engineer,Internal,DAO and Estimator,Sandipta Panigrahi,16-May-2026 08:04 PM,techsummary_583366.pdf (585.22 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3421420,V Padmaja,06-Mar-2026 01:44 PM,Rejected-AOC,L2,16-May-2026 08:18 PM,,,,,,,AOC
