S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,2882382.0,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,INR,"1,838,380,354.6",CE Megalift Projects Bhubaneswar,2025_CEMLP_111951_1,15ML/2024-25,"EXECUTION OF 4 NOS. LIS WITH INTAKE POINTS ON TEL,MAHANADI AND TEL RIVER CONFLUENCE POINT OF TEL AND SUKTEL RIVER INCLUDING ITS DIST NET UPTO 1 HA CHAK HAVING PLANNED CCA 6025 HA IN CLUSTER XXX INCLUDING POWER SYSTEM CONNECTIVITY ON EPC TURNKEY MODE",Technical,Technical bid was opened on scheduled date and time and downloaded.,Chinmoy Ranjan Rout,22-Apr-2025 05:17 PM,technical_534488.pdf,"Principal Secretary to Govt., DoWR",External,,MONAJ KUMAR BEHERA,05-May-2026 04:58 PM,finsummary_534488.pdf (1747.11 KB),"DC-cum-ACS, DOWR",External,,Chinmoy Ranjan Rout,17-Dec-2025 05:13 PM,18-Dec-2025 11:45 AM,techsummary_534488.pdf (1405.68 KB),Finance,Price bid opened in scheduled date and time and downloaded.,Chinmoy Ranjan Rout,18-Dec-2025 06:07 PM,finance_534488.pdf,BOQ Comparative Chart,1,2885561,ENVIRO INFRA ENGINEERS LIMITED,16-Apr-2025 10:51 AM,Rejected-Technical,Not Approved by Govt being non responsive,17-Dec-2025 05:13 PM,05-May-2026,"INR 1,838,380,354.6",1080.0,MONAJ KUMAR BEHERA,05-May-2026 05:10 PM,workorder.pdf (517.00 KB),Agreement drawn on dt. 30.04.2026 with date of commencement and completion being 30.04.2026 and 29.04.2029 respectively.,AOC,1.0,1ST CORRIGENDUM,Date,,"EXECUTION OF 4 NOS. LIS WITH INTAKE POINTS ON TEL,MAHANADI AND TEL RIVER CONFLUENCE POINT OF TEL AND SUKTEL RIVER INCLUDING ITS DIST NET UPTO 1 HA CHAK HAVING PLANNED CCA 6025 HA IN CLUSTER XXX INCLUDING POWER SYSTEM CONNECTIVITY ON EPC TURNKEY MODE",MEGALIFT PROJECTS,Please refer Tender documents. ,NA ,"2,16,25,46,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,1080.0,SONEPUR,767017.0,"O/o CHIEF ENGINEER, MEGALIFT,BHUBANESWAR ","PLOT NO. A-8/2, BHOI NAGAR, BHUBANESWAR-751022 ",07-Apr-2025 12:30 PM ,"O/o CHIEF ENGINEER, MEGALIFT,BHUBANESWAR",No ,No,1.0,Fee/PreQual/Technical,.pdf,As stipulated under Vol-I Section- II/Clause-15.7/Page-15 /Cover-I/Tech. Bid /File-I of Bid doc.,CE Megalift Projects Bhubaneswar,15ML/2024-25,2025_CEMLP_111951_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Both(Online/Offline),No,No,No,"10,000",0.0,,,No,1.0,ICICI BANK,27-Mar-2025 12:30 PM,22-Apr-2025 11:00 AM,27-Mar-2025 12:30 PM,16-Apr-2025 05:00 PM,27-Mar-2025 12:30 PM ,03-Apr-2025 05:00 PM ,27-Mar-2025 12:30 PM,16-Apr-2025 05:00 PM,18-Dec-2025 11:45 AM,"2,16,25,460",Yes,fixed,,"E E, MEGALIFT PROJECT DIVISION, SONEPUR",SONEPUR,"CHIEF ENGINEER, MEGALIFT","PLOT NO. A-8/2, BHOI NAGAR, BHUBANESWAR-751022",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2884897,JWIL INFRA LIMITED,16-Apr-2025 02:28 PM,Rejected-AOC,L4,05-May-2026 05:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,As stipulated under Vol-I Section- II/Clause-15.7/Page-15 /Cover-I/Tech. Bid /File-II of Bid doc.,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2879495,LARSEN AND TOUBRO LIMITED,16-Apr-2025 02:29 PM,Rejected-AOC,L3,05-May-2026 05:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,As stipulated under Vol-I Section- II/Clause-15.7/Page-15 /Cover-I/Tech. Bid /File-III of Bid doc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2886213,LCC Projects Limited,16-Apr-2025 04:16 PM,Rejected-AOC,L6,05-May-2026 05:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2885583,LC Infra Projects Pvt Ltd,16-Apr-2025 04:47 PM,Rejected-AOC,L7,05-May-2026 05:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"YEARWISE,SCHEMEWISE ENERGY CONSUMPTION DURING 15 YEARS OF OPERATION APPENDIX-F6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2882382,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,16-Apr-2025 01:33 PM,Accepted-AOC,Approved by Government,05-May-2026 05:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2885891,RADHE CONSTRUCTION,16-Apr-2025 04:32 PM,Rejected-AOC,L5,05-May-2026 05:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2879180,"The Indian Hume Pipe Co. Ltd.,",16-Apr-2025 01:18 PM,Rejected-Technical,Not Approved by Govt being non responsive,17-Dec-2025 05:13 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2885216,VIJAY KUMAR MISHRA CONSTRUCTION PVT. LTD.,16-Apr-2025 03:33 PM,Rejected-AOC,L2,05-May-2026 05:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2882980,YASH HYDRO PHOENIX PROJECT PVT LTD,16-Apr-2025 01:14 PM,Rejected-Technical,Not Approved by Govt being non responsive,17-Dec-2025 05:13 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
