Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Evaluation Sheet,Jyotirmayee Mallick,18-Feb-2026 04:13 PM,finance_578665.pdf,BOQ Comparative Chart,12-May-2026,"INR 617,254",30.0,Jyotirmayee Mallick,12-May-2026 01:51 PM,1841.pdf (2262.00 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2026_CERWI_125323_17,Tender Online - 11 of 2025-26,S/R to Bilaspur to Amberi Road for the year 2025-26.,1.0,3389476.0,Ranjan Kumar Jena,INR,"617,254",1,3390821,Abadhut Mallick,10-Feb-2026 02:55 PM,Rejected-Technical,L2,12-May-2026 01:40 PM,"SE,RW Division JSPR",Internal,,Jyotirmayee Mallick,12-May-2026 01:40 PM,techsummary_578665.pdf (749.74 KB),"SE,RW Division JSPR",Internal,,Jyotirmayee Mallick,12-May-2026 01:46 PM,finsummary_578665.pdf (2262.14 KB),AOC,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 11 of 2025-26,2026_CERWI_125323_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, PAN Regd Cert, GSTIN, No Relation and Affidavit Towards Correctness certificate",1.0,ICICI BANK,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,",02-Feb-2026 09:00 AM,11-Feb-2026 11:00 AM,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,02-Feb-2026 10:00 AM ,09-Feb-2026 03:00 PM ,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,"7,770",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,S/R to Bilaspur to Amberi Road for the year 2025-26.,S/R to Bilaspur to Amberi Road for the year 2025-26.,Please refer Tender documents. ,NA ,"7,77,000",Civil Works - Roads,NA ,Tender,60.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,3386282,BIKRAM KISHOR ROUT,08-Feb-2026 05:52 PM,Rejected-Technical,L2,12-May-2026 01:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3386992,NAMITA DAS,09-Feb-2026 05:07 PM,Rejected-Technical,L2,12-May-2026 01:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3388376,NAYAK ENTERPRISES,09-Feb-2026 05:41 PM,Rejected-Technical,L2,12-May-2026 01:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3389476,Ranjan Kumar Jena,10-Feb-2026 03:28 PM,Accepted-AOC,Successful Bidder,12-May-2026 01:51 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3386046,SANJAYA KUMAR BISWAL,09-Feb-2026 09:19 PM,Rejected-Technical,L2,12-May-2026 01:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3391238,SANJAY KUMAR KAR,10-Feb-2026 04:46 PM,Rejected-Technical,L2,12-May-2026 01:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3388606,SANTOSH MOHANTY,10-Feb-2026 03:46 PM,Rejected-Technical,L2,12-May-2026 01:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3389182,SAROJA KUMAR MOHAPATRA,09-Feb-2026 10:37 PM,Rejected-Technical,L2,12-May-2026 01:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3389170,SATYA PRAKASH DASH,09-Feb-2026 10:10 PM,Rejected-Technical,L2,12-May-2026 01:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
