Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit","Chief Engineer, Roads-I, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",1.0,ICICI BANK,Improvement of Chhatibarghat NH-53 to Gohira Chowk (NH-53) road from 0/000 km to 22/891 km in the district of Deogarh under State Plan,Improvement of Chhatibarghat NH-53 to Gohira Chowk (NH-53) road from 0/000 km to 22/891 km in the district of Deogarh under State Plan,Please refer Tender documents. ,NA ,"19,61,56,847",Civil Works - Roads,NA ,Tender,90.0,510.0,Deogarh Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,11-Sep-2025 06:00 PM,26-Sep-2025 11:30 AM,11-Sep-2025 06:00 PM,25-Sep-2025 05:30 PM,NA ,NA ,11-Sep-2025 06:00 PM,25-Sep-2025 05:30 PM,12-Feb-2026 11:00 AM,"19,62,000",Yes,fixed,,Nil,Nil,EIC-CIVIL,CE-ROADS-I-12/2025-26,2025_EICCL_117887_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC,Technical,Opening,Bijaya Laxmi Panda,26-Sep-2025 08:00 PM,,EIC-CIVIL,2025_EICCL_117887_9,CE-ROADS-I-12/2025-26,Improvement of Chhatibarghat NH-53 to Gohira Chowk (NH-53) road from 0/000 km to 22/891 km in the district of Deogarh under State Plan,EIC Civil Roads-I,Internal,,Pradipta Kumar Nayak,30-May-2026 10:56 AM,finsummary_552098.pdf (3760.93 KB),1.0,3087594.0,M/s.S.K.Agarwalla,INR,"166,752,936",30-May-2026,"INR 166,752,936",510.0,Pradipta Kumar Nayak,30-May-2026 11:00 AM,ChatibarghatAgrt.pdf (3761.00 KB),301P1 of 2026-27,1,3098124,DHANESWAR SAHU,24-Sep-2025 11:31 PM,Rejected-AOC,L1 bidder,30-May-2026 11:00 AM,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,10-Feb-2026 11:39 AM,12-Feb-2026 11:00 AM,techsummary_552098.pdf (422.67 KB),Finance,Opening,Pradipta Kumar Nayak,12-Feb-2026 12:47 PM,,BOQ Comparative Chart,AOC
,,.pdf,Machineries and work experience,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3098049,KAPILASH INFRASOL PROJECTS PRIVATE LIMITED,25-Sep-2025 11:27 AM,Rejected-AOC,L1 bidder,30-May-2026 11:00 AM,,,,,,,,,,,,,,AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3098428,MAA SANTOSHI ENTERPRISES,25-Sep-2025 12:28 PM,Rejected-AOC,L1 bidder,30-May-2026 11:00 AM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3096769,M/S JBN ENGICONS,25-Sep-2025 01:54 PM,Rejected-AOC,L2 bidder,30-May-2026 11:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3087594,M/s.S.K.Agarwalla,22-Sep-2025 11:56 AM,Accepted-AOC,Selected as L1 bidder,30-May-2026 11:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3098337,PYARIMOHAN PRADHAN,24-Sep-2025 01:16 PM,Rejected-Technical,Disqualified,10-Feb-2026 11:39 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3093612,SANJAY KUMAR SAMANTARAY,25-Sep-2025 12:42 PM,Rejected-Technical,Disqualified,10-Feb-2026 11:39 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3090740,SATENDRA PRASAD,25-Sep-2025 10:58 AM,Rejected-AOC,L1 bidder,30-May-2026 11:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3091104,SBM NIRMAAN CONSTRUCTION PRIVATE LIMITED,24-Sep-2025 12:11 PM,Rejected-Finance,Other than L1 and L2 bidder,30-May-2026 10:56 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3099662,tapan kumar sahu,25-Sep-2025 04:57 PM,Rejected-AOC,L1 bidder,30-May-2026 11:00 AM,,,,,,,,,,,,,,AOC
