Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Finance,21nos bidders,Rajendra Majhi,13-Feb-2026 06:31 PM,finance_578190.pdf,BOQ Comparative Chart,08-May-2026,"INR 545,308",180.0,Rajendra Majhi,08-May-2026 01:11 PM,14.pdf (209.00 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2026_CERWI_125179_12,EETIG-ONLINE-15-2025-26,"SR to PWD road to Ramud road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, under Tureikela Block for the year 2025-26",1.0,3387449.0,MANJU AGRAWL,INR,"545,308",1,3385649,ABHISHEK SARAF,09-Feb-2026 10:36 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,08-May-2026 01:02 PM,techsummary_578190.pdf (208.80 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,08-May-2026 01:09 PM,finsummary_578190.pdf (208.80 KB),AOC,THE EE RWD TITILAGARH,O/O THE SE RWD TITILAGARH,"SR to PWD road to Ramud road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, under Tureikela Block for the year 2025-26","SR to PWD road to Ramud road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, under Tureikela Block for the year 2025-26",PLEASE REFER TENDER DOCUMENTS ,NA ,"5,45,854",Civil Works - Roads,NA ,Tender,90.0,180.0,TITILAGARH,767042.0,NA ,NA ,NA ,O/O THE SE RWD TITILAGARH,No ,No,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,EETIG-ONLINE-15-2025-26,2026_CERWI_125179_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"5,460",Yes,fixed,,Nil,Nil,30-Jan-2026 11:00 AM,11-Feb-2026 11:00 AM,30-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,30-Jan-2026 11:00 AM ,09-Feb-2026 11:00 AM ,30-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,CONTRACTOR REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS",AOC
,,,,,,,,,,,,,,,,,,,,,2,3388543,ADHYAN INFRA,09-Feb-2026 09:17 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.pdf,"NO RELATION CERTIFICATE, LABOUR LICENSE AND OTHER RELATED DOCUMENTS AS PER DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,3,3390954,AKASH KUMAR SHARMA,10-Feb-2026 03:26 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,AOC
,,,,,,,,,,,,,,,,,,,,,4,3388918,Amit Agrawal,10-Feb-2026 11:28 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3390904,ANAND PRAKASH SHARMA,10-Feb-2026 03:16 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3390798,Anil Kumar Agrawal,10-Feb-2026 02:58 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3391060,ANTARYAMI SUNA,10-Feb-2026 04:27 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3386648,BASANT KUMAR JAIN,09-Feb-2026 01:29 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3385637,GHASIRAM JAINI,09-Feb-2026 11:22 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3388791,GOURAB KUMAR BANSAL,09-Feb-2026 08:19 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
